GEOID,NAME,STATE,DIST,C_TOT19,CTOTMOE,C_NHS19,CNHSMOE,C_AIA19,CAIAMOE,C_ASN19,CASNMOE,C_BLK19,CBLKMOE,C_NHP19,CNHPMOE,C_WHT19,CWHTMOE,C_AIW19,CAIWMOE,C_ASW19,CASWMOE,C_BLW19,CBLWMOE,C_AIB19,CAIBMOE,C_2OM19,C2OMMOE,C_HSP19,CHSPMOE,CVAP_TOT19,CVAPTOTMOE,CVAP_NHS19,CVAPNHSMOE,CVAP_AIA19,CVAPAIAMOE,CVAP_ASN19,CVAPASNMOE,CVAP_BLK19,CVAPBLKMOE,CVAP_NHP19,CVAPNHPMOE,CVAP_WHT19,CVAPWHTMOE,CVAP_AIW19,CVAPAIWMOE,CVAP_ASW19,CVAPASWMOE,CVAP_BLW19,CVAPBLWMOE,CVAP_AIB19,CVAPAIBMOE,CVAP_2OM19,CVAP2OMMOE,CVAP_HSP19,CVAPHSPMOE,ALL_TOT19,ALLTOTMOE,ALL_NHS19,ALLNHSMOE,ALL_AIA19,ALLAIAMOE,ALL_ASN19,ALLASNMOE,ALL_BLK19,ALLBLKMOE,ALL_NHP19,ALLNHPMOE,ALL_WHT19,ALLWHTMOE,ALL_AIW19,ALLAIWMOE,ALL_ASW19,ALLASWMOE,ALL_BLW19,ALLBLWMOE,ALL_AIB19,ALLAIBMOE,ALL_2OM19,ALL2OMMOE,ALL_HSP19,ALLHSPMOE,VAP_TOT19,VAPTOTMOE,VAP_NHS19,VAPNHSMOE,VAP_AIA19,VAPAIAMOE,VAP_ASN19,VAPASNMOE,VAP_BLK19,VAPBLKMOE,VAP_NHP19,VAPNHPMOE,VAP_WHT19,VAPWHTMOE,VAP_AIW19,VAPAIWMOE,VAP_ASW19,VAPASWMOE,VAP_BLW19,VAPBLWMOE,VAP_AIB19,VAPAIBMOE,VAP_2OM19,VAP2OMMOE,VAP_HSP19,VAPHSPMOE,STATEFP,SLDL
51001,"State House District 1 (2018), Virginia",Virginia,State House District 1 (2018),75380,743,74590,772,380,22,450,21,3015,38,0,29,70695,788,215,87,75,90,475,250,25,22,70,87,790,213,61095,626,60580,606,370,22,315,16,2550,32,0,29,57310,567,205,83,25,31,175,113,25,22,55,69,515,174,75860,730,74810,753,380,22,520,21,3015,38,0,29,70850,780,215,87,75,90,475,250,25,22,70,87,1050,190,61565,635,60790,596,370,22,385,16,2550,32,0,29,57460,564,205,83,25,31,175,113,25,22,55,69,775,184,51,001
51002,"State House District 2 (2018), Virginia",Virginia,State House District 2 (2018),82350,2255,69045,2084,620,32,5520,39,25295,66,120,89,36650,1372,190,82,1015,260,1570,472,45,38,885,300,13310,1297,59465,1731,51840,1608,485,27,4130,33,17860,54,120,89,28695,1019,140,68,605,166,685,206,35,33,585,212,7625,774,90405,2268,72755,2180,620,32,6490,42,26515,66,155,105,38095,1419,190,82,1145,313,1570,472,45,38,930,305,17650,1634,66630,1637,55120,1641,485,27,5045,38,19045,53,155,105,29795,1045,140,68,715,252,685,206,35,33,630,220,11515,1000,51,002
51003,"State House District 3 (2018), Virginia",Virginia,State House District 3 (2018),73650,478,72940,495,340,22,450,23,2280,31,30,44,69730,413,150,73,75,70,260,159,15,17,120,91,705,182,60290,440,59770,434,330,21,220,15,1815,28,30,44,57300,353,140,63,25,34,100,85,15,17,90,74,520,171,74055,455,73265,472,340,22,590,24,2400,32,30,44,69795,419,150,73,100,92,260,159,15,17,120,91,790,182,60575,443,59980,432,330,21,330,15,1855,28,30,44,57360,357,140,63,25,34,100,85,15,17,90,74,595,177,51,003
51004,"State House District 4 (2018), Virginia",Virginia,State House District 4 (2018),74785,1241,74055,1222,224,18,175,16,1819,35,30,35,71740,1237,145,61,45,38,440,233,4,11,60,54,730,179,60375,1071,59805,1059,204,18,145,14,1389,28,30,35,57975,1042,130,68,45,38,165,112,4,11,60,54,565,141,75095,1233,74300,1208,224,18,220,16,1839,35,30,35,71920,1226,145,61,45,38,440,233,4,11,60,54,800,178,60685,1059,60050,1048,204,18,190,14,1409,28,30,35,58155,1031,130,68,45,38,165,112,4,11,60,54,635,144,51,004
51005,"State House District 5 (2018), Virginia",Virginia,State House District 5 (2018),78680,1043,76835,1106,585,29,335,20,3160,43,35,47,72745,1121,350,123,70,96,435,199,95,82,70,45,1845,257,63415,826,62790,877,530,29,210,19,2340,34,20,36,59715,899,295,123,70,97,105,71,95,82,70,45,620,181,79645,1070,77065,1114,585,29,400,21,3180,43,35,47,72890,1125,350,123,70,96,435,199,95,82,70,45,2585,306,64335,839,63000,880,530,29,275,20,2360,34,20,36,59840,898,295,123,70,97,105,71,95,82,70,45,1330,240,51,005
51006,"State House District 6 (2018), Virginia",Virginia,State House District 6 (2018),77275,552,75920,540,315,25,235,17,2215,32,25,42,73150,534,165,118,15,26,670,180,10,13,0,29,1350,172,61990,426,61245,424,280,24,185,17,1425,26,25,42,59345,413,130,112,0,29,130,69,10,13,0,29,745,128,77975,544,76110,523,315,25,390,19,2220,32,25,42,73180,533,165,118,30,36,670,180,10,13,0,29,1865,93,62630,403,61435,396,280,24,340,17,1430,26,25,42,59375,411,130,112,15,26,130,69,10,13,0,29,1195,58,51,006
51007,"State House District 7 (2018), Virginia",Virginia,State House District 7 (2018),80630,1214,78990,1216,495,31,1185,29,4000,44,55,80,73000,1259,240,132,240,130,530,223,75,77,330,264,1640,300,65750,996,64520,996,410,26,1015,27,3060,34,55,80,59850,1035,205,110,180,123,215,100,25,29,160,122,1230,235,81705,1205,79605,1229,510,31,1425,29,4035,44,55,80,73335,1264,255,135,255,132,530,223,75,77,330,264,2100,289,66760,989,65100,1013,425,27,1245,27,3090,34,55,80,60150,1044,220,114,190,121,215,100,25,29,160,122,1655,246,51,007
51008,"State House District 8 (2018), Virginia",Virginia,State House District 8 (2018),79895,1266,78220,1154,350,25,1770,32,3815,44,25,35,72085,1216,220,93,265,145,505,221,0,29,180,141,1675,433,63910,1010,62935,914,320,25,1245,26,2820,34,25,35,58395,904,190,82,175,85,80,59,0,29,140,88,975,307,81220,1207,79280,1134,350,25,2475,35,3850,44,25,35,72400,1198,220,93,315,159,505,221,0,29,180,141,1940,393,65165,950,63940,895,320,25,1920,30,2840,34,25,35,58695,890,190,82,225,103,80,59,0,29,140,88,1225,236,51,008
51009,"State House District 9 (2018), Virginia",Virginia,State House District 9 (2018),78145,1249,76395,1218,340,25,320,19,8160,46,0,29,67550,1060,150,91,65,78,540,243,30,48,50,52,1750,276,63260,906,62375,910,250,22,290,18,6455,36,0,29,55380,789,100,68,45,61,150,112,30,48,25,34,890,167,78855,1294,76610,1200,340,25,340,19,8175,46,0,29,67735,1054,150,91,65,78,540,243,30,48,50,52,2245,357,63930,932,62585,889,250,22,310,18,6470,36,0,29,55560,783,100,68,45,61,150,112,30,48,25,34,1350,211,51,009
51010,"State House District 10 (2018), Virginia",Virginia,State House District 10 (2018),94680,2125,85590,1825,530,26,10580,49,7915,53,15,22,65990,1569,240,106,1670,434,1025,356,20,39,580,315,9090,906,67065,1540,62170,1295,340,22,6695,45,5300,45,15,22,49545,1024,125,61,855,378,470,215,20,39,295,219,4900,727,103185,1819,89740,1776,530,26,13100,51,8255,54,15,22,67280,1638,240,106,1715,431,1070,367,20,39,585,315,13445,1058,74640,1250,65920,1212,340,22,9025,46,5600,46,15,22,50655,1061,125,61,855,378,510,224,20,39,305,219,8720,717,51,010
