GEOID,NAME,STATE,DIST,C_TOT19,CTOTMOE,C_NHS19,CNHSMOE,C_AIA19,CAIAMOE,C_ASN19,CASNMOE,C_BLK19,CBLKMOE,C_NHP19,CNHPMOE,C_WHT19,CWHTMOE,C_AIW19,CAIWMOE,C_ASW19,CASWMOE,C_BLW19,CBLWMOE,C_AIB19,CAIBMOE,C_2OM19,C2OMMOE,C_HSP19,CHSPMOE,CVAP_TOT19,CVAPTOTMOE,CVAP_NHS19,CVAPNHSMOE,CVAP_AIA19,CVAPAIAMOE,CVAP_ASN19,CVAPASNMOE,CVAP_BLK19,CVAPBLKMOE,CVAP_NHP19,CVAPNHPMOE,CVAP_WHT19,CVAPWHTMOE,CVAP_AIW19,CVAPAIWMOE,CVAP_ASW19,CVAPASWMOE,CVAP_BLW19,CVAPBLWMOE,CVAP_AIB19,CVAPAIBMOE,CVAP_2OM19,CVAP2OMMOE,CVAP_HSP19,CVAPHSPMOE,ALL_TOT19,ALLTOTMOE,ALL_NHS19,ALLNHSMOE,ALL_AIA19,ALLAIAMOE,ALL_ASN19,ALLASNMOE,ALL_BLK19,ALLBLKMOE,ALL_NHP19,ALLNHPMOE,ALL_WHT19,ALLWHTMOE,ALL_AIW19,ALLAIWMOE,ALL_ASW19,ALLASWMOE,ALL_BLW19,ALLBLWMOE,ALL_AIB19,ALLAIBMOE,ALL_2OM19,ALL2OMMOE,ALL_HSP19,ALLHSPMOE,VAP_TOT19,VAPTOTMOE,VAP_NHS19,VAPNHSMOE,VAP_AIA19,VAPAIAMOE,VAP_ASN19,VAPASNMOE,VAP_BLK19,VAPBLKMOE,VAP_NHP19,VAPNHPMOE,VAP_WHT19,VAPWHTMOE,VAP_AIW19,VAPAIWMOE,VAP_ASW19,VAPASWMOE,VAP_BLW19,VAPBLWMOE,VAP_AIB19,VAPAIBMOE,VAP_2OM19,VAP2OMMOE,VAP_HSP19,VAPHSPMOE,STATEFP,SLDU
51001,"State Senate District 1 (2018), Virginia",Virginia,State Senate District 1 (2018),194015,2333,177905,2278,1775,39,6685,38,65880,74,305,78,101170,1439,1045,235,1415,285,2860,538,265,122,2355,725,16110,964,151630,1576,141615,1576,1440,36,5245,32,49115,64,240,86,85000,1088,795,195,900,190,1250,344,250,113,825,184,10015,776,202075,2341,182800,2245,1775,39,8675,40,66780,73,305,78,103180,1439,1045,235,1470,294,2870,539,265,122,2355,725,19270,840,158620,1607,145710,1545,1440,36,7010,34,49790,63,240,86,86655,1051,795,195,940,199,1255,345,250,113,825,184,12910,586,51,001
51002,"State Senate District 2 (2018), Virginia",Virginia,State Senate District 2 (2018),194780,2164,184315,2178,1935,46,5740,39,102660,79,305,114,73435,1594,605,221,1490,382,3125,525,680,294,925,237,10465,725,148725,1595,142170,1582,1520,40,4300,34,76550,62,210,77,59285,1169,560,219,965,264,1225,295,310,120,610,174,6555,486,198955,2190,187450,2183,1970,45,7330,41,103415,79,305,114,74180,1597,605,221,1515,385,3125,525,680,294,935,236,11505,867,152495,1569,144940,1540,1520,40,5690,36,77215,62,210,77,59990,1161,560,219,975,265,1225,295,310,120,620,174,7555,605,51,002
51003,"State Senate District 3 (2018), Virginia",Virginia,State Senate District 3 (2018),215870,1720,208140,1501,1880,44,4965,38,27200,72,40,44,173720,1716,1100,229,1585,274,1875,460,370,316,710,229,7730,624,170595,1382,165295,1209,1485,41,3285,30,20890,61,40,44,139530,1228,745,196,665,165,490,212,340,284,405,151,5295,482,218575,1503,210050,1454,1880,44,5890,38,27250,73,40,44,174655,1693,1100,229,1600,274,1875,460,370,316,710,229,8520,575,173085,1202,167110,1167,1485,41,4160,30,20925,61,40,44,140435,1214,745,196,680,168,490,212,340,284,405,151,5975,444,51,003
51004,"State Senate District 4 (2018), Virginia",Virginia,State Senate District 4 (2018),208765,1555,202270,1480,1825,40,3230,36,42185,70,110,94,154605,1429,910,177,1210,318,2950,519,325,226,640,252,6495,529,162545,1300,158685,1196,1350,34,2140,29,32165,55,80,66,122735,1109,620,129,605,189,850,284,220,133,430,169,3860,487,211840,1573,203995,1437,1830,40,3910,37,42425,70,135,99,155380,1414,910,177,1305,325,2950,519,325,226,640,252,7845,661,165335,1268,160170,1160,1355,34,2710,30,32395,55,80,66,123410,1102,620,129,645,196,850,284,220,133,430,169,5165,462,51,004
51005,"State Senate District 5 (2018), Virginia",Virginia,State Senate District 5 (2018),199055,2748,188010,2859,2045,46,5925,43,111475,85,85,61,68240,1880,925,243,1750,338,2980,602,725,331,960,273,11045,946,151105,1979,144670,2024,1745,43,4245,35,82180,73,65,55,56380,1313,830,218,875,198,1260,369,580,291,635,221,6435,567,205590,2726,190740,2931,2060,46,7210,45,112175,86,85,61,68975,1849,925,243,1775,337,2980,602,725,331,960,273,14845,1058,157035,2011,147200,2105,1760,43,5380,37,82840,74,65,55,57105,1284,830,218,895,198,1260,369,580,291,635,221,9835,759,51,005
51006,"State Senate District 6 (2018), Virginia",Virginia,State Senate District 6 (2018),187490,1903,173345,2041,1880,39,5510,39,52245,73,80,64,112475,1178,920,215,1230,266,2690,537,300,137,1450,453,14150,713,153360,1579,143370,1597,1495,37,4300,34,40660,64,80,64,96280,1006,735,191,700,181,1180,331,295,140,850,223,9985,595,194890,1872,177810,1967,1880,39,7375,40,53205,72,85,63,114080,1120,920,215,1235,267,2690,537,300,137,1485,463,17080,697,160110,1482,147425,1514,1495,37,6045,35,41525,64,85,63,97695,964,735,191,710,178,1180,331,295,140,880,233,12685,594,51,006
51007,"State Senate District 7 (2018), Virginia",Virginia,State Senate District 7 (2018),200330,2336,185330,2356,1605,38,14495,52,45905,70,105,67,121540,1757,985,240,2760,502,2560,470,135,87,1820,478,15005,987,156025,1940,146260,1864,1300,33,10925,44,33685,59,90,59,99250,1391,835,198,1385,287,930,238,125,76,1140,320,9765,831,208440,2174,190480,2338,1605,38,17550,53,46530,69,105,67,122995,1803,985,240,2775,500,2580,475,135,87,1835,483,17960,1006,163405,1712,150820,1869,1300,33,13770,44,34125,58,90,59,100510,1414,835,198,1400,283,950,242,125,76,1155,325,12585,720,51,007
51008,"State Senate District 8 (2018), Virginia",Virginia,State Senate District 8 (2018),192635,2059,179040,2063,1875,46,11225,49,34555,82,245,93,130295,1939,690,184,2835,467,3580,739,610,349,1455,368,13595,882,149050,1728,139970,1736,1405,38,8380,42,24885,64,230,88,104685,1615,535,134,1415,293,1190,346,445,185,830,245,9080,653,199730,1964,184505,2062,1875,46,13660,51,34975,82,245,93,132790,1912,690,184,2925,483,3580,739,610,349,1570,410,15225,947,155335,1602,144690,1712,1405,38,10410,44,25215,64,230,88,106930,1592,535,134,1485,304,1190,346,445,185,940,281,10645,709,51,008
51009,"State Senate District 9 (2018), Virginia",Virginia,State Senate District 9 (2018),204235,2787,198805,2660,2250,45,3650,45,111345,84,0,29,81140,1849,800,215,935,433,1965,518,575,273,995,312,5430,742,164435,2109,160895,2047,1860,40,2960,42,85815,71,0,29,70115,1456,620,183,695,437,900,282,485,232,630,257,3540,476,208850,2790,201870,2689,2250,45,4880,49,112125,83,0,29,82195,1945,800,215,1225,546,1970,520,575,273,995,312,6975,841,168695,2160,163670,2120,1860,40,4065,46,86435,71,0,29,71165,1538,620,183,875,509,905,283,485,232,630,257,5020,554,51,009
51010,"State Senate District 10 (2018), Virginia",Virginia,State Senate District 10 (2018),204665,2140,194735,2278,1510,45,7660,40,47845,83,95,83,137615,1506,475,173,1550,312,1920,500,725,393,735,238,9930,1070,162880,1772,158105,1843,1345,42,5535,36,37920,72,65,61,113295,1365,420,136,880,268,900,278,615,363,565,203,4770,565,212875,2313,198870,2273,1510,45,9715,44,48145,83,95,83,139395,1475,475,173,1695,356,1920,500,725,393,735,238,14005,1519,170485,1840,162055,1856,1345,42,7495,41,38175,72,65,61,115025,1345,420,136,1020,324,900,278,615,363,565,203,8435,931,51,010
51011,"State Senate District 11 (2018), Virginia",Virginia,State Senate District 11 (2018),213755,2033,202140,1936,1555,40,6105,43,51160,76,100,66,142500,1522,535,175,1335,366,2685,656,250,149,975,464,11615,1040,162545,1483,155720,1375,1225,34,4420,34,37580,60,80,58,112130,1173,470,143,590,188,930,294,190,93,475,207,6825,744,220910,2025,204645,1967,1555,40,6840,44,51595,76,100,66,143815,1421,535,175,1335,366,2685,656,250,149,990,466,16265,1106,169230,1444,158035,1382,1225,34,5120,35,38010,59,80,58,113295,1076,470,143,590,188,930,294,190,93,495,209,11200,720,51,011
