state_abbreviation,congressional_district,State Office,State District,FracCDFromSLD,FracSLDFromCD
AK,0,Lower,"7",2.80,0.60
AK,0,Lower,"8",2.80,0.60
AK,0,Lower,"10",2.80,0.60
AK,0,Lower,"11",2.80,0.60
AK,0,Lower,"12",2.60,0.60
AK,0,Lower,"29",2.60,0.60
AK,0,Lower,"30",2.60,0.60
AK,0,Lower,"31",2.60,0.60
AK,0,Lower,"1",2.50,0.60
AK,0,Lower,"2",2.50,0.60
AK,0,Lower,"3",2.50,0.60
AK,0,Lower,"4",2.50,0.50
AK,0,Lower,"5",2.50,0.60
AK,0,Lower,"9",2.50,0.60
AK,0,Lower,"14",2.50,0.50
AK,0,Lower,"16",2.50,0.50
AK,0,Lower,"17",2.50,0.50
AK,0,Lower,"18",2.50,0.50
AK,0,Lower,"23",2.50,0.60
AK,0,Lower,"25",2.50,0.50
AK,0,Lower,"33",2.50,0.60
AK,0,Lower,"34",2.50,0.60
AK,0,Lower,"36",2.50,0.60
AK,0,Lower,"38",2.50,0.60
AK,0,Lower,"39",2.50,0.60
AK,0,Lower,"6",2.40,0.50
AK,0,Lower,"13",2.40,0.50
AK,0,Lower,"15",2.40,0.50
AK,0,Lower,"19",2.40,0.50
AK,0,Lower,"20",2.40,0.50
AK,0,Lower,"21",2.40,0.50
AK,0,Lower,"22",2.40,0.50
AK,0,Lower,"24",2.40,0.50
AK,0,Lower,"26",2.40,0.50
AK,0,Lower,"27",2.40,0.50
AK,0,Lower,"28",2.40,0.50
AK,0,Lower,"32",2.40,0.60
AK,0,Lower,"35",2.40,0.60
AK,0,Lower,"37",2.40,0.60
AK,0,Lower,"40",2.40,0.60
AK,0,Upper,"00D",5.60,100.00
AK,0,Upper,"00E",5.40,100.00
AK,0,Upper,"00F",5.40,100.00
AK,0,Upper,"00O",5.10,100.00
AK,0,Upper,"00P",5.00,100.00
AK,0,Upper,"00A",4.90,100.00
AK,0,Upper,"00B",4.90,100.00
AK,0,Upper,"00C",4.90,100.00
AK,0,Upper,"00G",4.90,100.00
AK,0,Upper,"00H",4.90,100.00
AK,0,Upper,"00I",4.90,100.00
AK,0,Upper,"00J",4.90,100.00
AK,0,Upper,"00K",4.90,100.00
AK,0,Upper,"00L",4.90,100.00
AK,0,Upper,"00M",4.90,100.00
AK,0,Upper,"00N",4.90,100.00
AK,0,Upper,"00Q",4.90,100.00
AK,0,Upper,"00R",4.90,100.00
AK,0,Upper,"00S",4.90,100.00
AK,0,Upper,"00T",4.90,100.00
AL,1,Lower,"94",7.40,3.00
AL,1,Lower,"95",7.40,3.00
AL,1,Lower,"96",7.30,3.00
AL,1,Lower,"64",7.20,2.10
AL,1,Lower,"66",6.70,2.00
AL,1,Lower,"97",6.40,2.60
AL,1,Lower,"98",6.40,2.60
AL,1,Lower,"99",6.40,2.60
AL,1,Lower,"100",6.40,3.10
AL,1,Lower,"101",6.40,3.70
AL,1,Lower,"102",6.40,3.80
AL,1,Lower,"103",6.40,3.70
AL,1,Lower,"104",6.40,3.80
AL,1,Lower,"105",6.40,3.70
AL,1,Lower,"65",3.10,0.90
AL,1,Lower,"68",2.60,0.80
AL,1,Lower,"92",0.70,0.30
AL,1,Upper,"32",22.30,2.50
AL,1,Upper,"33",19.30,2.20
AL,1,Upper,"34",19.20,2.40
AL,1,Upper,"35",19.20,2.60
AL,1,Upper,"22",18.10,1.60
AL,1,Upper,"23",1.90,0.20
AL,2,Lower,"31",6.90,1.50
AL,2,Lower,"86",6.90,2.70
AL,2,Lower,"88",6.90,2.70
AL,2,Lower,"87",6.80,2.70
AL,2,Lower,"91",6.80,2.70
AL,2,Lower,"85",6.70,2.60
AL,2,Lower,"89",6.70,2.60
AL,2,Lower,"93",6.60,2.60
AL,2,Lower,"90",6.50,2.60
AL,2,Lower,"74",6.00,1.80
AL,2,Lower,"92",5.80,2.30
AL,2,Lower,"77",5.40,1.60
AL,2,Lower,"84",5.30,2.10
AL,2,Lower,"78",4.00,1.20
AL,2,Lower,"75",3.60,1.10
AL,2,Lower,"76",3.20,1.00
AL,2,Lower,"42",2.40,0.60
AL,2,Lower,"69",2.40,0.70
AL,2,Lower,"68",1.10,0.30
AL,2,Upper,"29",20.40,1.80
AL,2,Upper,"31",20.30,1.90
AL,2,Upper,"25",15.90,1.40
AL,2,Upper,"30",15.80,1.40
AL,2,Upper,"26",11.60,1.00
AL,2,Upper,"28",11.30,1.00
AL,2,Upper,"23",4.20,0.40
AL,2,Upper,"22",0.50,0.00
AL,3,Lower,"79",7.40,2.40
AL,3,Lower,"80",7.30,2.30
AL,3,Lower,"83",7.30,3.00
AL,3,Lower,"38",7.10,1.70
AL,3,Lower,"50",6.90,1.90
AL,3,Lower,"36",6.60,1.50
AL,3,Lower,"37",6.50,1.50
AL,3,Lower,"82",6.50,2.70
AL,3,Lower,"32",6.30,1.40
AL,3,Lower,"40",6.30,1.40
AL,3,Lower,"35",6.00,1.40
AL,3,Lower,"33",5.70,1.20
AL,3,Lower,"39",5.60,1.30
AL,3,Lower,"81",5.10,2.10
AL,3,Lower,"75",3.10,1.00
AL,3,Lower,"30",2.80,0.60
AL,3,Lower,"84",1.20,0.50
AL,3,Lower,"78",0.80,0.30
AL,3,Lower,"29",0.70,0.20
AL,3,Lower,"74",0.60,0.20
AL,3,Upper,"27",21.50,2.00
AL,3,Upper,"13",20.50,1.70
AL,3,Upper,"12",18.70,1.60
AL,3,Upper,"11",16.30,1.40
AL,3,Upper,"28",8.60,0.80
AL,3,Upper,"25",3.70,0.30
AL,3,Upper,"10",3.50,0.30
AL,3,Upper,"15",3.30,0.30
AL,3,Upper,"17",2.00,0.20
AL,3,Upper,"30",1.10,0.10
AL,3,Upper,"26",0.80,0.10
AL,4,Lower,"12",6.80,1.40
AL,4,Lower,"26",6.80,1.40
AL,4,Lower,"24",6.70,1.30
AL,4,Lower,"27",6.70,1.40
AL,4,Lower,"28",6.60,1.30
AL,4,Lower,"3",6.50,1.30
AL,4,Lower,"17",6.40,1.30
AL,4,Lower,"7",6.00,1.20
AL,4,Lower,"29",5.90,1.20
AL,4,Lower,"18",5.80,1.10
AL,4,Lower,"13",5.70,1.10
AL,4,Lower,"14",5.70,1.10
AL,4,Lower,"11",4.20,0.90
AL,4,Lower,"16",4.20,0.80
AL,4,Lower,"61",4.00,1.10
AL,4,Lower,"30",3.80,0.80
AL,4,Lower,"63",3.00,0.80
AL,4,Lower,"9",1.90,0.40
AL,4,Lower,"34",1.80,0.40
AL,4,Lower,"39",0.90,0.20
AL,4,Lower,"62",0.40,0.10
AL,4,Lower,"23",0.30,0.10
AL,4,Upper,"4",19.90,1.70
AL,4,Upper,"5",16.90,1.40
AL,4,Upper,"9",16.60,1.40
AL,4,Upper,"10",16.30,1.40
AL,4,Upper,"6",15.80,1.30
AL,4,Upper,"8",7.50,0.60
AL,4,Upper,"21",7.00,0.60
AL,5,Lower,"5",7.10,1.50
AL,5,Lower,"6",6.90,1.50
AL,5,Lower,"25",6.90,1.40
AL,5,Lower,"20",6.80,1.40
AL,5,Lower,"21",6.80,1.40
AL,5,Lower,"22",6.80,1.40
AL,5,Lower,"10",6.70,1.40
AL,5,Lower,"19",6.70,1.40
AL,5,Lower,"53",6.70,2.00
AL,5,Lower,"2",6.50,1.40
AL,5,Lower,"4",6.50,1.40
AL,5,Lower,"1",6.40,1.40
AL,5,Lower,"8",6.30,1.30
AL,5,Lower,"23",6.10,1.30
AL,5,Lower,"9",4.50,1.00
AL,5,Lower,"18",0.90,0.20
AL,5,Lower,"11",0.60,0.10
AL,5,Lower,"7",0.50,0.10
AL,5,Lower,"3",0.20,0.10
AL,5,Upper,"2",20.80,1.80
AL,5,Upper,"7",20.60,1.80
AL,5,Upper,"1",20.20,1.80
AL,5,Upper,"3",19.50,1.70
AL,5,Upper,"8",12.30,1.10
AL,5,Upper,"6",3.80,0.30
AL,5,Upper,"9",2.90,0.30
AL,6,Lower,"73",7.10,2.20
AL,6,Lower,"41",7.00,1.70
AL,6,Lower,"43",7.00,1.70
AL,6,Lower,"49",6.80,1.80
AL,6,Lower,"45",6.70,1.70
AL,6,Lower,"48",6.60,1.70
AL,6,Lower,"44",6.50,1.70
AL,6,Lower,"46",6.50,1.60
AL,6,Lower,"47",6.50,1.70
AL,6,Lower,"51",6.50,1.80
AL,6,Lower,"15",5.00,1.00
AL,6,Lower,"34",4.90,1.10
AL,6,Lower,"42",4.30,1.10
AL,6,Lower,"54",2.60,0.70
AL,6,Lower,"57",2.50,0.70
AL,6,Lower,"11",1.80,0.40
AL,6,Lower,"16",1.80,0.40
AL,6,Lower,"60",1.60,0.50
AL,6,Lower,"81",1.30,0.50
AL,6,Lower,"59",1.10,0.30
AL,6,Lower,"56",0.90,0.20
AL,6,Lower,"72",0.90,0.30
AL,6,Lower,"14",0.80,0.20
AL,6,Lower,"55",0.80,0.20
AL,6,Lower,"13",0.70,0.20
AL,6,Lower,"33",0.60,0.10
AL,6,Lower,"52",0.50,0.20
AL,6,Lower,"35",0.30,0.10
AL,6,Lower,"58",0.20,0.00
AL,6,Lower,"27",0.10,0.00
AL,6,Upper,"16",20.10,1.70
AL,6,Upper,"14",19.70,1.70
AL,6,Upper,"17",17.40,1.50
AL,6,Upper,"15",16.90,1.40
AL,6,Upper,"20",6.40,0.60
AL,6,Upper,"19",5.60,0.50
AL,6,Upper,"11",3.80,0.30
AL,6,Upper,"18",3.20,0.30
AL,6,Upper,"30",3.10,0.30
AL,6,Upper,"5",2.70,0.20
AL,6,Upper,"9",1.10,0.10
AL,7,Lower,"70",7.20,2.10
AL,7,Lower,"62",6.70,1.90
AL,7,Lower,"71",6.70,2.00
AL,7,Lower,"58",6.50,1.80
AL,7,Lower,"52",6.10,1.70
AL,7,Lower,"67",6.10,1.70
AL,7,Lower,"55",5.80,1.60
AL,7,Lower,"56",5.80,1.60
AL,7,Lower,"59",5.50,1.50
AL,7,Lower,"72",5.40,1.60
AL,7,Lower,"60",5.00,1.40
AL,7,Lower,"57",4.10,1.10
AL,7,Lower,"63",4.10,1.10
AL,7,Lower,"54",4.00,1.10
AL,7,Lower,"69",4.00,1.20
AL,7,Lower,"76",3.50,1.10
AL,7,Lower,"65",3.10,0.90
AL,7,Lower,"61",3.00,0.80
AL,7,Lower,"68",2.40,0.70
AL,7,Lower,"78",1.80,0.60
AL,7,Lower,"15",1.60,0.30
AL,7,Lower,"77",1.30,0.40
AL,7,Lower,"16",0.50,0.10
AL,7,Upper,"24",20.30,1.80
AL,7,Upper,"18",16.60,1.40
AL,7,Upper,"19",14.20,1.20
AL,7,Upper,"21",13.80,1.20
AL,7,Upper,"20",13.40,1.10
AL,7,Upper,"23",12.30,1.10
AL,7,Upper,"26",7.40,0.70
AL,7,Upper,"22",1.30,0.10
AL,7,Upper,"14",0.60,0.00
AL,7,Upper,"17",0.10,0.00
AL,7,Upper,"25",0.10,0.00
AR,1,Lower,"59",4.50,1.30
AR,1,Lower,"58",4.40,1.30
AR,1,Lower,"43",4.30,1.10
AR,1,Lower,"53",4.30,1.30
AR,1,Lower,"57",4.30,1.30
AR,1,Lower,"52",4.20,1.20
AR,1,Lower,"63",4.10,1.20
AR,1,Lower,"62",4.00,1.20
AR,1,Lower,"64",4.00,1.20
AR,1,Lower,"100",4.00,1.90
AR,1,Lower,"54",3.90,1.20
AR,1,Lower,"56",3.90,1.20
AR,1,Lower,"60",3.90,1.10
AR,1,Lower,"61",3.90,1.20
AR,1,Lower,"13",3.80,0.80
AR,1,Lower,"50",3.80,1.10
AR,1,Lower,"12",3.70,0.80
AR,1,Lower,"14",3.70,0.80
AR,1,Lower,"48",3.70,1.00
AR,1,Lower,"49",3.70,1.00
AR,1,Lower,"51",3.70,1.00
AR,1,Lower,"55",3.60,1.10
AR,1,Lower,"11",3.20,0.70
AR,1,Lower,"47",3.00,0.80
AR,1,Lower,"44",2.00,0.50
AR,1,Lower,"66",1.80,0.60
AR,1,Lower,"10",0.90,0.20
AR,1,Lower,"83",0.70,0.30
AR,1,Lower,"99",0.70,0.30
AR,1,Lower,"16",0.20,0.00
AR,1,Upper,"21",12.80,1.10
AR,1,Upper,"20",12.00,1.10
AR,1,Upper,"19",11.60,1.00
AR,1,Upper,"24",11.30,1.10
AR,1,Upper,"22",10.70,1.00
AR,1,Upper,"23",8.60,0.80
AR,1,Upper,"18",8.00,0.70
AR,1,Upper,"29",7.60,0.70
AR,1,Upper,"28",6.20,0.60
AR,1,Upper,"17",4.90,0.40
AR,1,Upper,"26",3.50,0.30
AR,1,Upper,"25",2.90,0.30
AR,2,Lower,"23",4.30,1.00
AR,2,Lower,"27",4.30,1.00
AR,2,Lower,"28",4.20,0.90
AR,2,Lower,"31",4.20,1.00
AR,2,Lower,"70",4.20,1.40
AR,2,Lower,"29",4.10,0.90
