"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","runoff","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1976,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,FALSE,"Bill Davenport","democrat",FALSE,"total",58906,157170,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,FALSE,"Jack Edwards","republican",FALSE,"total",98257,157170,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,FALSE,NA,NA,TRUE,"total",7,157170,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,FALSE,"J. Carole Keahey","democrat",FALSE,"total",66288,156362,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,FALSE,NA,NA,TRUE,"total",5,156362,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,FALSE,"William L. """"Bill"""" Dickinson","republican",FALSE,"total",90069,156362,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,FALSE,"Bill Nichols","democrat",FALSE,"total",106935,108048,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,FALSE,NA,NA,TRUE,"total",2,108048,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,FALSE,"Ogburn Gardner","prohibition",FALSE,"total",1111,108048,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,FALSE,"Tom Bevill","democrat",FALSE,"total",141490,176022,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,FALSE,"Leonard Wilson","republican",FALSE,"total",34531,176022,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,FALSE,NA,NA,TRUE,"total",1,176022,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,FALSE,"Ronnie G. Flippo","democrat",FALSE,"total",113553,113560,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,FALSE,NA,NA,TRUE,"total",7,113560,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,FALSE,"Billy E. Dorsey","national democrat",FALSE,"total",1021,162518,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,FALSE,"Mel Bailey","democrat",FALSE,"total",69384,162518,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,FALSE,"John H. Buchanan, Jr.","republican",FALSE,"total",92113,162518,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,FALSE,"Walter Flowers","democrat",FALSE,"total",110496,110501,FALSE,20171005
1976,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,FALSE,NA,NA,TRUE,"total",5,110501,FALSE,20171005
1976,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,FALSE,"Don Young","republican",FALSE,"total",83722,118208,FALSE,20171005
1976,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,FALSE,NA,NA,TRUE,"total",292,118208,FALSE,20171005
1976,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,FALSE,"Eben Hopson","democrat",FALSE,"total",34194,118208,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",1,"gen",FALSE,FALSE,"Harry Braun","independent",FALSE,"total",1040,168119,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",1,"gen",FALSE,FALSE,"John J. Rhodes","republican",FALSE,"total",96397,168119,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",1,"gen",FALSE,FALSE,"Summer Duncan Dodge","libertarian",FALSE,"total",2278,168119,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",1,"gen",FALSE,FALSE,"Patricia M. Fullinwider","democrat",FALSE,"total",68404,168119,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,FALSE,"Laird Guttersen","republican",FALSE,"total",71765,182128,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,FALSE,"Michael Emerling","libertarian",FALSE,"total",4309,182128,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,FALSE,"Morris K. Udall","democrat",FALSE,"total",106054,182128,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",3,"gen",FALSE,FALSE,"Bill McCune","independent",FALSE,"total",19149,187165,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",3,"gen",FALSE,FALSE,"Bob Stump","democrat",FALSE,"total",88854,187165,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",3,"gen",FALSE,FALSE,"Fred Koory, Jr.","republican",FALSE,"total",79162,187165,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,FALSE,"Pat Harper","libertarian",FALSE,"total",6001,191590,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,FALSE,"Eldon Rudd","republican",FALSE,"total",93154,191590,FALSE,20171005
1976,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,FALSE,"Tony Mason","democrat",FALSE,"total",92435,191590,FALSE,20171005
1976,"Arkansas","AR",5,71,42,"US House",1,"gen",FALSE,FALSE,"Harlan """"Bo"""" Holleman","republican",FALSE,"total",52565,168782,FALSE,20171005
1976,"Arkansas","AR",5,71,42,"US House",1,"gen",FALSE,FALSE,"Bill Alexander","democrat",FALSE,"total",116217,168782,FALSE,20171005
1976,"Arkansas","AR",5,71,42,"US House",2,"gen",FALSE,FALSE,"Jim Guy Tucker","democrat",FALSE,"total",144780,167607,FALSE,20171005
1976,"Arkansas","AR",5,71,42,"US House",2,"gen",FALSE,FALSE,NA,NA,TRUE,"total",8,167607,FALSE,20171005
1976,"Arkansas","AR",5,71,42,"US House",2,"gen",FALSE,FALSE,"James J. Kelly","republican",FALSE,"total",22819,167607,FALSE,20171005
1976,"Arkansas","AR",5,71,42,"US House",3,"gen",FALSE,FALSE,"John Paul Hammerschmidt","republican",FALSE,"total",1,1,FALSE,20171005
1976,"Arkansas","AR",5,71,42,"US House",4,"gen",FALSE,FALSE,"Ray Thornton","democrat",FALSE,"total",1,1,FALSE,20171005
1976,"California","CA",6,93,71,"US House",1,"gen",FALSE,FALSE,"James E. Taylor","republican",FALSE,"total",56539,217016,FALSE,20171005
1976,"California","CA",6,93,71,"US House",1,"gen",FALSE,FALSE,"Harold T. (Bizz) Johnson","democrat",FALSE,"total",160477,217016,FALSE,20171005
1976,"California","CA",6,93,71,"US House",2,"gen",FALSE,FALSE,"Robert B. Allred","peace and freedom",FALSE,"total",6444,216563,FALSE,20171005
1976,"California","CA",6,93,71,"US House",2,"gen",FALSE,FALSE,"Oscar Klee","democrat",FALSE,"total",88829,216563,FALSE,20171005
1976,"California","CA",6,93,71,"US House",2,"gen",FALSE,FALSE,"Don H. Clausen","republican",FALSE,"total",121290,216563,FALSE,20171005
1976,"California","CA",6,93,71,"US House",3,"gen",FALSE,FALSE,"George R. Marsh, Jr.","republican",FALSE,"total",52075,191854,FALSE,20171005
1976,"California","CA",6,93,71,"US House",3,"gen",FALSE,FALSE,"John E. Moss","democrat",FALSE,"total",139779,191854,FALSE,20171005
1976,"California","CA",6,93,71,"US House",4,"gen",FALSE,FALSE,"Albert Dehr","republican",FALSE,"total",75193,151037,FALSE,20171005
1976,"California","CA",6,93,71,"US House",4,"gen",FALSE,FALSE,"Robert L. Leggett","democrat",FALSE,"total",75844,151037,FALSE,20171005
1976,"California","CA",6,93,71,"US House",5,"gen",FALSE,FALSE,"Branwell Fanning","republican",FALSE,"total",64008,167754,FALSE,20171005
1976,"California","CA",6,93,71,"US House",5,"gen",FALSE,FALSE,"John L. Burton","democrat",FALSE,"total",103746,167754,FALSE,20171005
1976,"California","CA",6,93,71,"US House",6,"gen",FALSE,FALSE,"Raymond O. Heaps","american independent",FALSE,"total",2494,130916,FALSE,20171005
