Identity,Total,Citizen,Registered,Voted,RegFraction,VotedFraction
YoungMale,56086,48961,29918,24192,0.533430803,0.431337589
OldMale,62403,58593,43843,39609,0.702578402,0.6347291
YoungFemale,56933,50560,33617,28362,0.590465986,0.498164509
OldFemale,70080,65944,50218,45374,0.71658105,0.647460046
YoungWhiteMale,31745,30988,20363,16735,0.641455347,0.527169633
OldWhiteMale,44765,44080,34055,31048,0.760750586,0.693577572
YoungWhiteFemale,31648,30853,21402,18251,0.676251264,0.57668731
OldWhiteFemale,49237,48529,38331,34815,0.778499909,0.707090196
YoungNonWhiteMale,24341,17973,9555,7457,0.392547554,0.306355532
OldNonWhiteMale,17638,14513,9788,8561,0.554938202,0.485372491
YoungNonWhiteFemale,25285,19707,12215,10111,0.483092743,0.399881353
OldNonWhiteFemale,20843,17415,11887,10559,0.570311376,0.506596939
