candidate_id,state_abbreviation,congressional_district,candidate_party,disbursement,ind_support,ind_oppose,party_expenditures
H0AL02087,AL,2,Republican,165956,27,39,0
H0AL05163,AL,5,Republican,93403,4023,0,0
H0AL07086,AL,7,Democrat,482508,103,0,0
H0AR01083,AR,1,Republican,307858,0,0,0
H0AR03055,AR,3,Republican,353660,0,0,0
H0AZ01259,AZ,4,Republican,240738,12256,0,0
H0CA03078,CA,7,Democrat,787307,20845,0,0
H0CA07111,CA,11,Republican,0,0,0,0
H0CA10073,CA,11,Democrat,114968,103,0,0
H0CA10149,CA,3,Democrat,410553,67,0,0
H0CA17185,CA,20,Other,0,0,0,0
H0CA19173,CA,10,Republican,3469449,226671,5564473,0
H0CA27085,CA,28,Democrat,1400737,103,0,0
H0CA32101,CA,27,Democrat,363666,103,0,0
H0CA33117,CA,37,Democrat,158158,0,0,0
H0CA49055,CA,53,Democrat,109854,36,0,0
H0CT03072,CT,3,Democrat,272841,1424,0,125
H0FL02086,FL,5,Democrat,191798,36,0,0
H0FL08208,FL,11,Republican,68113,0,0,0
H0FL17068,FL,24,Democrat,162183,103,0,0
H0FL19080,FL,22,Democrat,188570,1080,0,0
H0GA07125,GA,10,Republican,177205,4021,0,0
H0GA07133,GA,7,Republican,361509,0,0,0
H0GA08099,GA,8,Republican,81409,0,0,0
H0IL05096,IL,5,Democrat,110731,36,0,0
H0IL11052,IL,16,Republican,634127,64145,0,0
H0IL14080,IL,14,Republican,787127,11171,3705834,91196
H0IN02190,IN,2,Republican,1210161,18346,59982,1583
H0IN08114,IN,8,Republican,341738,5083,0,401
H0KS03137,KS,3,Republican,2231819,507106,5054661,95000
H0KY05015,KY,5,Republican,210939,0,0,0
H0KY06104,KY,6,Republican,2527223,1997446,2594846,88000
H0LA01087,LA,1,Republican,5384408,0,0,0
H0MA10082,MA,9,Democrat,119567,104,0,0
H0MI02086,MI,2,Other,0,0,0,0
H0MI02094,MI,2,Republican,731783,1371,0,0
H0MI03126,MI,3,Republican,56436,4207,0,0
H0MI03209,MI,3,Other,0,0,0,0
H0MN01045,MN,1,Republican,616447,208000,6188292,94950
H0MN04049,MN,4,Other,359754,9510,8225,0
H0MO01066,MO,1,Democrat,192700,36,0,0
H0MO04086,MO,4,Republican,326201,9887,0,0
H0MO06073,MO,6,Republican,832280,166,0,0
H0MO07113,MO,7,Republican,230911,166,0,0
H0MS04120,MS,4,Republican,105148,0,0,0
H0NH01191,NH,1,Libertarian,0,0,0,0
H0NH02181,NH,2,Democrat,1836644,5152,0,0
H0NY18065,NY,15,Democrat,29395,0,0,0
H0NY29054,NY,23,Republican,826918,572423,12880,0
H0OH04077,OH,5,Libertarian,0,0,0,0
H0OH06189,OH,6,Republican,664943,1095,0,0
H0OH08136,OH,10,Libertarian,0,0,0,0
H0OH18077,OH,7,Republican,1547137,1099,216138,0
H0OR04081,OR,4,Republican,52811,354,0,0
H0PA04220,PA,17,Republican,1234692,257376,1001001,95000
H0PA10078,PA,12,Republican,88558,89,0,0
H0RI01073,RI,1,Democrat,414710,46,0,0
H0RI02139,RI,2,Democrat,145711,10,0,0
H0SC03077,SC,3,Republican,186669,4023,0,0
H0TN03254,TN,3,Republican,124932,1435,0,0
H0TN04195,TN,4,Republican,15921,5441,0,0
H0TX07055,TX,7,Republican,1716325,1511034,1e7,95000
H0TX17104,TX,17,Republican,319843,1033,0,0
H0TX23086,TX,23,Republican,2563619,598525,4263436,95000
H0TX26105,TX,26,Libertarian,0,0,0,0
H0VA02118,VA,2,Republican,1351868,978531,5448441,95000
H0VA09055,VA,9,Republican,294079,4020,0,0
H0WA02080,WA,2,Democrat,307218,2489,0,0
H0WA03161,WA,10,Democrat,374441,2025,0,0
H0WA08046,WA,1,Democrat,585831,2467,240,46560
