candidate_id,state_abbrevation,congressional_district,candidate_party,disbursement,ind_support,ind_oppose,party_expenditures
H0AL02087,AL,2,Republican,2165535,399040,900,0
H0AL05163,AL,5,Republican,944393,5895,862,0
H0AL07086,AL,7,Democrat,886236,0,0,0
H0AR01083,AR,1,Republican,802181,0,862,0
H0AR03055,AR,3,Republican,919538,0,862,0
H0AZ01259,AZ,4,Republican,250358,286,862,0
H0AZ03248,AZ,8,Democrat,0,0,0,0
H0CA03078,CA,7,Democrat,854359,10,0,0
H0CA07111,CA,11,Republican,0,0,0,0
H0CA10073,CA,11,Democrat,351143,10,0,0
H0CA10149,CA,3,Democrat,530572,10,0,0
H0CA17185,CA,20,Other,0,0,0,0
H0CA19173,CA,10,Republican,1998530,152780,255132,0
H0CA27085,CA,28,Democrat,3512888,10,0,0
H0CA32101,CA,27,Democrat,691241,10,0,0
H0CA33117,CA,37,Democrat,852092,10,0,0
H0CA48024,CA,49,Republican,1818368,0,285666,0
H0CA49055,CA,53,Democrat,343291,10,0,0
H0CT03072,CT,3,Democrat,990427,10,0,5000
H0CT05127,CT,5,Republican,0,0,0,0
H0DC00058,DC,0,Democrat,373366,0,0,0
H0DE01025,DE,0,Democrat,3900,0,0,0
H0FL02086,FL,5,Democrat,447819,9110,0,0
H0FL08208,FL,11,Republican,396918,0,862,0
H0FL12101,FL,15,Republican,778985,0,862,0
H0FL17068,FL,24,Democrat,155040,12,0,0
H0FL18025,FL,27,Republican,493747,0,0,0
H0FL19080,FL,22,Democrat,1042087,12,0,0
H0GA06143,GA,6,Republican,31726,0,0,0
H0GA07125,GA,10,Republican,388859,250,862,0
H0GA07133,GA,7,Republican,633372,0,862,0
H0GA08099,GA,8,Republican,503357,0,862,0
H0GA09030,GA,14,Republican,1311959,0,862,0
H0ID01253,ID,1,Republican,125357,0,862,0
H0IL05096,IL,5,Democrat,1072541,10,0,0
H0IL11052,IL,16,Republican,1711645,0,862,0
H0IL14080,IL,14,Republican,671709,0,862,0
H0IN02125,IN,6,Republican,1671933,0,0,0
H0IN02190,IN,2,Republican,1122262,0,862,105
H0IN04170,IN,4,Republican,2158653,0,0,0
H0IN06084,IN,4,Democrat,0,0,0,0
H0IN07199,IN,7,Democrat,0,0,0,0
H0IN08114,IN,8,Republican,895166,0,862,52
H0KS03137,KS,3,Republican,1935994,0,328308,0
H0KS04051,KS,4,Republican,147206,0,0,0
H0KY02061,KY,2,Democrat,0,0,0,0
H0KY05015,KY,5,Republican,829100,0,862,0
H0KY06104,KY,6,Republican,1849997,0,285214,10000
H0LA01087,LA,1,Republican,1e7,0,8389,0
H0MA10082,MA,9,Democrat,390558,10,0,0
H0MD07056,MD,7,Democrat,0,0,0,0
H0MI02086,MI,2,Other,0,0,0,0
H0MI02094,MI,2,Republican,1421036,106,862,0
H0MI03126,MI,3,Republican,529877,694,862,0
H0MI03209,MI,3,Other,0,0,0,0
H0MI14214,MI,13,Other,0,0,0,0
H0MN01045,MN,1,Republican,591269,0,0,0
H0MN04049,MN,4,Other,507941,10,0,0
H0MO01066,MO,1,Democrat,643928,10,0,0
H0MO03120,MO,2,Green,0,0,0,0
H0MO04086,MO,4,Republican,650199,50,862,0
H0MO06073,MO,6,Republican,1282026,45,862,0
H0MO07113,MO,7,Republican,1224047,45,862,0
H0MS04120,MS,4,Republican,592668,0,862,0
H0NC01036,NC,10,Republican,0,0,0,0
H0NC10177,NC,10,Republican,0,0,0,0
H0ND01026,ND,0,Republican,1221157,0,0,0
H0NH01191,NH,1,Libertarian,0,0,0,0
H0NH02181,NH,2,Democrat,1018496,10,0,0
H0NY11037,NY,8,Other,0,0,0,0
H0NY13074,NY,11,Republican,501429,0,32163,0
H0NY18065,NY,15,Democrat,195669,10,0,0
H0NY29054,NY,23,Republican,1993224,0,8518,0
H0OH04077,OH,5,Libertarian,0,0,0,0
H0OH06189,OH,6,Republican,1035450,0,862,0
H0OH07070,OH,10,Republican,0,3960,0,0
H0OH07104,OH,10,Republican,0,0,0,0
H0OH08060,OH,8,Democrat,0,0,0,0
H0OH08136,OH,10,Libertarian,0,0,0,0
H0OH10090,OH,9,Republican,0,0,0,0
H0OH12062,OH,12,Republican,2321279,0,0,0
H0OH15099,OH,12,Republican,0,0,0,0
H0OH16097,OH,16,Republican,1740364,0,0,0
H0OH18077,OH,7,Republican,273251,0,862,14584
H0OK01089,OK,1,Republican,130432,350,0,0
H0OK05155,OK,5,Democrat,87816,0,0,0
H0OR04081,OR,4,Republican,38137,488,0,0
H0PA03271,PA,16,Republican,899801,0,0,0
H0PA04220,PA,17,Republican,2509593,0,862,0
H0PA06076,PA,6,Republican,1271237,0,861,0
H0PA07082,PA,7,Republican,1384853,0,0,0
H0PA08122,PA,8,Republican,29757,0,0,0
H0PA09039,PA,13,Republican,176,0,0,0
H0PA10078,PA,12,Republican,700387,0,862,67282
H0RI01073,RI,1,Democrat,1348424,0,0,0
H0RI02139,RI,2,Democrat,653943,0,0,0
H0SC01204,SC,7,Other,0,0,0,0
H0SC03077,SC,3,Republican,452318,250,862,0
H0SC04257,SC,4,Republican,1758821,2130,882,0
H0SC05031,SC,5,Republican,140009,0,0,0
H0SD00054,SD,0,Republican,86948,0,862,0
H0TN03254,TN,3,Republican,315552,5000,862,0
H0TN04195,TN,4,Republican,168802,100,862,0
H0TN06257,TN,6,Republican,319201,0,905,0
H0TX07055,TX,7,Republican,1123542,966,16873,0
H0TX17104,TX,17,Republican,688658,18,862,0
H0TX23086,TX,23,Republican,1916079,1110514,862,0
H0TX26105,TX,26,Libertarian,0,0,0,0
H0TX27038,TX,27,Republican,0,0,0,0
H0TX27061,TX,27,Republican,632553,0,862,0
H0TX30032,TX,5,Republican,0,0,0,0
H0UT02096,UT,4,Democrat,6874,0,0,0
H0VA02118,VA,2,Republican,2025999,120000,862,0
H0VA09055,VA,9,Republican,512293,250,862,0
H0VA10129,VA,10,Democrat,0,0,0,0
H0WA02080,WA,2,Democrat,684926,0,0,0
H0WA03161,WA,10,Democrat,654408,10,0,0
H0WA03187,WA,3,Republican,1065617,32427,0,0
H0WA08046,WA,1,Democrat,765161,10,0,0
H0WI03092,WI,3,Republican,0,0,0,0
H0WI07051,WI,7,Republican,1895737,0,862,0
H0WV01072,WV,1,Republican,544178,3460,862,0
H2AK00184,AK,0,Independent,0,0,0,0
H2AL03032,AL,3,Republican,665467,0,862,0
H2AS00030,AS,0,Independent,0,0,0,0
H2AZ05132,AZ,6,Democrat,1110,0,0,0
H2AZ07070,AZ,3,Democrat,430473,10,0,0
H2AZ07161,AZ,3,Unknown,0,0,0,0
H2AZ08102,AZ,2,Republican,4361048,696,3127,0
H2AZ08151,AZ,8,Republican,0,0,0,0
H2AZ09019,AZ,9,Democrat,5567807,188,0,28550
H2AZ09035,AZ,1,Republican,343503,124645,0,0
H2CA00096,CA,10,Democrat,11885,0,0,0
H2CA00104,CA,47,Democrat,420487,10,0,0
H2CA00120,CA,26,Democrat,928298,10,0,0
H2CA01136,CA,1,Republican,0,0,0,0
H2CA02142,CA,1,Republican,304075,0,11734,0
H2CA06259,CA,2,Democrat,611188,10,0,0
H2CA08164,CA,8,Republican,1021052,5913,3556,0
H2CA15094,CA,15,Democrat,1913023,10,0,0
H2CA20094,CA,21,Republican,1224361,0,56903,0
H2CA28113,CA,29,Democrat,1400888,10,0,0
H2CA30143,CA,34,Democrat,125025,0,0,0
H2CA31125,CA,31,Democrat,1305577,10,0,0
H2CA33048,CA,40,Democrat,483052,10,0,0
H2CA35100,CA,44,Democrat,9359,0,0,0
H2CA36439,CA,36,Democrat,1540533,5551,0,0
H2CA37023,CA,42,Republican,1221143,0,2087,0
H2CA39078,CA,38,Democrat,1409214,10,0,0
H2CA39136,CA,39,Democrat,132991,0,0,0
H2CA43245,CA,41,Democrat,892837,10,0,0
H2CA46123,CA,39,Republican,108586,0,0,0
H2CA48095,CA,45,Democrat,251543,0,0,0
H2CA50026,CA,51,Democrat,684308,10,0,0
H2CA52089,CA,52,Democrat,1059839,10,0,0
H2CT02112,CT,2,Democrat,580665,10,0,5000
H2CT05131,CT,5,Democrat,974202,10,0,0
H2DC00096,DC,0,Libertarian,694,0,0,0
H2FL00292,FL,6,Republican,1971055,0,862,0
H2FL04138,FL,4,Other,0,0,0,0
H2FL06109,FL,3,Republican,491472,520,1362,0
H2FL08063,FL,10,Democrat,569761,12,0,0
H2FL13139,FL,16,Democrat,5395,0,0,0
H2FL14053,FL,21,Democrat,718080,12,0,0
H2FL14160,FL,17,Republican,0,0,0,0
H2FL20043,FL,23,Republican,28233,0,0,0
H2FL23021,FL,20,Democrat,578216,2,0,0
H2FL25018,FL,25,Republican,732748,0,862,0
H2GA02031,GA,2,Democrat,714911,0,862,0
H2GA09150,GA,9,Republican,665383,0,862,0
H2GA12121,GA,12,Republican,534120,0,862,0
H2GA13012,GA,13,Democrat,896974,10,0,0
H2GU00033,GU,0,Democrat,113465,0,0,0
H2HI02110,HI,1,Democrat,334796,0,0,0
H2HI02128,HI,1,Democrat,354738,0,0,0
H2HI02508,HI,2,Democrat,1083223,525,0,0
H2IA01055,IA,1,Republican,271822,10037,7062,0
H2IA05072,IA,4,Republican,770789,4260,107168,0
H2ID01150,ID,1,Conservative,0,0,0,0
H2IL01042,IL,1,Democrat,269066,10,0,0
H2IL01182,IL,1,Republican,0,0,0,0
H2IL02172,IL,2,Democrat,689592,10,0,0
H2IL08039,IL,4,Democrat,246755,0,0,0
H2IL10068,IL,10,Democrat,2789143,0,0,0
H2IL10092,IL,10,Republican,472,0,0,0
H2IL13120,IL,13,Republican,1415842,0,862,0
H2IL17071,IL,17,Democrat,1388559,10,0,0
H2IL20042,IL,15,Republican,1428029,0,862,0
H2IN03160,IN,3,Democrat,0,0,0,0
H2IN05082,IN,5,Republican,808242,9891,862,104
H2IN06189,IN,6,Democrat,0,0,0,0
