candidate_id,state_abbreviation,congressional_district,candidate_party,disbursement,ind_support,ind_oppose,party_expenditures
H0AL02087,AL,2,Republican,2331578,399067,938,0
H0AL05163,AL,5,Republican,1037797,9918,862,0
H0AL07086,AL,7,Democrat,1374127,103,0,0
H0AR01083,AR,1,Republican,1110039,0,862,0
H0AR03055,AR,3,Republican,1273210,0,862,0
H0AZ01259,AZ,4,Republican,497120,12542,862,0
H0CA03078,CA,7,Democrat,1664583,20855,0,0
H0CA07111,CA,11,Republican,0,0,0,0
H0CA10073,CA,11,Democrat,466811,113,0,0
H0CA10149,CA,3,Democrat,944826,77,0,0
H0CA17185,CA,20,Other,0,0,0,0
H0CA19173,CA,10,Republican,5478022,379451,5819605,0
H0CA27085,CA,28,Democrat,4990650,113,0,0
H0CA32101,CA,27,Democrat,1055158,113,0,0
H0CA33117,CA,37,Democrat,1011750,10,0,0
H0CA49055,CA,53,Democrat,453146,46,0,0
H0CT03072,CT,3,Democrat,1264155,1434,0,5125
H0FL02086,FL,5,Democrat,650454,9146,0,0
H0FL08208,FL,11,Republican,465031,0,862,0
H0FL17068,FL,24,Democrat,317223,115,0,0
H0FL19080,FL,22,Democrat,1231390,1091,0,0
H0GA07125,GA,10,Republican,567064,4271,862,0
H0GA07133,GA,7,Republican,1002312,0,862,0
H0GA08099,GA,8,Republican,584766,0,862,0
H0IL05096,IL,5,Democrat,1183272,46,0,0
H0IL11052,IL,16,Republican,2345776,64145,862,0
H0IL14080,IL,14,Republican,1458837,11171,3706696,91196
H0IN02190,IN,2,Republican,2349050,18346,60844,1837
H0IN08114,IN,8,Republican,1238642,5083,862,511
H0KS03137,KS,3,Republican,4176791,507106,5382969,95000
H0KY05015,KY,5,Republican,1040080,0,862,0
H0KY06104,KY,6,Republican,4411777,1997446,2880061,98000
H0LA01087,LA,1,Republican,2e7,0,8389,0
H0MA10082,MA,9,Democrat,520354,114,0,0
H0MI02086,MI,2,Other,0,0,0,0
H0MI02094,MI,2,Republican,2166898,1476,862,0
H0MI03126,MI,3,Republican,586313,4901,862,0
H0MI03209,MI,3,Other,0,0,0,0
H0MN01045,MN,1,Republican,1207784,208000,6188292,94950
H0MN04049,MN,4,Other,872417,9520,8225,0
H0MO01066,MO,1,Democrat,846628,46,0,0
H0MO04086,MO,4,Republican,976476,9937,862,0
H0MO06073,MO,6,Republican,2114327,211,862,0
H0MO07113,MO,7,Republican,1457380,211,862,0
H0MS04120,MS,4,Republican,697816,0,862,0
H0NH01191,NH,1,Libertarian,0,0,0,0
H0NH02181,NH,2,Democrat,2864849,5162,0,0
H0NY18065,NY,15,Democrat,225235,10,0,0
H0NY29054,NY,23,Republican,2832886,572423,21488,0
H0OH04077,OH,5,Libertarian,0,0,0,0
H0OH06189,OH,6,Republican,1700474,1095,862,0
H0OH08136,OH,10,Libertarian,0,0,0,0
H0OH18077,OH,7,Republican,1820388,1099,217000,14584
H0OR04081,OR,4,Republican,91012,842,0,0
H0PA04220,PA,17,Republican,3751261,257376,1001863,95000
H0PA10078,PA,12,Republican,788945,89,862,67282
H0RI01073,RI,1,Democrat,1763246,46,0,0
H0RI02139,RI,2,Democrat,801206,10,0,0
H0SC03077,SC,3,Republican,639798,4273,862,0
H0TN03254,TN,3,Republican,440484,6435,862,0
H0TN04195,TN,4,Republican,197760,5541,862,0
H0TX07055,TX,7,Republican,2839900,1512000,1e7,95000
H0TX17104,TX,17,Republican,1093416,1051,862,0
H0TX23086,TX,23,Republican,4505510,1714093,4264298,95000
H0TX26105,TX,26,Libertarian,0,0,0,0
H0VA02118,VA,2,Republican,3414543,1098531,5449303,95000
H0VA09055,VA,9,Republican,815486,4270,862,0
H0WA02080,WA,2,Democrat,997487,2489,0,0
H0WA03161,WA,10,Democrat,1042989,2035,0,0
H0WA08046,WA,1,Democrat,1358231,2477,240,46560
H0WI07051,WI,7,Republican,3316062,0,862,0
H0WV01072,WV,1,Republican,897973,1011694,862,0
H2AL03032,AL,3,Republican,1484952,0,862,0
H2AZ07070,AZ,3,Democrat,676246,7771,0,23931
H2AZ09035,AZ,1,Republican,1337254,732324,5463972,0
H2CA00104,CA,47,Democrat,641773,113,0,0
H2CA00120,CA,26,Democrat,2020360,23713,0,0
H2CA02142,CA,1,Republican,1108063,0,16326,0
H2CA06259,CA,2,Democrat,695883,118,0,0
H2CA08164,CA,8,Republican,1615335,5913,19900,0
H2CA15094,CA,15,Democrat,2272735,113,0,0
H2CA20094,CA,21,Republican,2853478,12748,714933,94905
H2CA28113,CA,29,Democrat,1573938,113,0,0
H2CA31125,CA,31,Democrat,2292062,18109,0,0
H2CA33048,CA,40,Democrat,595773,77,0,0
