candidate_id,state_abbreviation,congressional_district,candidate_party,voteshare,final_voteshare,state_abbreviation,congressional_district,race_total_for,race_total_against,race_total_cands,disbursement,ind_support,ind_oppose,party_expenditures,candidate_diff_spend,result_vs_forecast
"H6VA04061","VA",4,"Democrat",63.45,62.6,"VA",4,1017482.0,0.0,3,297967.0,104.0,0.0,0,0.2929496541462159,-0.8500000000000014
"H6GA03113","GA",3,"Republican",66.85,65.5,"GA",3,1174218.0,862.0,2,186374.0,0.0,0.0,0,0.15933893862545528,-1.3499999999999943
"H8ID02148","ID",2,"Democrat",37.13,39.3,"ID",2,1226726.0,862.0,2,51073.0,0.0,0.0,0,4.230653932752682e-2,2.1699999999999946
"H8IA01094","IA",1,"Democrat",52.2,51.0,"IA",1,6429515.0,3604248.0,3,2173863.0,884199.0,504363.0,90000,0.4682196001639664,-1.2000000000000028
"H8VA07094","VA",7,"Democrat",47.48,50.4,"VA",7,1.0251363e7,9098463.0,3,4417131.0,883576.0,3493062.0,90000,0.42343571978373346,2.9200000000000017
"H0IL11052","IL",16,"Republican",59.14,59.1,"IL",16,2783937.0,862.0,2,634130.0,64145.0,0.0,0,0.2510547439869089,-3.999999999999915e-2
"H0CA27085","CA",28,"Democrat",81.31,78.4,"CA",28,5025167.0,0.0,2,1477762.0,103.0,0.0,0,0.2940927137346878,-2.9099999999999966
"H6NE03115","NE",3,"Republican",70.7,76.7,"NE",3,1713142.0,862.0,2,352054.0,0.0,0.0,0,0.20590150314701716,6.0
"H2NY13096","NY",13,"Democrat",92.52,94.6,"NY",13,498411.0,0.0,2,113372.08,0.0,0.0,0,0.2274670502858083,2.0799999999999983
"H8TX14120","TX",14,"Democrat",38.92,39.3,"TX",14,764539.0,862.0,3,55537.0,840.0,0.0,0,7.421991870927788e-2,0.37999999999999545
"H8OH01118","OH",1,"Democrat",48.53,46.9,"OH",1,6352341.0,6926637.0,3,2759111.0,355747.0,3092370.0,90000,0.3857218153384997,-1.6300000000000026
"H6NJ08167","NJ",10,"Republican",12.64,10.1,"NJ",10,468780.0,0.0,2,0.0,0.0,0.0,0,0.0,-2.540000000000001
"H8CA41170","CA",41,"Republican",32.48,35.2,"CA",41,1258112.0,0.0,2,22682.0,0.0,0.0,0,1.8028601587140095e-2,2.720000000000006
"H0FL02086","FL",5,"Democrat",69.72,66.8,"FL",5,710520.0,0.0,2,202636.0,36.0,0.0,0,0.2852446095817148,-2.9200000000000017
"H4KS01059","KS",1,"Democrat",29.5,31.6,"KS",1,936523.0,375427.0,2,125986.0,10.0,0.0,0,0.3821967300583102,2.1000000000000014
"H2CA00104","CA",47,"Democrat",67.52,64.9,"CA",47,696653.0,0.0,2,221287.0,103.0,0.0,0,0.3177909231712201,-2.6199999999999903
"H6NJ13191","NJ",8,"Democrat",76.79,78.1,"NJ",8,560028.0,0.0,2,212475.0,9104.0,0.0,0,0.3956570028641425,1.309999999999988
"H4WV02080","WV",2,"Republican",56.4,54.0,"WV",2,1636731.0,1234.0,3,580729.0,4237.0,0.0,0,0.35750641802480515,-2.3999999999999986
"H8NY15148","NY",14,"Democrat",79.22,78.0,"NY",14,8637920.0,582829.0,3,544679.0,694.0,560829.0,0,6.033924142171097e-2,-1.2199999999999989
"H4NC12100","NC",12,"Democrat",70.65,73.0,"NC",12,468033.0,0.0,2,203292.0,104.0,0.0,0,0.43457619441364176,2.3499999999999943
"H8NY04084","NY",4,"Republican",34.56,39.0,"NY",4,1582063.0,0.0,2,25270.0,0.0,0.0,0,1.59728152418709e-2,4.439999999999998
"H0CA03078","CA",7,"Democrat",58.35,55.0,"CA",7,2173518.0,95750.0,2,810227.0,20845.0,0.0,0,0.4084233329866723,-3.3500000000000014
"H6MD06212","MD",6,"Republican",36.98,39.4,"MD",6,2.2746584e7,160000.0,2,396711.0,1920131.0,0.0,0,0.10812795133486512,2.4200000000000017
"H8CA50098","CA",50,"Democrat",44.44,48.2,"CA",50,5473947.0,164590.0,2,1961648.0,709954.0,0.0,261,0.5030476877246705,3.760000000000005
"H8KY06164","KY",6,"Democrat",49.01,47.8,"KY",6,1.6745956e7,5696558.0,2,3746876.0,2872723.0,2816496.0,21000,0.4242243538313043,-1.2100000000000009
"H8CA07056","CA",7,"Republican",41.65,45.0,"CA",7,2173518.0,95750.0,2,146950.0,5435.0,95750.0,0,6.715161012273561e-2,3.3500000000000014
"H8CA22139","CA",22,"Democrat",43.06,47.3,"CA",22,1.7649893e7,970489.0,2,4846382.0,211450.0,260.0,202,0.3237453989934256,4.239999999999995
"H8IN07184","IN",7,"Democrat",68.59,64.9,"IN",7,1041206.0,0.0,2,294989.0,103.0,0.0,271,0.28367393195966983,-3.6899999999999977
"H0KY06104","KY",6,"Republican",47.67,51.0,"KY",6,1.6745956e7,5696558.0,2,2561778.0,1997446.0,2594848.0,88000,0.345279232086031,3.3299999999999983
"H6AZ05083","AZ",5,"Unknown",63.38,59.4,"AZ",5,813415.0,5462.0,2,165852.0,5052.0,0.0,0,0.21537544710621986,-3.980000000000004
"H8MD01094","MD",1,"Republican",58.82,60.6,"MD",1,2568111.0,862.0,3,539143.0,1006.0,0.0,0,0.21042650117381537,1.7800000000000011
"H8NJ03206","NJ",3,"Democrat",47.34,50.0,"NJ",3,9708656.0,1.6084291e7,2,3754024.0,404208.0,6084291.0,90000,0.5524080672131029,2.6599999999999966
"H8MI09118","MI",9,"Democrat",59.7,59.7,"MI",9,2106011.0,0.0,2,336633.0,643254.0,0.0,0,0.46528104554059785,0.0
"H6CT03145","CT",3,"Republican",29.99,35.6,"CT",3,1270714.0,0.0,2,0.0,0.0,0.0,0,0.0,5.610000000000003
"H6MN02131","MN",2,"Democrat",52.36,52.8,"MN",2,8093535.0,1.2618899e7,2,2955451.0,1878082.0,4823662.0,89221,0.6140268690777723,0.4399999999999977
"H8AZ06103","AZ",6,"Democrat",45.21,44.8,"AZ",6,2824311.0,4437.0,2,265030.0,38812.0,3575.0,8836,0.11084055560976093,-0.4100000000000037
"H8AZ02151","AZ",2,"Democrat",55.14,54.7,"AZ",2,5948765.0,4500610.0,2,1759563.0,960647.0,1107157.0,46396,0.5895145881930738,-0.4399999999999977
"H0NH02181","NH",2,"Democrat",58.43,55.6,"NH",2,3339679.0,0.0,3,1846348.0,5152.0,0.0,0,0.5543945990018802,-2.8299999999999983
"H2MO02102","MO",2,"Republican",53.97,51.2,"MO",2,5345912.0,22280.0,2,1388776.0,110339.0,20076.0,0,0.27966939334509644,-2.769999999999996
"H8CA12098","CA",18,"Democrat",78.1,74.5,"CA",18,1443343.0,550872.0,2,312329.0,1901.0,550871.0,0,0.15757127491268494,-3.5999999999999943
"H8NY22151","NY",22,"Democrat",51.65,50.4,"NY",22,7472771.0,1.8492185e7,2,2764420.0,637295.0,8492183.0,86000,0.5194584962901535,-1.25
"H6MD04209","MD",4,"Democrat",77.53,77.9,"MD",4,519439.0,0.0,2,67018.0,339.0,0.0,0,0.12967258908168236,0.37000000000000455
"H8VA09066","VA",9,"Democrat",39.16,34.8,"VA",9,1812466.0,862.0,2,718920.0,4036.0,0.0,0,0.39916551225150665,-4.359999999999999
"H8OH16124","OH",16,"Republican",57.96,56.7,"OH",16,2133735.0,0.0,2,315472.0,3442.0,0.0,0,0.14946279645785443,-1.259999999999998
"H8NY14133","NY",14,"Republican",17.06,13.8,"NY",14,8637920.0,582829.0,3,0.0,0.0,0.0,0,3.160421132816868e-2,-3.259999999999998
"H8NY19181","NY",19,"Democrat",48.98,50.2,"NY",19,1.415464e7,1.545425e7,2,4699290.0,629619.0,6473110.0,90000,0.48634207496464743,1.220000000000006
"H8CA26114","CA",26,"Republican",32.89,38.1,"CA",26,2382244.0,0.0,2,116537.0,0.0,0.0,0,4.891900241956743e-2,5.210000000000001
"H8VT01065","VT",0,"Republican",18.12,26.0,"VT",0,784476.0,0.0,2,5525.0,0.0,0.0,0,7.042917820302979e-3,7.879999999999999
"H8SC05174","SC",5,"Democrat",39.97,41.5,"SC",5,4140756.0,806622.0,3,546045.0,34952.0,0.0,0,0.19895548712873767,1.5300000000000011
"H0OR04081","OR",4,"Republican",36.48,40.9,"OR",4,1213582.0,0.0,3,52875.0,354.0,0.0,0,4.386106583650713e-2,4.420000000000002
"H6IL03148","IL",3,"Republican",31.74,26.2,"IL",3,2723599.0,3067754.0,2,0.0,0.0,0.0,0,0.5297128322172729,-5.539999999999999
"H8CA01257","CA",1,"Democrat",43.79,45.1,"CA",1,2261679.0,16326.0,2,776434.0,87111.0,0.0,190,0.38632970515868054,1.3100000000000023
"H6TX18158","TX",18,"Republican",21.07,20.8,"TX",18,613694.0,0.0,2,3081.0,0.0,0.0,0,5.02041734154155e-3,-0.2699999999999996
"H4VA10089","VA",10,"Republican",47.04,43.8,"VA",10,1.2030725e7,1.810046e7,2,2992786.0,160648.0,9210407.0,95000,0.40285461723460264,-3.240000000000002
"H8CA09060","CA",13,"Democrat",89.71,88.4,"CA",13,1912265.0,0.0,2,406922.06,7872.0,0.0,0,0.21691243629936227,-1.309999999999988
"H4GA11061","GA",11,"Republican",65.06,61.8,"GA",11,518350.0,862.0,2,135844.0,0.0,0.0,0,0.2632951472616195,-3.260000000000005
"H8WI08045","WI",8,"Democrat",39.25,36.3,"WI",8,2502759.0,862.0,2,164259.0,10.0,0.0,0,6.59568680722841e-2,-2.950000000000003
"H8VA06104","VA",6,"Republican",61.43,59.8,"VA",6,669909.0,2470.0,2,287184.0,4858.0,2471.0,0,0.4343398589188538,-1.6300000000000026
"H8UT04053","UT",4,"Democrat",47.35,50.1,"UT",4,9920824.0,1488434.0,2,2092956.0,82864.0,365019.0,0,0.28917174105450155,2.75
"H8NM03196","NM",3,"Democrat",63.99,63.4,"NM",3,2168692.0,0.0,3,605005.0,104.0,0.0,0,0.27902025737172453,-0.5900000000000034
"H6CA29203","CA",29,"Republican",19.47,19.4,"CA",29,1577270.0,0.0,2,592.0,0.0,0.0,0,3.75332061092901e-4,-7.000000000000028e-2
"H4MS02068","MS",2,"Democrat",75.09,71.8,"MS",2,1523628.0,0.0,2,564407.0,36.0,0.0,0,0.370459849779605,-3.2900000000000063
