StateAbbreviation,StateFIPS,CongressionalDistrict,Population,MedianHouseholdIncome,MedianAge,CollegeGradPct,AverageHouseholdSize,PovertyRate
"AL",1,1,713410,47984.0,40.0,0.1641619695128642,2.66,0.17036079230126672
"AL",1,2,673776,46579.0,38.5,0.14469643537724897,2.67,0.1804660895567201
"AL",1,3,710488,46484.0,38.1,0.1265773794580844,2.51,0.17767135414399118
"AL",1,4,685553,43218.0,40.7,0.10725190105741311,2.67,0.1761344582506659
"AL",1,5,718713,54707.0,39.5,0.20140268022927263,2.46,0.1378475437412521
"AL",1,6,700401,65170.0,39.1,0.23415771399766863,2.63,9.949208636856281e-2
"AL",1,7,672406,35988.0,36.3,0.1335217723797686,2.5,0.24632245290648225
"AK",2,0,739795,73181.0,34.5,0.17950789204275264,2.84,0.11105497507189731
"AZ",4,1,765810,50303.0,37.6,0.15070522058852884,2.86,0.19222375671721384
"AZ",4,2,720429,53516.0,41.4,0.20022581487135274,2.3,0.13904652827487474
"AZ",4,3,773297,47670.0,31.8,0.11141435428855649,3.08,0.20005825988203046
"AZ",4,4,771214,49387.0,48.1,0.11920184712772341,2.43,0.1343436401063556
"AZ",4,5,822497,71675.0,38.0,0.23943641442088173,2.81,8.004673869156134e-2
"AZ",4,6,783087,73425.0,42.3,0.2717312716046125,2.4699999999999998,0.1055229815772089
"AZ",4,7,833654,43969.0,29.7,9.420810827971988e-2,3.37,0.2421036832394545
"AZ",4,8,777208,67699.0,43.1,0.19975013006558184,2.64,8.219939014747034e-2
"AZ",4,9,769074,56598.0,33.5,0.2435894655702995,2.48,0.16306167202538283
"AR",5,1,722287,41143.0,39.7,0.1085123819415144,2.45,0.18620867245524747
"AR",5,2,765193,51287.0,37.4,0.18435552678578393,2.55,0.13531669865642995
"AR",5,3,807421,51335.0,35.5,0.1909088642218271,2.62,0.1446763716329881
"AR",5,4,709378,40903.0,40.8,0.11163457641912322,2.51,0.19520141964668833
"CA",6,1,718214,51478.0,42.3,0.15805186027402118,2.45,0.17059912530987006
"CA",6,2,717999,76114.0,44.3,0.2524098233214184,2.5,0.12294441097681334
"CA",6,3,750271,65934.0,35.2,0.16084126954621591,2.9,0.13606013348620885
"CA",6,4,748410,75841.0,44.6,0.21196389143621386,2.62,9.344289034783672e-2
"CA",6,5,732438,78152.0,40.2,0.2126712612496315,2.71,9.770656222210236e-2
"CA",6,6,764344,54243.0,34.4,0.1791257227561428,2.7199999999999998,0.17885908573744588
"CA",6,7,750860,74608.0,38.7,0.22251933949668937,2.8,0.10302752293577981
"CA",6,8,721449,52428.0,34.2,0.10459359112992214,3.1,0.18185435903849734
"CA",6,9,774266,65392.0,35.0,0.14948961454471585,3.22,0.1482181560246424
"CA",6,10,758005,63223.0,34.6,0.12358169988811073,3.15,0.1286341393206678
"CA",6,11,764135,90155.0,39.7,0.27771830238626977,2.82,9.807650151994148e-2
"CA",6,12,774736,111717.0,38.2,0.36031234167799214,2.31,0.10240892913220978
"CA",6,13,766731,76915.0,36.8,0.2717636387672963,2.6,0.14212969836562886
"CA",6,14,756389,110507.0,39.4,0.2873202930668822,2.95,6.392873623176776e-2
"CA",6,15,785387,116710.0,38.5,0.2774245716148513,3.06,5.0611176608078984e-2
"CA",6,16,729788,43839.0,30.8,8.693188595968031e-2,3.33,0.2673894820622677
"CA",6,17,771078,124131.0,36.8,0.2824635873029056,3.0,6.404025559943842e-2
"CA",6,18,742728,134077.0,39.8,0.30585699860079524,2.7,5.825209438799994e-2
"CA",6,19,770105,101427.0,36.7,0.22923336092763155,3.31,9.054260101474802e-2
"CA",6,20,744295,73076.0,34.9,0.16785023956021256,3.18,0.11513651522194629
"CA",6,21,723549,42621.0,30.0,6.2138836949270394e-2,3.58,0.24730178073725087
"CA",6,22,760328,57667.0,32.2,0.16578032029679077,3.08,0.1774990877540638
"CA",6,23,745328,55680.0,34.5,0.13221984410870802,3.01,0.17840488802412044
"CA",6,24,740039,71356.0,36.0,0.2058570690516723,2.75,0.13631317474644813
"CA",6,25,721740,76866.0,35.8,0.18597369124276983,3.27,0.13194698586252132
"CA",6,26,732091,82029.0,38.0,0.21593854997203477,3.1,9.296359706201458e-2
"CA",6,27,717980,77629.0,41.2,0.25898130179502005,2.93,0.10295241167382557
"CA",6,28,719156,65849.0,40.3,0.30750003580994945,2.38,0.1378434363934105
"CA",6,29,713745,53347.0,35.3,0.15101155165729388,3.34,0.1639156657996646
"CA",6,30,771201,81276.0,39.3,0.293160560312009,2.71,9.38153069286434e-2
"CA",6,31,762208,61631.0,33.0,0.16285069932963667,3.29,0.15675811633869555
"CA",6,32,725317,70390.0,37.1,0.15564329032520657,3.66,0.1177942855698208
"CA",6,33,705588,105200.0,41.2,0.36982579761205714,2.35,7.921992468862203e-2
"CA",6,34,763303,46883.0,34.8,0.19946368851272597,2.91,0.2214000377137951
"CA",6,35,745237,60741.0,32.6,0.1181226838054267,3.73,0.1631615457262969
"CA",6,36,737403,46494.0,43.7,0.1285694581169095,2.62,0.1785405162176332
"CA",6,37,713530,59069.0,35.5,0.22890964119310261,2.54,0.1854272483353729
"CA",6,38,718428,72463.0,37.0,0.16645496773132734,3.44,0.10231058949655104
"CA",6,39,736480,89300.0,38.4,0.2739037888463176,3.22,9.879501555924164e-2
