NAME,TotalPopulation,1,2,3,4
1,17964,0,0,0,0
2,19085,0,0,0,0
3,19058,0,0,0,0
4,17376,0,0,0,0
5,21947,0,0,0,0
6,24226,0,0,0,0
7,12710,0,0,0,0
8,16965,0,0,0,0
9,21389,0,0,0,0
10,19144,0,0,0,0
11,13604,0,0,0,0
12,19209,0,0,0,0
13,20161,0,0,0,0
14,18929,0,0,0,0
15,13417,0,0,0,0
16,22852,0,0,0,0
17,17830,0,0,0,0
18,12895,0,0,0,0
19,18281,0,0,0,0
20,17172,0,0,0,0
21,20094,0,0,0,0
22,19753,0,0,0,0
23,17143,0,0,0,0
24,24244,0,0,0,0
25,17835,0,0,0,0
26,16754,0,0,0,0
27,16876,0,0,0,0
28,16011,0,0,0,0
29,18761,0,0,0,0
30,21965,0,0,0,0
31,16742,0,0,0,0
32,9021,0,0,0,0
33,18635,0,0,0,0
34,21392,0,0,0,0
35,29627,0,0,0,0
36,18330,0,0,0,0
37,19652,0,0,0,0
38,17459,0,0,0,0
39,16458,0,0,0,0
40,17531,0,0,0,0
