NAME,TotalPopulation,1,2,3,4,5,6,7
1,48242,0,0,0,20311,27930,0,0
2,52866,0,0,0,8564,44302,0,0
3,42470,0,0,0,42270,200,0,0
4,50246,0,0,0,0,50246,0,0
5,45340,0,0,0,0,45340,0,0
6,46103,0,0,0,0,46103,0,0
7,47957,0,0,0,43113,4843,0,0
8,42243,0,0,0,0,42243,0,0
9,45329,0,0,0,1,45327,0,0
10,42875,0,0,0,0,42875,0,0
11,46081,0,0,0,32072,0,14007,0
12,44797,0,0,0,44795,0,1,0
13,46623,0,0,0,46623,0,0,0
14,50643,0,0,0,45854,0,4787,0
15,44160,0,0,0,0,0,21423,22737
16,49588,0,0,0,29203,0,5170,15213
17,45181,0,0,0,45181,0,0,0
18,46637,0,0,0,46637,0,0,0
19,45677,0,0,0,0,45677,0,0
20,48482,0,0,0,0,48481,0,0
21,47619,0,0,0,0,47619,0,0
22,46968,0,0,0,1,46967,0,0
23,49002,0,0,0,6,48996,0,0
24,47949,0,0,4,47942,2,0,0
25,48689,0,0,0,0,48689,0,0
26,46901,0,0,0,46900,0,0,0
27,49232,0,0,0,49226,5,0,0
28,45597,0,0,5,45591,0,0,0
29,50130,0,0,22548,27582,0,0,0
30,46253,0,0,16702,29545,0,5,0
31,43162,0,43159,2,0,0,0,0
32,43720,0,0,43719,0,0,0,0
33,46771,0,0,46767,0,0,3,0
34,43748,0,0,4,4,0,43739,0
35,44430,0,0,44430,0,0,0,0
36,49291,0,0,49290,0,0,0,0
37,50311,0,0,50311,0,0,0,0
38,52213,0,0,52213,0,0,0,0
39,49513,0,0,26033,23480,0,0,0
40,47352,0,0,47352,0,0,0,0
41,50057,0,0,4,0,0,50052,0
42,46343,0,10248,12036,0,0,24058,0
43,51668,0,0,0,0,0,51668,0
44,45759,0,0,1,0,0,45757,0
45,40935,0,0,3139,0,0,37795,0
46,48748,0,0,0,0,0,34308,14439
47,45289,0,0,0,0,0,44082,1207
48,37220,0,0,0,0,0,37208,12
49,49080,0,0,0,0,0,49077,3
50,48469,0,0,48465,0,0,4,0
51,44848,0,0,0,0,0,44842,6
52,48948,0,0,0,0,0,1748,47200
53,51352,0,0,0,0,51352,0,0
54,45070,0,0,0,0,0,13514,31555
55,47981,0,0,0,0,0,8835,39146
56,44012,0,0,0,0,0,1056,42956
57,45746,0,0,0,0,0,1122,44623
58,48090,0,0,0,0,0,46733,1356
59,47628,0,0,0,0,0,34577,13051
60,46169,0,0,0,0,0,17959,28210
61,42118,0,0,0,18346,0,0,23772
62,47545,0,0,0,2,0,0,47541
63,38823,0,0,0,7631,0,0,31192
64,50767,50767,0,0,0,0,0,0
65,45361,23608,0,0,0,0,0,21752
66,52197,51637,559,0,0,0,0,0
67,46543,0,0,0,0,0,0,46542
68,50446,21006,5726,0,0,0,0,23712
69,47592,0,23617,0,0,0,0,23974
70,45113,0,0,0,0,0,0,45113
71,47788,0,0,0,363,0,0,47424
72,49356,0,0,0,0,0,10076,39280
73,45843,0,0,0,0,0,45843,0
74,47800,0,38188,0,0,0,0,9611
75,50959,0,50860,4,0,0,0,94
76,46292,0,30621,0,0,0,0,15671
77,44215,0,19560,0,0,0,0,24654
78,42225,0,34820,0,0,0,0,7405
79,45749,0,0,45749,0,0,0,0
80,45495,0,0,45495,0,0,0,0
81,44547,0,2,44545,0,0,0,0
82,37313,0,5,37308,0,0,0,0
83,46828,0,0,46828,0,0,0,0
84,49185,0,35198,13986,0,0,0,0
85,43849,0,43849,0,0,0,0,0
86,49103,0,49103,0,0,0,0,0
87,46170,0,46170,0,0,0,0,0
88,43493,0,43490,0,0,0,0,2
89,45767,0,45767,0,0,0,0,0
90,51029,1,50870,0,0,0,0,157
91,43664,0,43664,0,0,0,0,0
92,44827,2585,42241,0,0,0,0,0
93,46499,0,46499,0,0,0,0,0
94,46513,46513,0,0,0,0,0,0
95,39760,39760,0,0,0,0,0,0
96,44659,44659,0,0,0,0,0,0
97,44762,44762,0,0,0,0,0,0
98,48936,48936,0,0,0,0,0,0
99,47945,47945,0,0,0,0,0,0
100,44564,44564,0,0,0,0,0,0
101,42344,42344,0,0,0,0,0,0
102,51053,51053,0,0,0,0,0,0
103,46886,46886,0,0,0,0,0,0
104,50537,50537,0,0,0,0,0,0
105,46870,46870,0,0,0,0,0,0
