NAME,TotalPopulation,1,2,3,4,5,6,7
1,140787,0,0,0,42341,98446,0,0
2,132681,0,0,0,0,132681,0,0
3,147172,0,0,0,2,147170,0,0
4,136152,0,0,0,136143,1,7,0
5,141225,0,0,0,121268,0,10194,9762
6,139087,0,0,0,119206,19881,0,0
7,135216,0,0,0,0,135216,0,0
8,149419,0,0,5,48561,100853,0,0
9,142230,0,0,0,95142,37822,9266,0
10,151427,0,0,25862,125561,1,2,0
11,140691,0,0,117746,0,0,22944,0
12,148261,0,0,148259,1,0,0,0
13,150143,0,0,150143,0,0,0,0
14,138187,0,0,5085,0,0,133084,18
15,124516,0,0,6,0,0,124422,87
16,131076,0,0,0,0,0,118411,12664
17,137451,0,0,16937,15,0,120492,6
18,139576,0,0,0,0,0,19856,119719
19,140503,0,0,0,0,0,14117,126386
20,136116,0,0,0,0,0,102339,33776
21,127417,0,0,0,13808,0,0,113609
22,136672,134502,2166,0,0,0,0,3
23,148999,21515,32541,0,0,0,0,94941
24,138026,0,0,0,0,0,0,138026
25,143299,0,142301,5,0,0,0,992
26,148151,0,84663,0,0,0,0,63487
27,130421,0,1,130419,0,0,0,0
28,145974,0,78927,67047,0,0,0,0
29,139916,0,139916,0,0,0,0,0
30,127250,0,85761,31516,0,0,9967,5
31,136558,0,136558,0,0,0,0,0
32,126407,126407,0,0,0,0,0,0
33,146629,146629,0,0,0,0,0,0
34,135544,135544,0,0,0,0,0,0
35,131481,131481,0,0,0,0,0,0
