NAME,TotalPopulation,1,2,3,4
1,36824,36824,0,0,0
2,28533,28533,0,0,0
3,29497,29497,0,0,0
4,31389,31389,0,0,0
5,29151,29150,0,0,0
6,30550,8293,0,22257,0
7,26214,0,0,26214,0
8,32424,0,0,32424,0
9,24383,0,0,24383,0
10,29197,0,0,29197,0
11,34124,0,0,34124,0
12,32530,0,0,32530,0
13,29066,0,0,29066,0
14,27363,0,0,27363,0
15,27109,0,0,27109,0
16,27077,0,0,27077,0
17,28701,0,0,28701,0
18,27599,0,0,27599,0
19,31830,0,0,31830,0
20,29348,0,0,29348,0
21,26185,0,0,26185,0
22,23993,0,0,23993,0
23,31720,0,0,31720,0
24,35701,0,0,35700,0
25,34962,0,0,33626,1336
26,31289,0,0,22392,8896
27,33632,26289,0,0,7342
28,40845,40845,0,0,0
29,28811,0,6943,0,21867
30,30279,30279,0,0,0
31,26011,26011,0,0,0
32,27100,27100,0,0,0
33,35585,35585,0,0,0
34,28238,28238,0,0,0
35,29066,29066,0,0,0
36,26566,26566,0,0,0
37,32843,32843,0,0,0
38,36922,36922,0,0,0
39,33483,15895,17588,0,0
40,21467,13182,8285,0,0
41,28656,5527,23128,0,0
42,30702,0,30702,0,0
43,28460,0,28459,0,1
44,31501,0,2164,0,29336
45,29844,0,0,0,29844
46,31929,0,0,1062,30866
47,29894,0,0,23718,6176
48,31599,0,0,31599,0
49,26502,0,0,26502,0
50,28539,0,0,28539,0
51,29503,0,0,29488,15
52,30203,0,0,684,29518
53,26862,0,0,0,26862
54,37096,0,31791,0,5304
55,25836,0,25836,0,0
56,30480,0,30480,0,0
57,32941,2763,30177,0,0
58,22804,0,22804,0,0
59,32430,16752,15677,0,0
60,36326,36321,4,0,0
61,30813,30809,3,0,0
62,33079,33079,0,0,0
63,31667,31667,0,0,0
64,27636,8410,0,0,19226
65,25438,192,0,0,25245
66,30770,12204,18446,0,119
67,32162,30,32132,0,0
68,23668,23664,3,0,0
69,34063,3,34059,0,0
70,31391,0,31390,0,0
71,22921,0,22921,0,0
72,29141,1176,27964,0,0
73,31078,0,31078,0,0
74,29585,0,29585,0,0
75,30238,0,30238,0,0
76,30953,0,30952,0,0
77,25375,0,25226,0,149
78,30860,0,30860,0,0
79,26762,0,15204,0,11558
80,34765,119,12705,0,21940
81,29695,0,29694,0,0
82,29268,0,29268,0,0
83,25837,0,25835,0,1
84,29100,0,0,0,29100
85,30728,0,0,0,30727
86,31330,0,0,0,31330
87,28553,0,0,0,28553
88,31702,0,0,0,31702
89,32965,0,0,0,32965
90,27180,0,0,0,27180
91,30113,0,0,0,30113
92,30934,0,13022,0,17912
93,34267,6859,0,0,27408
94,27429,6097,0,0,21331
95,29766,10403,0,0,19362
96,34310,0,0,0,34310
97,30471,0,0,0,30471
98,31726,0,0,0,31726
99,31763,0,0,0,31763
100,27047,0,0,0,27047
