NAME,TotalPopulation,1,2,3,4,5,6,7,8,9
1,232869,0,232866,0,0,0,0,0,2,0
2,246104,148676,0,0,0,0,0,0,97428,0
3,236601,186252,1,0,0,2,0,0,50344,0
4,249268,249268,0,0,0,0,0,0,0,0
5,246060,116391,0,124222,0,0,0,0,5447,0
6,233361,0,232242,0,0,0,290,0,0,828
7,256247,1,203596,0,0,46164,6485,0,0,0
8,260110,113631,0,18196,128282,0,0,0,0,0
9,250878,448,0,0,250426,4,0,0,0,0
10,238107,5855,0,0,138940,93312,0,0,0,0
11,241807,0,7,241502,296,0,0,0,0,0
12,247199,0,985,70,246096,46,0,0,0,0
13,218012,0,7,0,51229,166775,0,0,0,0
14,225945,0,2,0,568,225374,0,0,0,0
15,224213,0,4412,0,0,219801,0,0,0,0
16,250039,0,128671,13,0,9,73861,47482,0,0
17,225342,0,464,0,0,0,220859,4018,0,0
18,233435,0,0,0,0,0,224032,9402,0,0
19,219651,0,1,0,0,0,196212,23437,0,0
20,249363,0,0,0,0,0,19523,229840,0,0
21,252408,0,0,0,0,0,44731,207677,0,0
22,240273,0,16,118255,0,0,0,110725,6,11269
23,238620,0,174,0,0,0,0,178691,0,59754
24,249169,0,0,152929,0,0,0,0,62045,34194
25,219141,0,0,0,0,0,0,6922,4,212215
26,251015,8682,0,176673,0,0,0,0,65659,0
27,239092,7,0,105,0,0,0,0,233667,5311
28,226032,0,2,0,0,0,0,0,224554,1475
29,232909,0,0,50,0,0,0,36,33008,199814
30,240778,0,853,0,0,0,0,0,1,239924
