NAME,TotalPopulation,CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9
SLD1,225061,1,225043,0,0,0,0,0,11,5
SLD2,234832,142848,0,0,0,0,0,0,91983,0
SLD3,229569,179968,6,0,0,1,0,0,49593,0
SLD4,240060,240060,0,0,0,0,0,0,0,0
SLD5,242092,117068,0,119504,0,0,0,0,5519,0
SLD6,234848,0,234021,0,0,0,291,0,0,536
SLD7,243404,1,194301,0,0,42682,6418,0,0,0
SLD8,253175,111629,0,18719,122826,0,0,0,0,0
SLD9,244556,385,0,0,244018,152,0,0,0,0
SLD10,232077,5113,0,0,137040,89923,0,0,0,0
SLD11,231056,0,5,230828,222,0,0,0,0,0
SLD12,241229,0,1122,64,239997,45,0,0,0,0
SLD13,209894,0,7,0,50533,159353,0,0,0,0
SLD14,215813,0,2,0,742,215068,0,0,0,0
SLD15,200643,0,6829,0,0,193813,0,0,0,0
SLD16,239568,0,121755,12,0,9,70067,47721,0,0
SLD17,218563,0,351,0,0,0,214164,4046,0,0
SLD18,232470,0,0,0,0,0,222142,10328,0,0
SLD19,213587,0,4,0,0,0,191724,21858,0,0
SLD20,243999,0,0,0,0,0,19128,224871,0,0
SLD21,249564,0,0,0,0,0,45395,204168,0,0
SLD22,240231,0,18,125178,0,0,0,105517,5,9510
SLD23,237051,0,572,0,0,0,0,178981,0,57497
SLD24,245678,0,0,152270,0,0,0,1,61259,32147
SLD25,206270,0,0,0,0,0,0,7101,4,199164
SLD26,233880,8312,0,162142,0,0,0,0,63425,0
SLD27,237596,7,0,94,0,0,0,0,232638,4856
SLD28,211690,0,8,0,0,0,0,0,207669,4012
SLD29,222104,0,0,55,0,0,0,100,34798,187149
SLD30,236109,0,559,0,0,0,0,0,1,235548
