NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1,505251,262742,3,209722,0,32783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,507412,4,436002,0,71405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,521554,476931,0,44615,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,466140,21472,7,0,397743,0,2,46669,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,442767,0,0,326312,0,116420,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,485198,0,0,8,1,0,371753,113435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,469380,0,0,122022,0,49,345781,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,504783,0,0,32256,0,265232,0,0,0,0,0,0,0,30191,0,0,0,0,0,0,147363,29737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,503021,0,0,1888,0,125313,1804,65790,0,268343,0,0,0,39880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,484602,0,0,0,0,0,0,484601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,512616,0,0,0,128606,0,0,1985,309787,19396,52839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,492425,0,343749,0,148649,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,435140,0,0,0,0,0,0,0,0,431954,3,0,0,3181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,455315,0,0,0,0,0,0,0,254342,0,3019,0,197951,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,498830,0,0,0,0,0,0,0,157051,1871,339905,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,497174,0,0,0,0,0,0,0,524,0,329497,0,35,0,167039,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,494572,0,24,0,0,0,0,0,0,0,0,416279,129,0,0,78139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,465940,0,1,0,0,0,0,0,0,0,25,129,464822,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,532287,0,0,0,0,0,0,0,0,0,0,332645,0,0,0,199507,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,503442,0,0,0,0,0,0,0,0,0,10592,0,74301,0,418509,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,474207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470369,3837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,442933,0,0,0,0,213135,0,0,0,0,0,0,0,229797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,475888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10799,439682,25404,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,487285,0,0,0,0,0,0,0,0,0,0,0,0,0,174602,0,0,308073,4609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,514915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105839,16545,234591,157938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,452174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40950,394991,16231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,488833,0,0,0,0,4615,0,0,0,0,0,0,0,420106,0,0,0,0,1,0,0,64107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,479605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166249,1,50196,263157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,466517,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,427077,39438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,486122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13444,313755,3,0,4,0,158914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,482813,0,0,0,0,490,0,0,0,0,0,0,0,14334,0,0,0,0,0,0,32954,435034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,530230,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436134,50886,43072,121,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,494234,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,83537,152197,258488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,514414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28048,0,0,327585,0,492,3,149381,65,30,21,0,0,8786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,467406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18419,0,448983,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,485412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,419408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59247,0,0,0,0,0,0,6263,0,0,0,0
37,469858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469856,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,490237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,122737,0,367488,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,425029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193216,0,0,0,231812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,509138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,336850,81,15798,741,0,155662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,506282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47789,0,0,0,15,324869,25,11896,103763,0,1744,44,16135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,519538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398339,0,0,0,0,0,121030,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,509858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,504472,2163,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,508243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221,94210,281429,0,114360,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,489909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19135,0,0,0,0,1053,0,0,0,0,467924,0,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,513152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,0,0,152744,0,0,359541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,508990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104208,0,198141,0,0,0,0,0,0,0,9943,0,0,0,0,0,3538,0,193157,0,0,0,0,0,0,0,0,0,0,0
48,473231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11500,0,0,461538,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,486081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409620,0,0,71186,0,0,966,0,0,0,4308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,473305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40202,0,0,0,0,2625,0,0,0,0,235901,0,194557,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
51,494279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,234358,0,34744,0,1487,0,219913,3732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,540349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,0,191816,0,0,0,346781,0,0,0,500,0,0,0,87,0,0,0,0,0,0,0,0,0,0
53,476498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,0,0,415,0,0,0,472996,0,0,2201,0,58,0,0,0,0,0,0,0,0,0,0,0,0
54,529734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,0,13539,0,0,0,431465,0,0,8598,61987,0,0,0,12902,0,0,0,0,0,0,0,0,0,0
55,477176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27582,0,0,0,18,0,107515,341806,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0
56,512231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,131811,0,0,0,108,0,0,380012,0,19,0,1,0,0,6,0,0,0,0,0,0,0
57,497088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12415,0,0,366770,0,0,0,0,62228,55672,2,0,0,0,0,0,0,0,0
58,493780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,12340,0,18857,0,0,0,350299,1604,110084,0,0,0,0,0,0,0,0,0,0,0
59,478648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28974,0,0,4147,0,297935,4,0,0,0,133319,9252,5013,0,0,0,0,0
60,438773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97998,0,0,0,0,0,0,0,0,0,0,0,0,0,298614,0,42159,0,0,0,0,0,0,0,0,0,0,0
61,479587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95376,30469,0,0,0,0,0,353742,0,0,0,0,0,0,0,0,0
62,481918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,209419,1095,267264,4103,0,0,0,0,0,0,0
63,470529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3202,0,0,0,0,0,0,0,0,0,13597,0,0,0,93359,13036,346734,0,0,0,0,0,0,598,0,0,0,0
64,521501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313422,0,0,0,201772,0,95,6211,0,0,0,0,0,0,0
65,512566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11644,0,0,0,0,0,9,231227,269685,0,0,0,0,0,0,0,0
66,468076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307483,0,0,0,0,0,0,119963,40629,0,0,0,0,0,0,0,0
67,471341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,0,0,0,1567,0,0,262317,205679,0,0,0,0,0,0
68,498469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38718,0,0,0,0,1661,457179,909,0,0,0,0,0
69,473683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282321,0,191197,152,0,12,0,0,0,0,0
70,477642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,350059,98629,28889,0,0,0,0,0
71,517412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163166,52328,0,0,0,0,0,51,247533,54331,0,0,0
72,487477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152724,0,7,0,0,1966,0,328322,0,4456,0,0,0
73,456310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94438,0,0,0,0,0,4430,357440,0,0,0,0,0
74,499200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3908,0,0,0,0,0,0,1476,1725,490501,1589,0,0
75,490231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412762,1291,2829,63867,9480
76,464518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81114,19212,332625,31566,0
77,490382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190096,291002,7650,1633
78,525431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8502,0,105471,408661,2795
79,507278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7818,0,288,244592,254578
80,512928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4776,0,3661,123,504367
