NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1,932083,761132,4,170935,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1000287,8,779485,0,220767,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1016056,6,274,0,525633,0,2,57757,310218,21084,101078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1029750,0,0,130282,0,629501,0,0,0,4010,0,0,0,265947,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,966875,0,0,0,0,6,0,15,0,696272,35983,0,0,35933,198574,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,928061,2,0,435557,0,51,432872,59561,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,918817,0,1,0,0,0,0,0,255705,0,299,129,662664,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,883227,0,0,48,1,0,286501,596674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,976137,0,0,0,0,0,0,0,156026,183,598522,0,74447,0,146957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1026899,0,0,0,0,0,0,0,0,0,0,0,0,0,415568,0,904,605543,4882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1026748,0,24,0,0,0,0,0,0,0,0,748924,129,0,0,277536,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,934770,0,0,5,0,122159,0,0,0,0,0,0,0,1,0,0,0,0,0,0,639031,106578,49134,17841,4,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,992053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481279,450981,59785,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,961256,0,0,0,0,6321,0,0,0,0,0,0,0,435609,0,0,0,0,1,0,21361,497961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1037149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304668,79711,356463,296306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,914894,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,86048,127422,701409,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,983339,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,384805,477950,0,0,3,0,120571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,977555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,371273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2448,0,0,0,0,0,0,30544,0,19402,317,553077
19,925891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,378276,0,296410,0,0,0,0,0,0,0,40729,0,0,0,0,0,4552,0,205900,0,0,0,0,0,0,15,0,0,0,0
20,952534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2998,71,604901,164792,0,179769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1054154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,0,0,630936,0,423173,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1017953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9101,0,0,528247,0,0,0,469605,0,0,10278,0,718,0,0,0,0,0,0,0,0,0,0,0,0
23,974219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,316625,0,0,4,650912,5420,1195,37,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1022804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42321,0,0,0,146193,0,154911,0,0,0,559002,25,0,0,0,0,0,120280,67,0,0,0,0,0,0,0,0
25,1054120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,734581,27,212021,89865,0,12582,1081,845,0,0,3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,993125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,0,212237,0,0,0,777038,0,0,1528,500,0,0,0,658,0,0,0,0,0,0,0,0,0,0
27,980494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301203,64161,0,161199,87,0,453842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,964740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28178,0,1,0,14488,0,170538,746439,0,0,0,0,6,5087,0,0,0,0,0,0,0,0,0
29,934361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20111,0,0,0,0,19958,0,0,0,0,683308,0,210975,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1000988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,0,0,150601,0,0,500,1341,0,0,630407,0,7479,0,159707,0,15394,34315,0,0,0,0,0,0,0
31,902496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37338,0,0,0,0,0,0,0,7,0,44068,0,0,0,671335,3065,146680,0,0,0,0,0,0,0,0,0,0,0
32,957880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14222,0,0,0,0,0,0,0,0,0,20187,0,0,20,69935,140379,448683,0,0,0,2472,0,0,261976,2,0,0,0
33,1056864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,6,27,0,0,0,594253,1110,457108,4254,0,12,0,0,0,0,0
34,958743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122627,0,10123,0,0,0,0,125371,699703,917,0,0,0,0,0
35,961833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12559,3376,0,0,0,0,14116,635477,296304,0,0,0,0,0,0,0,0
36,991266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,2507,0,1638,0,0,506373,48501,348406,0,83796,0,0,0
37,975996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582,0,425704,4,0,0,0,87011,26967,370210,0,64513,0,0,0
38,973952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175631,0,0,0,0,0,0,2571,1783,593186,155471,45307,0
39,1046662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80605,0,204637,541676,219742
40,941710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396169,18390,357955,169160,34
