NAME,TotalPopulation,1,2,3,4,5,6,7,8
1,95974,95792,0,0,0,0,59,122,0
2,83471,83468,0,0,0,0,3,0,0
3,85557,36364,0,0,0,0,49193,0,0
4,90212,90198,0,0,0,0,0,9,4
5,82633,82615,0,0,0,0,0,0,18
6,86142,86106,0,0,0,0,36,0,0
7,85256,85243,0,0,0,0,8,0,4
8,93328,93305,0,0,0,0,20,0,2
9,92186,67877,0,0,0,0,24309,0,0
10,85067,0,85067,0,0,0,0,0,0
11,77758,0,77758,0,0,0,0,0,0
12,87470,0,86373,0,0,0,0,1097,0
13,91488,0,47585,2,0,0,0,43899,0
14,82231,0,0,0,0,82231,0,0,0
15,78417,0,0,0,0,78417,0,0,0
16,92655,0,0,0,0,92655,0,0,0
17,86252,0,0,0,0,86252,0,0,0
18,85771,0,0,0,0,85732,0,39,0
19,81979,0,47972,0,0,0,0,72,33934
20,82736,0,0,0,2,82733,0,0,0
21,85432,0,0,0,3,85429,0,0,0
22,89122,0,0,0,0,89122,0,0,0
23,91541,2,0,0,0,0,0,91539,0
24,83616,5,0,0,0,0,0,83071,538
25,92931,0,0,0,5,0,33956,58969,0
26,90799,0,58828,31970,0,0,0,0,0
27,81374,0,1144,0,0,0,0,80223,7
28,83791,100,0,0,0,0,11885,71805,0
29,91481,0,0,0,0,0,0,45534,45946
30,85159,23,0,0,0,0,0,85136,0
31,94737,0,0,0,0,0,0,0,94737
32,81470,15,0,0,230,0,0,0,81225
33,84621,0,10,0,0,0,0,69398,15212
34,80893,0,0,0,0,0,0,0,80893
35,83693,14,0,0,0,0,0,5200,78477
36,85316,29,0,0,5098,0,80188,0,0
37,87924,7,0,0,10,0,87905,0,0
38,90958,19,0,0,3,0,90375,560,0
39,106002,0,0,0,105991,2,4,3,0
40,89163,9,0,0,11909,0,77244,0,0
41,89011,8,0,0,0,0,89003,0,0
42,92957,27,0,0,0,0,92930,0,0
43,88988,0,0,0,88980,0,8,0,0
44,82729,0,0,0,81393,0,1336,0,0
45,64536,0,0,0,64536,0,0,0,0
46,92609,0,0,92609,0,0,0,0,0
47,90267,0,0,61789,28478,0,0,0,0
48,94777,0,18,0,2410,0,0,0,92348
49,105164,0,100834,0,3281,0,0,0,1048
50,82608,0,0,0,19,0,0,0,82589
51,92473,0,11056,0,80332,0,0,0,1084
52,83706,0,83304,0,402,0,0,0,0
53,84328,0,84191,0,137,0,0,0,0
54,96045,0,0,96045,0,0,0,0,0
55,79259,0,0,79259,0,0,0,0,0
56,96452,0,0,0,70946,19826,4295,0,1384
57,86578,0,27,86551,0,0,0,0,0
58,91163,0,0,91162,0,0,0,0,0
59,88967,0,0,88967,0,0,0,0,0
60,89872,0,0,9970,0,0,0,79901,0
61,82452,0,0,0,14885,0,67566,0,0
62,89397,0,0,89395,0,0,0,2,0
63,100778,0,14,0,93761,0,0,0,7002
64,84975,0,2644,0,651,0,0,0,81679
65,68195,0,18046,0,42512,0,0,0,7637
