NAME,TotalPopulation,1,2,3,4,5,6,7,8
1,160202,0,42,0,96728,0,0,0,63431
2,115694,0,0,0,114288,0,1405,0,0
3,164684,0,0,164684,0,0,0,0,0
4,198103,0,5,4,45287,51,243,152510,0
5,133898,0,105,133791,0,0,0,1,0
6,164180,0,0,164178,0,0,0,1,0
7,156603,0,0,156603,0,0,0,0,0
8,177550,0,122790,54754,0,0,0,5,0
9,140933,0,0,0,1,140915,0,16,0
10,162176,0,0,0,0,162176,0,0,0
11,162840,0,0,0,0,162840,0,0,0
12,157103,0,0,0,3,157020,0,80,0
13,147716,4,0,0,265,0,0,0,147446
14,151004,0,150104,0,899,0,0,0,0
15,192252,0,104019,0,84719,0,0,0,3512
16,166496,80,0,0,13,0,164253,2148,0
17,141022,0,138280,0,0,0,0,2027,715
18,144844,0,144804,0,0,0,0,40,0
19,155168,16,0,0,0,0,0,154608,543
20,169292,190,1860,0,0,0,319,166923,0
21,153731,292,0,0,13010,0,595,525,139306
22,156678,40,17,0,0,0,0,156621,0
23,132222,0,29796,0,29791,0,0,13,72620
24,164328,0,0,0,5,0,0,1,164321
25,156100,0,10,0,0,0,0,66109,89981
26,158887,65317,0,0,0,0,93425,143,0
27,154902,214,0,0,25509,0,129178,0,0
28,158701,286,0,0,13407,0,145007,0,0
29,158276,113,0,0,94,0,158068,0,0
30,166594,0,0,0,166571,0,19,3,0
31,148075,148030,0,0,0,0,44,0,0
32,167870,164572,0,0,0,0,3198,99,0
33,156415,155985,0,0,6,0,240,0,182
34,163503,163358,0,0,0,0,0,35,109
35,173081,0,0,39086,77147,56846,0,0,0
