NAME,TotalPopulation,1,2,3,4,5
1,94252,94252,0,0,0,0
2,94734,94734,0,0,0,0
3,97131,87490,9640,0,0,0
4,100308,70128,30179,0,0,0
5,97333,65571,0,0,0,31761
6,96436,20492,0,0,0,75944
7,101792,30116,71675,0,0,0
8,98199,29339,0,0,0,68860
9,96914,84449,1,12453,0,9
10,92162,0,0,92162,0,0
11,92841,0,0,92841,0,0
12,100005,0,24463,75541,0,0
13,98265,6850,0,13019,0,78395
14,99621,0,0,99621,0,0
15,97830,0,0,28109,0,69720
16,101831,43755,0,10902,0,47173
17,102620,0,0,102607,3,9
18,98951,0,98951,0,0,0
19,99090,0,99090,0,0,0
20,94970,0,94970,0,0,0
21,104183,0,0,77408,26765,8
22,95425,0,0,27,95398,0
23,100831,0,0,8496,92334,0
24,102106,0,0,0,11112,90993
25,99879,0,0,0,99879,0
26,100119,0,0,0,100118,1
27,99069,0,0,0,99069,0
28,107952,0,0,0,69471,38480
29,104229,0,104229,0,0,0
30,103388,19285,0,0,0,84103
31,99396,60021,0,0,0,39375
32,101105,0,0,9516,13135,78453
33,98514,9295,89213,5,0,0
34,94816,0,0,94808,0,7
35,99868,2,99866,0,0,0
36,104365,0,0,0,104365,0
