NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,523876,523876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,537311,225716,311595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,544378,0,461827,82550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,512914,0,0,0,161823,351090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,521488,0,0,0,365830,155658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,533002,0,0,317704,215291,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,523008,0,0,0,5,217380,305621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,532285,0,0,0,0,0,178912,286229,67143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,512415,0,0,347294,0,0,165098,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,528852,0,0,0,0,0,3,466651,0,0,62185,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,525236,0,0,11,0,0,6,0,0,0,0,129933,395284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510790,0,0,0,0,0,0,0,0,41304,0,42091,0,0,0,95949,0,0,331444,0,0,0,0,0,0,0,0,0,0
13,491218,0,0,0,0,0,114794,12,0,114,10080,366216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,548076,0,0,0,0,0,0,0,0,0,0,0,3,4,395993,152075,0,0,0,0,0,0,0,0,0,0,0,0,0
15,538685,0,0,0,0,0,0,16,0,21404,326804,190458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,520679,0,0,0,0,0,0,0,0,0,0,0,0,25675,275702,125554,93745,0,0,0,0,0,0,0,0,0,0,0,0
17,508946,0,0,0,0,0,0,64,12399,147173,349309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,555227,0,0,0,0,0,0,0,0,0,0,0,0,446001,109226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,526857,0,0,0,0,0,0,0,526857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,518641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,518639,0,0,0,0,0,0,0,0,0,0,0,0
21,526614,0,0,0,0,0,0,0,0,0,0,0,219647,306943,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0
22,525611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97844,427765,0,0,0,0,0,0,0,0,0,0,0
23,532325,0,0,0,0,0,0,0,0,0,0,0,130142,0,106,369109,32967,0,0,0,0,0,0,0,0,0,0,0,0
24,532669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138382,67392,326894,0,0,0,0,0,0
25,492581,0,0,0,0,0,0,0,0,488052,4513,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
26,549802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34572,577,437543,77109,0,0,0,0,0
27,547198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23539,0,283531,235789,4336,0,0,0,0,0,0,0,0,0
28,546590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41576,47137,247762,0,0,0,0,0,0,210112,0,0
29,537949,0,0,0,0,0,0,0,156958,0,0,0,0,0,0,0,0,0,159960,0,0,221030,0,0,0,0,0,0,0
30,533260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85712,0,0,447547,0,0,0,0,0
31,532133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64310,467752,69,0,0,0,0,0,0
32,539589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430381,0,0,53091,0,56117,0,0,0
33,528851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16902,0,511949,0,0,0,0,0,0,0,0,0
34,551416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542771,0,8644,0,0
35,551715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14861,0,0,753,45643,490442,14,0,0
36,552386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63603,0,67530,406748,14503
37,525093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5685,0,0,167453,122691,229262,0,0,0
38,529043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358173,170870
39,537113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9740,14,485057,282,42018
40,531081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2555,6747,521778
