NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,186016,186015,0,0,0,0,0,0,0,0,0,0,0,0,0
2,180282,180282,0,0,0,0,0,0,0,0,0,0,0,0,0
3,191810,191810,0,0,0,0,0,0,0,0,0,0,0,0,0
4,173762,61060,0,0,0,0,0,0,0,0,0,0,112702,0,0
5,178980,0,0,0,30,0,0,175491,0,3458,0,0,0,0,0
6,174769,0,0,0,7,91532,11798,0,0,0,0,70411,0,1020,0
7,184114,0,0,0,0,0,3,96986,0,87125,0,0,0,0,0
8,189257,45305,0,0,0,0,0,0,143951,0,0,0,0,0,0
9,179898,0,0,0,142,0,0,179755,0,0,0,0,0,0,0
10,186132,0,0,16541,62443,11827,0,0,0,0,8227,0,0,87091,0
11,183337,0,104925,0,0,0,0,0,78411,0,0,0,0,0,0
12,199521,0,199520,0,0,0,0,0,1,0,0,0,0,0,0
13,186262,0,29349,0,0,0,0,0,156913,0,0,0,0,0,0
14,189338,0,0,0,61,45063,119260,24940,0,0,0,11,0,0,0
15,187428,0,176429,10998,0,0,0,0,0,0,0,0,0,0,0
16,183448,0,0,183163,0,0,0,0,0,0,13,0,0,271,0
17,185748,0,0,2,10836,0,0,1,0,0,167919,0,0,6989,0
18,185452,0,71005,26216,0,0,0,0,88228,0,2,0,0,0,0
19,201554,77607,0,0,0,0,0,0,54568,0,0,0,69378,0,0
20,185659,0,13946,0,0,0,0,0,117518,0,0,0,54194,0,0
21,172932,0,0,0,0,0,118843,83,0,0,0,54005,0,0,0
22,186791,0,0,0,0,0,0,0,0,0,0,0,186791,0,0
23,179222,0,0,0,0,0,0,0,0,0,1666,0,177556,0,0
24,192189,0,0,0,0,0,0,0,0,25630,52703,0,113856,0,0
25,181060,0,4591,6207,0,0,0,0,83971,0,86286,0,1,1,0
26,189884,0,120831,0,0,0,0,0,30327,0,8534,0,30191,0,0
27,168316,0,0,0,0,0,168281,4,0,30,0,0,0,0,0
28,184271,0,0,174451,0,0,0,0,0,0,0,0,0,9819,0
29,186225,0,36037,150187,0,0,0,0,0,0,0,0,0,0,0
30,186264,0,0,159746,0,0,0,0,0,0,0,0,0,6514,20002
31,177497,0,0,1,0,0,0,0,0,0,0,24,0,1,177469
32,180453,0,0,0,0,0,60220,0,0,0,0,120233,0,0,0
33,193125,0,0,0,0,0,1650,0,0,0,0,74554,0,58322,58597
34,180289,0,0,12807,0,35807,0,0,0,0,0,0,0,131674,0
35,178824,0,0,4300,0,200,0,0,0,0,0,0,0,174316,7
36,185879,0,0,0,0,182928,0,0,0,0,0,0,0,2951,0
37,196543,0,0,0,0,0,705,0,0,0,0,176331,0,1,19504
38,198908,0,0,0,0,81476,0,0,0,0,0,40165,0,77170,96
39,178064,0,0,0,2,135531,0,0,0,0,0,0,0,42529,0
40,180131,0,0,0,154575,17,44,25492,0,0,0,0,0,0,0
41,197085,0,0,0,188995,78,0,8011,0,0,0,0,0,0,0
42,182444,0,0,0,85620,96823,0,0,0,0,0,0,0,0,0
43,173582,0,0,0,165197,0,0,5,0,0,8368,0,0,11,0
44,177306,0,0,14,961,49257,0,0,0,0,0,0,0,127073,0
45,175089,0,0,0,0,0,3760,8178,0,126662,36487,0,0,0,0
46,176753,0,0,0,0,0,0,21508,0,3248,151996,0,0,0,0
47,171352,0,0,0,0,0,0,0,0,4,171347,0,0,0,0
48,176546,0,0,0,0,0,94360,67698,0,14487,0,0,0,0,0
49,183067,0,0,0,0,0,35,0,0,183030,0,0,0,0,0
50,184429,0,0,0,0,0,0,0,0,164642,19786,0,0,0,0
51,180312,0,0,0,0,0,23857,0,0,125621,0,30830,0,0,2
52,184492,0,0,0,0,0,0,0,0,0,0,92116,0,0,92375
53,190171,0,0,0,0,0,0,0,0,0,0,0,0,0,190171
54,190744,0,0,0,0,0,0,0,0,2,0,1,0,0,190740
55,186297,0,0,0,67071,0,0,119225,0,0,1,0,0,0,0
56,178151,0,0,0,0,1,121346,0,0,0,0,56804,0,0,0
