NAME,TotalPopulation,1,2
1,21887,0,21887
2,24639,0,24639
3,26056,0,26056
4,22072,0,22072
5,30673,0,30673
6,24894,0,24894
7,28965,0,28965
8,21279,0,21279
9,25271,0,25271
10,26089,0,26089
11,25509,0,25509
12,29699,0,29699
13,28638,0,28638
14,29406,0,29406
15,23293,0,23293
16,26274,0,26274
17,23678,0,23678
18,26637,26617,20
19,27026,27019,7
20,26394,26394,0
21,26918,26916,2
22,32796,32791,5
23,26572,26572,0
24,26513,26513,0
25,25761,25761,0
26,28402,28402,0
27,27385,27382,3
28,24776,24776,0
29,26920,26917,3
30,36089,36089,0
31,38380,38380,0
32,42300,42294,6
33,24558,24554,4
34,29455,29452,3
35,24419,24417,2
36,25056,25040,16
37,28098,28089,8
38,26498,26489,8
39,33654,16785,16869
40,31217,31217,0
41,33991,32689,1302
42,24347,24160,186
43,29682,10867,18815
44,24033,0,24033
45,30781,0,30781
46,55798,6829,48968
47,30164,0,30164
48,26843,13,26829
49,23699,17,23682
50,43461,0,43461
51,26523,28,26495
