NAME,TotalPopulation,1,2,3,4
1,61109,0,0,0,61109
2,64287,0,0,0,64287
3,60463,0,0,0,60463
4,62440,0,0,0,62440
5,65346,0,0,0,65345
6,62953,0,0,0,62953
7,60038,0,0,0,60038
8,69802,0,0,0,69801
9,62061,0,0,62060,0
10,57764,0,0,0,57764
11,62605,62600,0,4,0
12,66509,0,0,66508,0
13,63209,0,0,63208,0
14,55508,0,0,55508,0
15,63270,1,0,63268,0
16,64475,0,0,64475,0
17,63987,0,0,63987,0
18,60778,0,0,60778,0
19,63898,63896,0,1,0
20,60755,0,0,60755,0
21,50503,0,0,50503,0
22,62831,0,0,62831,0
23,75582,2,0,75579,0
24,62682,0,0,30985,31696
25,62394,0,0,0,62394
26,63545,0,0,0,63544
27,72009,1,72007,0,0
28,63769,0,0,0,63768
29,65671,0,65671,0,0
30,62233,0,62232,0,0
31,61678,0,61678,0,0
32,63949,0,63949,0,0
33,62472,32244,30228,0,0
34,65295,0,65294,0,0
35,61756,61756,0,0,0
36,64883,0,64883,0,0
37,53021,0,53021,0,0
38,55310,0,55310,0,0
39,56406,0,56405,0,0
40,55942,0,55942,0,0
41,64664,64663,0,0,0
42,84408,1,84407,0,0
43,57246,57246,0,0,0
44,62479,62478,0,0,0
45,61862,61862,0,0,0
46,69964,69962,1,0,0
47,61731,61731,0,0,0
48,67741,67741,0,0,0
49,63311,63311,0,0,0
50,63393,63393,0,0,0
