NAME,TotalPopulation,1,2
1,48727,48727,0
2,54749,54749,0
3,55864,55864,0
4,32152,32152,0
5,46622,46622,0
6,56769,56769,0
7,46827,46827,0
8,48139,17565,30574
9,51714,51714,0
10,48817,48817,0
11,44004,44004,0
12,41885,41885,0
13,45191,45191,0
14,63150,52558,10592
15,50088,7418,42670
16,46091,63,46028
17,48908,58,48850
18,43569,2445,41124
19,45460,726,44733
20,42757,39773,2984
21,36250,34068,2182
22,53234,52027,1207
23,58727,57917,810
24,57710,0,57710
25,42001,0,42001
26,50752,0,50752
27,48556,0,48556
28,55986,0,55986
29,46859,0,46859
30,48153,0,48153
31,49807,0,49806
32,45834,0,45834
33,41934,0,41934
34,38706,0,38706
35,51797,0,51797
