NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,113349,0,0,0,104043,0,4223,5083,0,0,0,0,0,0,0,0,0,0
2,106713,0,0,0,106403,0,218,91,0,0,0,0,0,0,0,0,0,0
3,109352,0,0,98303,0,5088,0,5960,0,0,0,0,0,0,0,0,0,0
4,103575,0,0,72811,0,0,0,30763,0,0,0,0,0,0,0,0,0,0
5,79433,32956,0,0,0,4,0,46471,0,0,0,0,0,0,0,0,0,0
6,96172,6973,0,0,10757,0,0,78441,0,0,0,0,0,0,0,0,0,0
7,107599,0,0,0,25852,0,1472,80274,0,0,0,0,0,0,0,0,0,0
8,106368,0,0,2660,17739,0,14261,71706,0,0,0,0,0,0,0,0,0,0
9,102136,0,0,0,543,2540,0,99051,0,0,0,0,0,0,0,0,0,0
10,112606,0,0,3537,0,28753,0,80315,0,0,0,0,0,0,0,0,0,0
11,105202,0,0,2608,0,97590,0,0,0,5003,0,0,0,0,0,0,0,0
12,101664,0,0,0,0,87883,0,13780,0,0,0,0,0,0,0,0,0,0
13,112087,0,0,6,0,49500,0,0,0,62580,0,0,0,0,0,0,0,0
14,106856,0,0,0,0,0,0,0,0,106856,0,0,0,0,0,0,0,0
15,109051,0,0,9144,0,52217,0,0,0,47690,0,0,0,0,0,0,0,0
16,107318,0,0,0,0,4847,0,0,0,102470,0,0,0,0,0,0,0,0
17,105997,0,0,0,0,1700,0,0,0,101735,2561,0,0,0,0,0,0,0
18,104821,0,0,0,0,0,0,0,0,82520,22301,0,0,0,0,0,0,0
19,113647,0,0,46610,0,67036,0,0,0,0,0,0,0,0,0,0,0,0
20,112829,0,0,35834,2875,58287,0,0,7894,7936,0,0,0,0,0,0,0,0
21,108766,0,0,0,86070,0,20739,1955,0,0,0,0,0,0,0,0,0,0
22,110969,371,0,0,80855,0,29707,35,0,0,0,0,0,0,0,0,0,0
23,106785,0,0,0,104987,0,0,1797,0,0,0,0,0,0,0,0,0,0
24,105190,1,0,0,77250,0,0,27937,0,0,0,0,0,0,0,0,0,0
25,105184,27612,77572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,119221,58077,5781,0,0,10355,0,45008,0,0,0,0,0,0,0,0,0,0
27,122502,72487,1053,0,0,0,48961,0,0,0,0,0,0,0,0,0,0,0
28,114764,53495,25254,0,0,0,36014,0,0,0,0,0,0,0,0,0,0,0
29,110157,11066,99091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,118054,34788,82325,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0
31,115131,59641,0,0,2500,0,51169,1818,0,0,0,0,0,0,0,0,0,0
32,103588,37490,0,0,33502,0,6097,26498,0,0,0,0,0,0,0,0,0,0
33,97212,41632,55580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,125425,32965,92459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,104197,26582,0,0,0,0,77615,0,0,0,0,0,0,0,0,0,0,0
36,105422,7153,0,0,1030,0,97237,0,0,0,0,0,0,0,0,0,0,0
37,108008,91878,0,0,0,0,16123,0,0,0,0,0,0,0,6,0,0,0
38,108212,43493,55814,0,0,0,8905,0,0,0,0,0,0,0,0,0,0,0
39,105836,0,0,97590,0,8246,0,0,0,0,0,0,0,0,0,0,0,0
40,112825,0,0,92052,0,20772,0,0,0,0,0,0,0,0,0,0,0,0
41,105479,0,0,893,0,0,286,0,0,0,0,76280,0,0,28018,0,0,0
42,105550,0,0,7574,0,0,93913,0,0,0,0,4061,0,0,0,0,0,0
43,100315,0,0,14441,0,1,0,0,85871,0,0,0,0,0,0,0,0,0
44,109564,0,0,19771,0,0,0,0,89792,0,0,0,0,0,0,0,0,0
45,106253,0,0,4506,25529,0,76158,0,57,0,0,0,0,0,0,0,0,0
46,108969,0,0,33705,70,0,36837,0,38355,0,0,0,0,0,0,0,0,0
47,118836,0,0,66060,0,0,14583,0,22405,0,0,15786,0,0,0,0,0,0
48,102757,0,0,8423,0,0,0,0,94334,0,0,0,0,0,0,0,0,0
49,112958,0,0,61957,0,0,0,0,36291,0,0,14709,0,0,0,0,0,0
50,128260,0,0,0,0,0,0,0,0,0,0,103912,0,0,24347,0,0,0
51,117107,0,0,0,0,83133,0,0,12378,16168,5424,1,0,0,0,0,0,0
52,115475,0,0,0,0,17944,0,0,9919,43069,27238,17304,0,0,0,0,0,0
53,101759,0,0,1395,0,46414,0,0,51437,2512,0,0,0,0,0,0,0,0
54,103118,0,0,0,0,44235,0,0,26942,31805,134,0,0,0,0,0,0,0
55,95760,0,0,127,0,50534,0,0,23621,21477,0,0,0,0,0,0,0,0
56,120324,0,0,16289,0,10137,0,0,93767,129,0,0,0,0,0,0,0,0
57,111387,0,0,0,0,2232,0,0,0,39135,70020,0,0,0,0,0,0,0
58,106565,0,0,0,0,0,0,0,0,0,106565,0,0,0,0,0,0,0
59,91800,0,0,0,0,144,0,0,0,9603,82052,0,0,0,0,0,0,0
60,106183,0,0,0,0,0,0,0,0,0,106183,0,0,0,0,0,0,0
61,115781,0,0,0,0,0,0,0,0,0,115781,0,0,0,0,0,0,0
62,96887,0,0,0,0,0,0,0,0,841,95691,354,0,0,0,0,0,0
63,104912,0,0,0,0,0,0,0,0,26607,1886,76416,0,0,0,0,1,0
64,108669,0,0,0,0,0,0,0,0,0,98307,10362,0,0,0,0,0,0
65,107650,0,0,4216,0,0,0,0,63411,0,0,39891,0,0,130,0,0,0
66,112168,0,0,0,0,0,0,0,67566,38507,0,6093,0,0,0,0,0,0
67,111137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30331,80805
68,95588,0,0,0,0,0,0,0,0,0,0,20017,0,0,0,0,17912,57658
69,103921,0,0,0,0,0,0,0,0,24,9757,57357,0,0,0,0,33845,2936
70,102573,0,0,0,0,0,0,0,7626,96,0,53172,0,0,39304,0,2373,0
71,104269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11909,6721,85638
72,108417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108417
73,106141,0,0,0,0,0,0,0,0,0,0,0,0,0,2790,0,73366,29984
74,119296,0,0,0,0,0,0,0,0,0,0,0,0,0,32951,0,49648,36695
75,118501,0,0,0,0,0,0,0,0,0,0,0,0,0,96012,0,22488,0
76,97248,0,0,0,0,0,0,0,0,0,0,0,0,0,93959,0,3289,0
77,103249,0,0,45982,53635,8,204,3,3414,0,0,0,0,0,0,0,0,0
78,106757,0,0,14059,3447,0,0,89251,0,0,0,0,0,0,0,0,0,0
79,110060,34479,73809,0,0,0,0,0,0,0,0,0,0,0,0,0,1771,0
80,102918,42180,60737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,107261,0,0,0,0,0,54088,0,0,0,0,53172,0,0,0,0,0,0
82,103003,14370,0,0,6416,0,62552,0,0,0,0,19663,0,0,0,0,0,0
83,92795,0,0,0,0,0,0,0,2562,0,0,48513,0,0,41718,0,0,0
84,99702,0,0,0,0,0,0,0,0,0,0,45004,0,0,54697,0,0,0
85,116448,7602,0,0,0,0,0,0,0,0,0,69158,0,0,39688,0,0,0
86,111387,15161,0,0,0,0,0,0,0,0,0,0,0,0,96224,0,1,0
87,108678,0,0,0,0,0,0,0,0,0,0,0,0,5595,0,43850,50592,8640
88,115256,0,381,0,0,0,0,0,0,0,0,0,0,21202,0,33728,50811,9132
89,121196,0,0,0,0,0,0,0,0,0,0,13393,0,0,2948,0,77026,27828
90,116938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88074,28863
91,122623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48622,74000
92,107286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11388,95898
93,118041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,66307,51642
94,125256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75548,76,49631
95,93893,0,0,0,0,0,0,0,0,0,0,0,0,72315,0,21577,0,0
96,111865,0,0,0,0,0,0,0,0,0,0,0,0,89632,0,22232,0,0
97,102192,0,0,0,0,0,0,0,0,0,0,0,0,0,102192,0,0,0
98,104622,0,0,0,0,0,0,0,0,0,0,19476,0,0,85146,0,0,0
99,107647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107646,0,0
100,116544,0,0,0,0,0,0,0,0,0,0,0,0,26249,0,90295,0,0
101,114665,0,17661,0,0,0,0,0,0,0,0,0,12697,3637,0,80585,82,0
102,111509,0,4015,0,0,0,0,0,0,0,0,0,75029,0,0,32464,0,0
103,91686,0,0,0,0,0,0,0,0,0,0,0,0,91638,0,48,0,0
104,133553,0,66074,0,0,0,0,0,0,0,0,0,0,57661,0,9818,0,0
105,98716,0,9097,0,0,0,0,0,0,0,0,0,0,0,4180,0,82896,2542
106,107706,535,49653,0,0,0,0,0,0,0,0,0,0,0,263,0,57253,0
107,104170,0,0,0,0,0,0,0,0,0,0,0,27239,0,0,76930,0,0
108,119109,0,0,0,0,0,0,0,0,0,0,0,0,56617,0,62492,0,0
109,109357,0,0,0,0,0,0,0,0,0,0,0,44463,3025,0,61868,0,0
110,117655,0,0,0,0,0,0,0,0,0,0,0,87927,0,0,29728,0,0
111,107215,0,0,0,0,0,0,0,0,0,0,0,0,101803,0,5412,0,0
112,102201,0,0,0,0,0,0,0,0,0,0,0,7418,85867,0,8914,0,0
113,109276,0,0,0,0,0,0,0,0,0,0,0,11163,98113,0,0,0,0
114,115006,0,0,0,0,0,0,0,0,0,0,0,60763,54241,0,2,0,0
115,112081,0,0,0,0,0,0,0,0,0,0,0,112081,0,0,0,0,0
116,110992,0,0,0,0,0,0,0,0,0,0,0,110992,0,0,0,0,0
117,111195,0,0,0,0,0,0,0,0,0,0,0,111195,0,0,0,0,0
118,113932,0,0,0,0,0,0,0,0,0,0,0,113932,0,0,0,0,0
