NAME,TotalPopulation,1,2,3,4,5,6,7,8,9
1,66800,66800,0,0,0,0,0,0,0,0
2,68754,68754,0,0,0,0,0,0,0,0
3,69197,69197,0,0,0,0,0,0,0,0
4,65094,65093,0,0,0,0,0,0,0,0
5,62527,0,62527,0,0,0,0,0,0,0
6,66659,0,66659,0,0,0,0,0,0,0
7,69249,115,69133,0,0,0,0,0,0,0
8,67029,0,67029,0,0,0,0,0,0,0
9,68576,65990,2586,0,0,0,0,0,0,0
10,68865,68865,0,0,0,0,0,0,0,0
11,61867,37763,0,0,24104,0,0,0,0,0
12,69582,69582,0,0,0,0,0,0,0,0
13,69901,0,0,0,63751,0,0,0,6149,0
14,66865,66865,0,0,0,0,0,0,0,0
15,64632,64632,0,0,0,0,0,0,0,0
16,68716,0,26158,0,42556,0,0,0,0,0
17,68321,0,68321,0,0,0,0,0,0,0
18,74108,0,11607,62500,0,0,0,0,0,0
19,72491,72491,0,0,0,0,0,0,0,0
20,67111,31819,35292,0,0,0,0,0,0,0
21,72944,0,72944,0,0,0,0,0,0,0
22,67443,0,62457,4986,0,0,0,0,0,0
23,69426,0,44708,0,24717,0,0,0,0,0
24,67655,0,0,0,5924,61730,0,0,0,0
25,70192,0,0,0,70181,4,0,6,0,0
26,64701,0,0,0,64701,0,0,0,0,0
27,68866,0,0,0,68866,0,0,0,0,0
28,66070,0,0,0,66070,0,0,0,0,0
29,67284,0,0,0,0,67284,0,0,0,0
30,65755,0,0,0,0,65755,0,0,0,0
31,68745,0,0,1,0,68743,0,0,0,0
32,66308,0,0,0,0,58548,0,7759,0,0
33,69264,0,0,41329,0,14532,13402,0,0,0
34,67420,0,0,0,0,67420,0,0,0,0
35,68896,0,0,0,0,68896,0,0,0,0
36,66232,0,0,0,0,66231,0,0,0,0
37,69538,0,0,0,0,69538,0,0,0,0
38,69988,0,3104,0,34721,32161,0,0,0,0
39,67448,0,0,0,0,67448,0,0,0,0
40,66196,0,0,0,66191,0,0,4,0,0
41,61775,0,0,0,61775,0,0,0,0,0
42,70237,0,0,0,0,0,0,0,70236,0
43,63877,0,0,0,0,0,0,0,63877,0
44,67921,0,0,0,67920,0,0,0,1,0
45,71618,0,0,0,0,0,0,0,71618,0
46,65145,0,0,0,1,0,0,0,47309,17834
47,66297,0,0,0,0,0,66296,0,0,0
48,65211,0,65211,0,0,0,0,0,0,0
49,66900,0,66899,1,0,0,0,0,0,0
50,67368,0,29918,37448,0,1,0,0,0,0
51,65606,0,1,65605,0,0,0,0,0,0
52,66819,0,0,66819,0,0,0,0,0,0
53,67066,0,0,0,0,15028,52036,2,0,0
54,65295,0,0,0,0,1,65294,0,0,0
55,68848,0,0,0,0,0,31006,0,0,37841
56,68627,0,0,0,0,0,68627,0,0,0
57,66303,0,0,0,39132,0,27170,0,0,0
58,67044,0,0,0,0,0,67044,0,0,0
59,63188,0,0,0,0,0,55114,0,0,8074
60,67877,0,0,0,50961,0,13348,0,0,3567
61,65121,0,0,0,0,0,0,0,0,65121
62,72184,0,0,0,0,0,0,0,0,72183
63,67843,0,0,0,0,0,0,0,67842,0
64,66903,0,0,0,0,0,0,0,66903,0
65,68251,0,0,0,0,0,0,0,17300,50950
66,66990,0,0,0,0,0,0,0,0,66990
67,70460,0,0,0,0,0,0,0,0,70459
68,67678,0,0,0,0,0,0,0,0,67678
69,68981,0,0,0,0,0,165,0,0,68815
70,70197,0,0,0,0,0,0,0,9,70187
71,67232,0,0,0,0,0,0,0,0,67232
72,64270,0,0,0,0,0,0,0,0,64270
73,67695,0,0,0,0,0,43725,0,0,23969
74,68657,0,0,0,0,0,0,0,68647,9
75,68413,0,0,0,0,0,0,0,68413,0
76,66520,0,0,0,0,0,0,0,66520,0
77,69030,0,0,0,0,0,0,0,69030,0
78,67969,0,0,0,0,0,0,0,67969,0
79,66940,0,0,66940,0,0,0,0,0,0
80,59373,0,0,59373,0,0,0,0,0,0
81,67009,0,0,67009,0,0,0,0,0,0
82,72027,0,0,72027,0,0,0,0,0,0
83,63078,0,0,63078,0,0,0,0,0,0
84,61325,0,0,61325,0,0,0,0,0,0
85,76575,0,0,76575,0,0,0,0,0,0
86,70619,0,0,0,4,1,0,70613,0,0
87,66898,0,0,0,0,2,0,66895,0,0
88,65634,0,0,0,0,24449,24620,16564,0,0
89,67599,0,0,0,0,0,13435,54164,0,0
90,66546,0,0,0,0,0,66544,2,0,0
91,74469,0,0,0,2,0,65965,8501,0,0
92,72309,0,0,0,6,0,0,72302,0,0
93,69664,0,0,0,0,0,69116,547,0,0
94,62590,0,0,0,0,0,0,62590,0,0
95,68234,0,0,0,0,0,3,68231,0,0
96,68551,0,0,0,0,0,0,68551,0,0
97,58505,0,0,0,0,0,5940,52565,0,0
98,65326,0,0,0,0,0,1,65325,0,0
99,65160,0,0,0,0,0,0,65160,0,0
100,68727,0,0,0,0,0,0,68727,0,0
