NAME,TotalPopulation,1,2,3,4,5,6,7,8,9
1,127210,127210,0,0,0,0,0,0,0,0
2,134507,134507,0,0,0,0,0,0,0,0
3,142410,142410,0,0,0,0,0,0,0,0
4,132446,132425,20,0,0,0,0,0,0,0
5,133685,82763,12661,0,38260,0,0,0,0,0
6,124792,82702,0,0,42089,0,0,0,0,0
7,125578,0,0,0,125576,1,0,1,0,0
8,134727,30181,104546,0,0,0,0,0,0,0
9,128528,0,113491,15037,0,0,0,0,0,0
10,130904,0,130904,0,0,0,0,0,0,0
11,132998,0,132998,0,0,0,0,0,0,0
12,131634,0,131633,0,0,0,0,0,0,0
13,134953,0,1,134952,0,0,0,0,0,0
14,135994,0,0,135994,0,0,0,0,0,0
15,126784,0,0,126784,0,0,0,0,0,0
16,128112,0,0,128112,0,0,0,0,0,0
17,134952,0,31631,36378,0,66942,0,0,0,0
18,138582,0,91077,3422,25838,18244,0,0,0,0
19,137656,0,0,137654,0,1,0,0,0,0
20,119135,0,0,0,0,119132,0,3,0,0
21,125334,0,0,0,1466,123867,0,0,0,0
22,132764,0,0,0,132764,0,0,0,0,0
23,143040,0,0,0,102930,0,0,0,40110,0
24,127635,0,0,0,127629,0,0,5,0,0
25,138940,0,0,0,0,138938,1,0,0,0
26,140693,0,0,12738,0,115615,12340,0,0,0
27,134048,0,0,0,0,1,122248,0,0,11798
28,128134,0,0,0,0,1,105272,22860,0,0
29,130745,0,0,0,22544,44735,0,63464,0,0
30,132887,0,0,0,2,6,0,132879,0,0
31,128978,0,0,0,0,96498,6,32473,0,0
32,132571,0,0,0,0,0,104120,28450,0,0
33,130539,0,0,0,0,0,0,130539,0,0
34,138595,0,0,0,0,0,3,138591,0,0
35,137105,0,0,0,37567,0,33273,66264,0,0
36,127829,0,0,0,0,0,127358,470,0,0
37,132100,0,0,0,80543,0,39948,0,11605,2
38,139149,0,0,0,0,0,0,0,139149,0
39,137721,0,0,0,0,0,0,0,137720,0
40,137334,0,0,0,0,0,0,0,2,137331
41,130301,0,0,0,0,0,118469,0,0,11831
42,133783,0,0,0,0,0,52923,0,0,80859
43,134878,0,0,0,0,0,0,0,0,134878
44,132209,0,0,0,0,0,0,0,19547,112661
45,131182,0,0,0,0,0,0,0,0,131182
46,126947,0,0,0,0,0,1940,125006,0,0
47,128865,0,0,0,0,0,0,0,10,128855
48,138680,0,0,0,0,0,0,0,138670,10
49,138855,0,0,0,0,0,0,0,138855,0
50,129974,0,0,0,0,0,0,0,129974,0
