NAME,TotalPopulation,1,2,3,4
1,20465,0,20465,0,0
2,21764,0,21764,0,0
3,24248,0,24248,0,0
4,22189,0,21531,657,0
5,20939,0,1491,19447,0
6,25755,0,0,25755,0
7,25053,0,25053,0,0
8,28398,0,0,28398,0
9,22062,0,22062,0,0
10,28606,11340,17264,1,0
11,17675,0,17675,0,0
12,26325,0,8873,0,17451
13,20170,0,12228,0,7942
14,26506,0,0,26506,0
15,23443,0,0,23443,0
16,22407,0,0,22407,0
17,24241,0,0,24241,0
18,21174,0,0,21174,0
19,25233,0,0,25233,0
20,25001,0,0,25001,0
21,22955,0,0,22955,0
22,22626,0,0,22626,0
23,23200,0,0,23200,0
24,22646,0,0,22646,0
25,22489,0,0,22489,0
26,27522,0,0,27522,0
27,31334,0,0,31334,0
28,22800,0,0,22800,0
29,26869,0,0,26869,0
30,24352,0,0,24352,0
31,22873,0,0,22873,0
32,20824,0,20824,0,0
33,26880,0,8917,17962,0
34,25732,0,25732,0,0
35,23229,0,23229,0,0
36,24191,0,24107,84,0
37,21718,0,7362,14356,0
38,30148,0,20875,9273,0
39,25552,0,0,25552,0
40,21040,0,21040,0,0
41,19202,0,19202,0,0
42,23893,0,23891,1,0
43,25872,0,0,25871,0
44,25176,23296,1879,0,0
45,35368,24083,11284,0,0
46,26288,25842,446,0,0
47,26670,18973,7697,0,0
48,24000,0,0,24000,0
49,21104,0,0,21104,0
50,24373,0,24372,0,0
51,26416,15556,10860,0,0
52,24540,0,24540,0,0
53,21859,0,21859,0,0
54,22040,3,22037,0,0
55,21387,0,21387,0,0
56,23089,0,23089,0,0
57,17593,0,17593,0,0
58,21729,0,21729,0,0
59,23689,0,3239,20450,0
60,22342,0,22342,0,0
61,22656,21472,1183,0,0
62,22838,966,21871,0,0
63,22076,0,22076,0,0
64,23536,23535,0,0,0
65,20079,1,20078,0,0
66,31782,31782,0,0,0
67,24400,24400,0,0,0
68,23542,2157,21384,0,0
69,21963,21963,0,0,0
70,21897,16658,5239,0,0
71,23923,23923,0,0,0
72,16366,0,0,0,16366
73,23444,23444,0,0,0
74,26293,1591,6625,0,18076
75,22032,0,0,0,22032
76,23083,0,23082,0,0
77,19886,0,0,0,19886
78,19786,0,0,19786,0
79,21840,0,0,0,21840
80,22035,0,0,0,22035
81,23641,0,0,0,23641
82,23553,0,0,0,23553
83,20632,0,0,0,20632
84,21596,0,0,0,21596
85,23994,0,0,0,23994
86,22220,0,0,0,22220
87,25710,0,0,0,25710
88,22974,0,0,0,22974
89,23686,0,0,0,23686
90,24574,0,0,0,24574
91,27158,0,0,0,27158
92,22644,0,0,0,22644
93,28326,0,0,0,28326
94,18909,0,0,0,18909
95,26857,0,0,0,26857
96,20650,0,0,0,20650
97,19226,0,0,0,19226
98,23691,0,0,0,23691
99,25450,0,0,0,25450
100,22898,0,0,0,22898
101,24969,7719,0,0,17249
102,18122,18122,0,0,0
103,22636,0,0,0,22636
104,21825,21825,0,0,0
105,23388,0,0,0,23388
106,20926,20926,0,0,0
107,21860,21860,0,0,0
108,19821,19821,0,0,0
109,22125,22125,0,0,0
110,21781,21781,0,0,0
111,22839,22839,0,0,0
112,21154,21154,0,0,0
113,21965,8026,0,0,13938
114,23939,16765,0,0,7173
115,30947,30839,0,0,108
116,20896,0,0,0,20896
117,20390,11404,0,0,8985
118,22805,22805,0,0,0
119,14169,14169,0,0,0
120,21956,21956,0,0,0
121,29719,0,0,29719,0
122,30991,30991,0,0,0
123,14055,14055,0,0,0
124,19266,19266,0,0,0
125,20903,20903,0,0,0
