NAME,TotalPopulation,1,2,3,4
1,73043,27911,45131,0,0
2,84843,82375,2468,0,0
3,80673,17068,63598,6,0
4,72700,0,72565,135,0
5,71045,0,60730,10315,0
6,71244,0,19848,51396,0
7,72252,0,0,72252,0
8,75403,0,0,75403,0
9,83397,0,5,83392,0
10,76650,0,0,76650,0
11,75199,0,0,75199,0
12,72219,0,28832,43387,0
13,68441,0,68441,0,0
14,70951,0,20567,0,50384
15,65775,0,65774,0,0
16,76754,0,0,0,76754
17,71318,7331,63987,0,0
18,64579,3785,60793,0,0
19,77709,4095,73613,0,0
20,71446,0,71446,0,0
21,75568,0,0,75568,0
22,87998,82073,5924,0,0
23,69436,0,0,69436,0
24,66526,66525,0,0,0
25,74217,0,0,0,74217
26,75149,0,0,0,75149
27,75024,0,0,0,75024
28,63382,0,0,0,63382
29,70905,0,0,0,70905
30,72316,0,0,0,72316
31,73165,0,0,0,73164
32,69024,0,0,0,69024
33,67218,44293,0,0,22924
34,67575,62420,0,0,5154
35,68353,48332,20020,0,0
36,66043,66043,0,0,0
37,86962,0,0,86962,0
38,68531,68531,0,0,0
39,67632,67632,0,0,0
40,71933,71933,0,0,0
