NAME,TotalPopulation,1,2,3,4,5,6
1,44015,44015,0,0,0,0,0
2,45489,45489,0,0,0,0,0
3,42056,42056,0,0,0,0,0
4,45042,45042,0,0,0,0,0
5,45124,45124,0,0,0,0,0
6,42846,42846,0,0,0,0,0
7,48771,2,48769,0,0,0,0
8,45091,45091,0,0,0,0,0
9,42840,42840,0,0,0,0,0
10,47208,0,47208,0,0,0,0
11,45549,45547,2,0,0,0,0
12,45745,36544,9201,0,0,0,0
13,40174,0,40174,0,0,0,0
14,44883,0,44883,0,0,0,0
15,43570,1,43569,0,0,0,0
16,44037,42162,1875,0,0,0,0
17,43665,0,43665,0,0,0,0
18,45395,0,45395,0,0,0,0
19,47624,1,47623,0,0,0,0
20,45874,0,45874,0,0,0,0
21,46704,46704,0,0,0,0,0
22,45248,39378,5870,0,0,0,0
23,44026,3,44022,0,0,0,0
24,44103,2,44101,0,0,0,0
25,39653,0,39653,0,0,0,0
26,46751,0,46740,11,0,0,0
27,42915,0,42915,0,0,0,0
28,40542,0,2,40539,0,0,0
29,41956,0,6471,35484,0,0,0
30,42137,0,0,42137,0,0,0
31,41266,0,16,41249,0,0,0
32,48158,0,0,48150,8,0,0
33,44929,0,307,29115,15506,0,0
34,47223,0,0,47223,0,0,0
35,38021,0,0,38021,0,0,0
36,41174,0,24978,16195,0,0,0
37,47053,0,3473,43580,0,0,0
38,47733,0,0,47733,0,0,0
39,38454,0,0,0,0,0,38454
40,43692,0,0,43692,0,0,0
41,46961,0,0,46961,0,0,0
42,43396,0,0,43396,0,0,0
43,46767,0,0,46767,0,0,0
44,46179,0,0,46179,0,0,0
45,44762,0,0,0,0,0,44762
46,44530,0,0,44530,0,0,0
47,46067,1,0,0,46065,0,0
48,41433,0,0,35655,5777,0,0
49,40137,0,40131,0,6,0,0
50,45914,2,22369,0,23543,0,0
51,44828,44826,2,0,0,0,0
52,49218,2,0,0,0,49216,0
53,41522,3892,2,0,18944,0,18682
54,46056,46048,0,0,0,2,5
55,52786,12043,0,0,1,0,40741
56,42613,11073,0,0,1,0,31539
57,39667,39663,0,0,0,0,3
58,47014,1,0,0,47012,0,0
59,46309,0,0,0,46308,0,0
60,47134,0,0,0,47134,0,0
61,45316,0,0,0,45316,0,0
62,42389,0,0,0,4,0,42385
63,43400,0,0,0,43400,0,0
64,46513,0,0,0,46513,0,0
65,46035,0,0,0,46035,0,0
66,44217,0,0,0,44217,0,0
67,45315,0,0,0,45315,0,0
68,38913,0,0,0,38913,0,0
69,40659,0,0,0,40659,0,0
70,46331,0,0,0,46323,0,7
71,43258,0,0,0,0,28119,15138
72,41709,0,0,0,7,5,41697
73,44185,0,0,0,0,0,44185
74,46926,0,0,0,0,13095,33831
75,48357,0,0,0,0,0,48357
76,44670,0,0,0,0,0,44670
77,42281,0,0,0,0,0,42281
78,43473,0,0,0,43473,0,0
79,44770,0,0,0,0,0,44770
80,43160,6,0,0,0,25602,17551
81,50730,0,0,0,0,5,50724
82,41914,0,0,0,0,41914,0
83,45761,28018,0,0,0,17742,0
84,43478,0,0,0,0,43478,0
85,42640,0,0,0,0,42640,0
86,43475,0,0,0,0,43475,0
87,45066,0,0,0,0,45066,0
88,49561,0,0,0,0,0,49561
89,47316,0,0,0,0,36192,11123
90,44966,0,0,0,0,44966,0
91,41559,0,0,0,0,2,41556
92,46785,0,0,0,0,46785,0
93,44258,0,0,0,0,0,44258
94,47954,0,0,0,0,47954,0
95,44445,0,0,0,0,44445,0
96,44961,0,0,0,17373,27584,3
97,46176,0,0,0,0,46176,0
98,47103,0,0,0,35354,11749,0
99,45263,0,0,0,1,45257,4
100,46579,0,0,0,0,46579,0
