NAME,TotalPopulation,1,2,3,4,5,6
1,118461,118461,0,0,0,0,0
2,118643,118643,0,0,0,0,0
3,116070,84991,31078,0,0,0,0
4,119756,119753,3,0,0,0,0
5,111401,0,111401,0,0,0,0
6,112399,0,0,38388,74011,0,0
7,110187,4498,7732,17641,62603,0,17711
8,117985,3,117982,0,0,0,0
9,125118,4,125113,0,0,0,0
10,114330,0,108102,6227,0,0,0
11,109840,0,0,0,109840,0,0
12,120562,29907,0,0,0,0,90654
13,125312,0,0,0,0,0,125312
14,109042,31253,35859,0,41928,0,1
15,119438,34684,0,0,0,84754,0
16,114762,86166,28595,0,0,0,0
17,112945,0,0,0,51659,0,61285
18,124633,0,0,0,53420,71210,3
19,115557,0,0,115557,0,0,0
20,110687,50288,0,0,60394,0,3
21,117261,15797,0,0,0,101454,10
22,120196,4,0,0,0,2,120189
23,124626,0,0,0,124626,0,0
24,117428,0,0,0,117428,0,0
25,123658,0,0,0,0,123658,0
26,107843,0,46,107796,0,0,0
27,124868,0,0,0,37964,24493,62410
28,120258,0,0,0,0,13289,106969
29,129436,0,0,0,0,129436,0
30,117062,0,0,0,0,90430,26631
31,118547,0,0,0,0,118547,0
32,115433,55273,60159,0,0,0,0
33,113471,0,2,113468,0,0,0
34,123225,0,0,0,0,8,123217
35,112789,0,0,112789,0,0,0
36,107562,0,20789,86768,4,0,0
37,110634,0,0,110634,0,0,0
38,108756,0,80548,28202,5,0,0
