NAME,TotalPopulation,1,2,3,4,5,6
1,135074,132691,2382,0,0,0,0
2,109553,0,79173,0,0,0,30380
3,129166,26279,102886,0,0,0,0
4,130714,24574,106139,0,0,0,0
5,124104,11856,112248,0,0,0,0
6,127589,16758,0,0,0,38958,71872
7,112751,13783,98967,0,0,0,0
8,119486,21807,97679,0,0,0,0
9,117936,112488,5448,0,0,0,0
10,121171,116487,4682,0,0,0,1
11,136574,131270,0,0,0,5304,0
12,128843,31905,0,0,0,96938,0
13,130809,2166,0,0,0,6899,121744
14,113612,0,50814,0,0,0,62798
15,118091,0,41803,0,0,0,76287
16,121632,0,400,0,0,0,121232
17,113216,0,10393,2,0,51510,51309
18,130029,2,12390,0,0,4,117631
19,112182,13376,59612,0,0,0,39194
20,108618,89546,0,0,0,0,19071
21,122926,10129,2,52563,0,0,60230
22,121856,0,0,114767,7087,0,1
23,136744,0,0,136744,0,0,0
24,119704,0,0,68575,51127,0,0
25,127065,0,0,127064,1,0,0
26,130815,0,0,122551,8263,0,0
27,113414,0,0,113414,0,0,0
28,116216,0,0,5841,75372,35002,0
29,96855,0,0,0,17926,78929,0
30,120407,0,0,33705,86702,0,0
31,116829,0,0,0,64180,52648,0
32,115097,0,0,0,0,115097,0
33,113585,0,0,0,32908,80677,0
34,104917,0,0,0,0,104917,0
35,117936,0,0,0,1222,116714,0
36,121121,0,0,0,121119,1,0
37,104128,0,0,0,104128,0,0
38,115186,0,0,0,115186,0,0
39,108643,0,0,0,108643,0,0
