NAME,TotalPopulation,1,2,3,4,5,6,7,8,9
BARN1,40356,0,0,0,0,0,0,0,0,40356
BARN2,40539,0,0,0,0,0,0,0,0,40539
BARN3,41360,0,0,0,0,0,0,0,0,41360
BARN4,36591,0,0,0,0,0,0,0,0,36591
BARN5,43285,0,0,0,0,0,0,0,0,43285
BDN,40009,0,0,0,0,0,0,0,0,40009
BERK1,42879,42879,0,0,0,0,0,0,0,0
BERK2,42513,42513,0,0,0,0,0,0,0,0
BERK3,40534,40534,0,0,0,0,0,0,0,0
BRISTOL1,42216,0,0,0,42215,0,0,0,0,0
BRISTOL2,40155,0,0,0,40155,0,0,0,0,0
BRISTOL3,45247,0,0,0,36143,0,0,0,9103,0
BRISTOL4,44665,0,0,0,44665,0,0,0,0,0
BRISTOL5,42000,0,0,0,42000,0,0,0,0,0
BRISTOL6,37456,0,0,0,37456,0,0,0,0,0
BRISTOL7,36278,0,0,0,36276,0,0,0,0,1
BRISTOL8,49912,0,0,0,25246,0,0,0,0,24665
BRISTOL9,45194,0,0,0,0,0,0,0,0,45194
BRISTOL10,40352,0,0,0,0,0,0,0,0,40352
BRISTOL11,38629,0,0,0,0,0,0,0,0,38629
BRISTOL12,43110,0,0,0,31878,0,0,0,0,11231
BRISTOL13,40397,0,0,0,0,0,0,0,0,40397
BRISTOL14,41653,0,0,0,41653,0,0,0,0,0
ESSEX1,46168,0,0,0,0,0,46167,0,0,0
ESSEX2,48308,0,0,0,0,0,48308,0,0,0
ESSEX3,44326,0,0,44320,0,0,6,0,0,0
ESSEX4,36307,0,0,36301,0,0,5,0,0,0
ESSEX5,46730,0,0,0,0,0,46730,0,0,0
ESSEX6,44353,0,0,0,0,0,44353,0,0,0
ESSEX7,43564,0,0,0,0,0,43564,0,0,0
ESSEX8,41763,0,0,0,0,0,41763,0,0,0
ESSEX9,39342,0,0,0,0,1,39341,0,0,0
ESSEX10,42109,0,0,0,0,0,42109,0,0,0
ESSEX11,45635,0,0,0,0,0,45635,0,0,0
ESSEX12,43638,0,0,0,0,0,43638,0,0,0
ESSEX13,44067,0,0,0,0,0,44067,0,0,0
ESSEX14,46546,0,0,59,0,0,46486,0,0,0
ESSEX15,43736,0,0,43732,0,0,3,0,0,0
ESSEX16,36453,0,0,36395,0,0,58,0,0,0
ESSEX17,42016,0,0,33472,0,0,8543,0,0,0
ESSEX18,47862,0,0,13,0,0,47849,0,0,0
FRANK1,41993,2581,39411,0,0,0,0,0,0,0
FRANK2,41326,0,38537,2789,0,0,0,0,0,0
HAMPDEN1,43407,43404,3,0,0,0,0,0,0,0
HAMPDEN2,44228,44228,0,0,0,0,0,0,0,0
HAMPDEN3,45778,45777,0,0,0,0,0,0,0,0
HAMPDEN4,45629,45629,0,0,0,0,0,0,0,0
HAMPDEN5,42628,42628,0,0,0,0,0,0,0,0
HAMPDEN6,42448,42448,0,0,0,0,0,0,0,0
HAMPDEN7,43849,34284,9564,0,0,0,0,0,0,0
HAMPDEN8,43380,43380,0,0,0,0,0,0,0,0
HAMPDEN9,41661,41661,0,0,0,0,0,0,0,0
HAMPDEN10,41004,41004,0,0,0,0,0,0,0,0
HAMPDEN11,42696,42696,0,0,0,0,0,0,0,0
HAMPDEN12,44633,44633,0,0,0,0,0,0,0,0
HAMPSHIRE1,40717,2481,38235,0,0,0,0,0,0,0
HAMPSHIRE2,42000,36663,5337,0,0,0,0,0,0,0
HAMPSHIRE3,43266,3273,39993,0,0,0,0,0,0,0
MIDDLE1,44233,0,0,44232,0,0,0,0,0,0
MIDDLE2,42673,0,0,42673,0,0,0,0,0,0
MIDDLE3,43279,0,0,32379,0,10899,0,0,0,0
MIDDLE4,41099,0,5,34270,0,6823,0,0,0,0
MIDDLE5,41644,0,0,0,7,41636,0,0,0,0
MIDDLE6,40068,0,1,0,1,40065,0,0,0,0
MIDDLE7,41623,0,17782,0,0,23841,0,0,0,0
MIDDLE8,43001,0,32808,0,10184,8,0,0,0,0
MIDDLE9,44028,0,0,0,4,44023,0,0,0,0
MIDDLE10,40194,0,0,0,8601,31593,0,0,0,0
MIDDLE11,40984,0,0,0,40936,28,0,18,0,0
MIDDLE12,50172,0,0,0,50124,1,0,37,9,0
MIDDLE13,45845,0,0,14423,0,31419,1,0,0,0
MIDDLE14,43672,0,0,43667,0,0,4,0,0,0
MIDDLE15,44556,0,0,0,0,44551,5,0,0,0
MIDDLE16,41978,0,0,41978,0,0,0,0,0,0
MIDDLE17,42549,0,0,39418,0,0,3130,0,0,0
MIDDLE18,41508,0,0,41508,0,0,0,0,0,0
MIDDLE19,41561,0,0,0,0,0,41560,0,0,0
MIDDLE20,48467,0,0,0,0,0,48467,0,0,0
MIDDLE21,45795,0,0,6,0,4097,41691,0,0,0
MIDDLE22,43273,0,0,26748,0,0,16525,0,0,0
MIDDLE23,42813,0,0,0,0,42769,0,44,0,0
MIDDLE24,45869,0,0,0,0,42389,0,3479,0,0
MIDDLE25,43126,0,0,0,0,36151,0,6975,0,0
MIDDLE26,47221,0,0,0,0,2435,0,44785,0,0
MIDDLE27,44363,0,0,0,0,26,0,44336,0,0
MIDDLE28,40217,0,0,0,0,59,0,40157,0,0
MIDDLE29,43585,0,0,0,27,35142,0,8416,0,0
MIDDLE30,41759,0,0,0,0,28164,13594,0,0,0
MIDDLE31,43651,0,0,0,0,43644,6,0,0,0
MIDDLE32,45782,0,0,0,0,32730,13051,0,0,0
MIDDLE33,39444,0,0,0,0,39427,0,16,0,0
MIDDLE34,44620,0,0,0,0,20749,0,23870,0,0
MIDDLE35,43173,0,0,0,0,43133,0,40,0,0
MIDDLE36,43927,0,0,43922,0,0,5,0,0,0
MIDDLE37,43884,0,0,43884,0,0,0,0,0,0
NORFOLK1,47269,0,0,0,0,0,0,13740,33529,0
NORFOLK2,41078,0,0,0,0,0,0,0,41078,0
NORFOLK3,41284,0,0,0,0,0,0,0,41284,0
NORFOLK4,42143,0,0,0,0,0,0,0,42143,0
NORFOLK5,41803,0,0,0,0,0,0,20,41782,0
NORFOLK6,40995,0,0,0,1,0,0,2,40990,0
NORFOLK7,43168,0,0,0,0,0,0,29423,13744,0
NORFOLK8,44261,0,0,0,22405,0,0,0,21855,0
NORFOLK9,45603,0,0,0,41776,0,0,0,3826,0
NORFOLK10,43122,0,9475,0,33647,0,0,0,0,0
NORFOLK11,45217,0,0,0,5,0,0,2,45208,0
NORFOLK12,41392,0,0,0,10,0,0,0,41381,0
NORFOLK13,43828,0,0,0,43820,1,0,0,6,0
NORFOLK14,43833,0,0,0,8654,35177,0,0,0,0
NORFOLK15,42437,0,0,0,42319,0,0,117,0,0
PLY1,45205,0,0,0,0,0,0,0,0,45205
PLY2,42848,0,0,0,0,0,0,0,0,42847
PLY3,42984,0,0,0,0,0,0,0,34455,8528
PLY4,45279,0,0,0,0,0,0,0,0,45279
PLY5,42193,0,0,0,0,0,0,0,4,42188
PLY6,44768,0,0,0,0,0,0,0,0,44767
PLY7,42277,0,0,0,0,0,0,0,42266,11
PLY8,41782,0,0,0,8812,0,0,0,8,32960
PLY9,45264,0,0,0,0,0,0,0,45261,2
PLY10,40937,0,0,0,0,0,0,0,40937,0
PLY11,36479,0,0,0,0,0,0,0,36479,0
PLY12,47312,0,0,0,1,0,0,0,0,47311
SUFFOLK1,47822,0,0,0,0,20,0,47801,0,0
SUFFOLK2,44766,0,0,0,2,1,0,44756,6,0
SUFFOLK3,39489,0,0,0,0,0,0,17643,21845,0
SUFFOLK4,41456,0,0,0,0,0,0,98,41357,0
SUFFOLK5,47134,0,0,0,0,0,0,44031,3102,0
SUFFOLK6,50916,0,0,0,0,0,0,50913,2,0
SUFFOLK7,43252,0,0,0,35,0,0,43216,1,0
SUFFOLK8,43056,0,0,0,0,0,0,23269,19787,0
SUFFOLK9,42486,0,0,0,0,0,0,38267,4218,0
SUFFOLK10,47815,0,0,0,3011,0,0,2364,42439,0
SUFFOLK11,43641,0,0,0,0,126,0,43514,0,0
SUFFOLK12,47715,0,0,0,0,0,0,40749,6966,0
SUFFOLK13,40418,0,0,0,0,0,0,12367,28051,0
SUFFOLK14,50143,0,0,0,0,0,0,46400,3743,0
SUFFOLK15,45203,0,0,0,31,0,0,32427,12745,0
SUFFOLK16,37928,0,0,0,0,30981,6815,131,0,0
SUFFOLK17,39492,0,0,0,2298,0,0,37194,0,0
SUFFOLK18,44029,0,0,0,57,80,0,43890,1,0
SUFFOLK19,40849,0,0,0,0,40826,1,20,0,0
WOR1,44230,0,37855,6374,0,0,0,0,0,0
WOR2,43077,0,8114,34963,0,0,0,0,0,0
WOR3,42316,0,10,42306,0,0,0,0,0,0
WOR4,41581,0,41569,12,0,0,0,0,0,0
WOR5,45983,26326,19657,0,0,0,0,0,0,0
WOR6,42450,42445,4,0,0,0,0,0,0,0
WOR7,42692,9982,32710,0,0,0,0,0,0,0
WOR8,43809,0,14119,0,29689,0,0,0,0,0
WOR9,43635,0,43611,0,23,0,0,0,0,0
WOR10,41021,0,26,0,40995,0,0,0,0,0
WOR11,41307,0,41307,0,0,0,0,0,0,0
WOR12,42571,0,17336,25235,0,0,0,0,0,0
WOR13,42658,0,42658,0,0,0,0,0,0,0
WOR14,41033,0,41033,0,0,0,0,0,0,0
WOR15,38076,0,38076,0,0,0,0,0,0,0
WOR16,38699,0,38699,0,0,0,0,0,0,0
WOR17,36916,0,36916,0,0,0,0,0,0,0
WOR18,45758,13263,32494,0,0,0,0,0,0,0
WOR19,38211,0,36101,4,0,2105,0,0,0,0
