NAME,TotalPopulation,1,2,3,4,5,6,7,8,9
D1,167500,149047,18452,0,0,0,0,0,0,0
D2,168580,168575,5,0,0,0,0,0,0,0
D3,160469,160469,0,0,0,0,0,0,0,0
D4,169847,167940,1907,0,0,0,0,0,0,0
D5,167864,1914,148797,17152,0,0,0,0,0,0
D6,163166,37267,98922,26976,0,0,0,0,0,0
D7,181417,89508,67279,0,24629,0,0,0,0,0
D8,158927,0,158926,0,0,0,0,0,0,0
D9,152090,0,143413,8677,0,0,0,0,0,0
D10,171827,0,41582,130244,0,0,0,0,0,0
D11,170689,0,0,170680,0,0,8,0,0,0
D12,175016,0,10156,120887,0,43972,0,0,0,0
D13,172873,0,63970,0,28,108873,0,0,0,0
D14,175550,0,43,0,175483,10,0,0,14,0
D15,167249,0,0,59432,12,94164,13639,0,0,0
D16,178235,0,0,26748,0,106836,44609,40,0,0
D17,176232,0,0,0,155865,20175,0,181,10,0
D18,186304,0,0,0,39,0,0,40209,146055,0
D19,150503,0,0,150432,0,0,70,0,0,0
D20,182325,0,0,43858,0,0,138465,0,0,0
D21,183744,0,0,6,0,0,183738,0,0,0
D22,166029,0,0,0,0,0,166029,0,0,0
D23,176607,0,0,0,0,124307,52263,36,0,0
D24,174671,0,0,0,0,9,174662,0,0,0
D25,176763,0,0,0,0,71820,9,64229,40704,0
D26,182548,0,0,0,0,24948,0,157591,7,0
D27,177703,0,0,0,0,84381,0,93322,0,0
D28,180081,0,0,0,184,75642,0,104248,5,0
D29,187040,0,0,0,31,0,0,177070,9939,0
D30,183413,0,0,0,0,0,0,101440,81972,0
D31,171998,0,0,0,0,0,0,0,91654,80343
D32,164712,0,0,0,0,0,0,15,132175,32522
D33,163698,0,0,0,13,0,0,32716,103539,27428
D34,162063,0,0,0,0,0,0,13438,129907,18717
D35,178541,0,0,0,154893,0,0,2,23646,0
D36,178981,0,0,0,108684,0,0,0,0,70295
D37,166958,0,0,0,145312,0,0,0,0,21645
D38,162451,0,0,0,2,0,0,0,0,162449
D39,181539,0,0,0,0,0,0,0,0,181539
D40,156779,0,0,0,0,0,0,0,0,156779
