NAME,TotalPopulation,1,2,3,4,5,6,7,8
1A,45805,0,0,0,0,0,45805,0,0
1B,47104,0,0,0,0,0,47104,0,0
1C,46809,0,0,0,0,0,46809,0,0
2A,90577,0,0,0,0,0,76652,0,13924
2B,34345,0,0,0,0,0,34345,0,0
3,112840,0,0,0,0,0,102798,0,10042
4,127795,0,0,0,0,0,46414,0,81379
5,121332,0,0,16028,0,0,0,0,105304
6,122741,0,122732,0,0,0,0,9,0
7A,82968,4,25645,23,0,0,0,57294,0
7B,43980,6709,0,37234,0,0,0,35,0
8,121873,0,112247,0,0,0,0,9625,0
9A,83681,0,0,52033,1,0,1919,16847,12878
9B,41668,0,0,8364,0,0,0,33303,0
10,131979,0,2055,41717,0,0,0,88204,2
11A,41257,0,0,14882,0,0,0,26375,0
11B,83594,0,2987,47972,0,0,0,32634,0
12A,83964,0,55,75944,0,0,0,7964,0
12B,45645,10360,35262,21,0,0,0,0,0
13,129292,45,27,129154,64,0,0,0,0
14,133567,0,0,35865,77786,3,429,0,19482
15,125379,0,0,0,0,0,122890,0,2488
16,125905,0,0,0,0,0,21236,0,104669
17,130440,0,0,0,0,0,99803,0,30636
18,130495,0,0,10037,0,0,0,0,120457
19,130592,0,0,60223,1737,0,12548,0,56083
20,127308,0,0,20,12200,2,0,0,115084
21,135865,23872,560,42,51440,59949,0,0,0
22,123947,0,0,0,32512,91434,0,0,0
23,133963,18,0,0,46832,87112,0,0,0
24,124566,0,0,0,102537,22027,0,0,0
25,129214,0,0,0,101122,28091,0,0,0
26,125085,0,0,0,73689,51396,0,0,0
27A,41689,0,0,0,0,41689,0,0,0
27B,44311,0,0,0,11,44299,0,0,0
27C,45098,0,0,0,0,45098,0,0,0
28,133228,0,0,0,0,133228,0,0,0
29A,44538,0,0,0,0,44538,0,0,0
29B,43481,0,0,0,0,43481,0,0,0
29C,47864,0,0,0,0,47864,0,0,0
30A,85554,20324,0,0,65229,0,0,0,0
30B,40785,0,0,0,40769,16,0,0,0
31,125292,27105,98186,0,0,0,0,0,0
32,124527,32245,92170,93,18,0,0,0,0
33A,36005,32201,3558,0,245,0,0,0,0
33B,47192,33618,19,0,13543,10,0,0,0
33C,43566,42894,671,0,0,0,0,0,0
34A,84063,78560,0,5500,0,0,0,1,0
34B,41183,10,0,41173,0,0,0,0,0
35A,90052,5664,0,84385,0,0,0,1,0
35B,40789,40788,0,0,0,0,0,0,0
36,139973,139973,0,0,0,0,0,0,0
37A,37221,37221,0,0,0,0,0,0,0
37B,98382,98382,0,0,0,0,0,0,0
38A,47876,47876,0,0,0,0,0,0,0
38B,36218,36218,0,0,0,0,0,0,0
38C,49720,49720,0,0,0,0,0,0,0
39,127732,0,0,0,0,0,87007,0,40724
40,128078,0,8478,7577,0,0,0,112022,0
41,132934,0,1366,42423,0,0,0,89145,0
42A,42247,0,6896,13537,0,0,0,21812,1
42B,38324,0,23189,1694,0,0,0,13439,0
42C,48295,0,0,4,0,0,0,0,48291
43A,88195,0,316,10654,0,0,0,77224,0
43B,39437,0,2611,14996,0,0,0,21828,0
44A,42631,0,22470,0,0,0,0,20160,0
44B,81192,0,11239,15,0,0,0,69937,0
45,135921,0,76504,0,0,0,0,59417,0
46,117127,0,94903,0,0,0,0,22223,0
47A,87385,0,0,0,87322,50,0,0,12
47B,43912,0,0,0,43691,192,0,0,28
