NAME,TotalPopulation,1,2,3,4,5,6,7,8
1,139719,0,0,0,0,0,139719,0,0
2,124923,0,0,0,0,0,110998,0,13924
3,112840,0,0,0,0,0,102798,0,10042
4,127795,0,0,0,0,0,46414,0,81379
5,121332,0,0,16028,0,0,0,0,105304
6,122741,0,122732,0,0,0,0,9,0
7,126949,6714,25646,37258,0,0,0,57330,0
8,121873,0,112247,0,0,0,0,9625,0
9,125350,0,0,60398,1,0,1919,50151,12878
10,131979,0,2055,41717,0,0,0,88204,2
11,124852,0,2987,62854,0,0,0,59010,0
12,129609,10360,35317,75966,0,0,0,7964,0
13,129292,45,27,129154,64,0,0,0,0
14,133567,0,0,35865,77786,3,429,0,19482
15,125379,0,0,0,0,0,122890,0,2488
16,125905,0,0,0,0,0,21236,0,104669
17,130440,0,0,0,0,0,99803,0,30636
18,130495,0,0,10037,0,0,0,0,120457
19,130592,0,0,60223,1737,0,12548,0,56083
20,127308,0,0,20,12200,2,0,0,115084
21,135865,23872,560,42,51440,59949,0,0,0
22,123947,0,0,0,32512,91434,0,0,0
23,133963,18,0,0,46832,87112,0,0,0
24,124566,0,0,0,102537,22027,0,0,0
25,129214,0,0,0,101122,28091,0,0,0
26,125085,0,0,0,73689,51396,0,0,0
27,131099,0,0,0,12,131086,0,0,0
28,133228,0,0,0,0,133228,0,0,0
29,135884,0,0,0,0,135884,0,0,0
30,126339,20324,0,0,105998,16,0,0,0
31,125292,27105,98186,0,0,0,0,0,0
32,124527,32245,92170,93,18,0,0,0,0
33,126763,108714,4249,0,13788,10,0,0,0
34,125247,78570,0,46674,0,0,0,1,0
35,130841,46453,0,84386,0,0,0,1,0
36,139973,139973,0,0,0,0,0,0,0
37,135603,135603,0,0,0,0,0,0,0
38,133815,133815,0,0,0,0,0,0,0
39,127732,0,0,0,0,0,87007,0,40724
40,128078,0,8478,7577,0,0,0,112022,0
41,132934,0,1366,42423,0,0,0,89145,0
42,128867,0,30086,15236,0,0,0,35252,48292
43,127632,0,2927,25651,0,0,0,99052,0
44,123823,0,33710,15,0,0,0,90098,0
45,135921,0,76504,0,0,0,0,59417,0
46,117127,0,94903,0,0,0,0,22223,0
47,131298,0,0,0,131014,242,0,0,41
