NAME,TotalPopulation,1,2
1,8281,0,8281
2,9825,0,9825
3,8315,0,8315
4,9303,0,9303
5,9071,0,9071
6,10478,0,10478
7,7832,0,7832
8,7939,0,7939
9,8179,0,8179
10,9747,0,9747
11,8407,0,8407
12,9139,0,9139
13,8192,0,8192
14,9078,0,9078
15,8230,1037,7193
16,8706,0,8706
17,9458,0,9458
18,12741,0,12741
19,7796,0,7796
20,8763,0,8763
21,9495,0,9495
22,9223,0,9223
23,7920,0,7920
24,10339,0,10339
25,7948,0,7948
26,10678,0,10678
27,7397,0,7397
28,9143,0,9143
29,9685,0,9685
30,9347,0,9347
31,8701,0,8701
32,9626,0,9626
33,8697,0,8697
34,8941,0,8941
35,8789,0,8789
36,8996,0,8996
37,9606,0,9606
38,9053,0,9053
39,8556,0,8556
40,9281,1838,7442
41,8183,8183,0
42,8527,8527,0
43,8671,8671,0
44,8121,8121,0
45,9761,9761,0
46,7721,7721,0
47,7840,7840,0
48,8423,8423,0
49,8856,8856,0
50,8323,8323,0
51,7494,7494,0
52,8625,8623,2
53,10279,7279,2999
54,8582,6,8576
55,8367,3377,4990
56,10351,3640,6711
57,8575,0,8575
58,9010,0,9010
59,9185,0,9185
60,9475,0,9475
61,8505,4370,4134
62,9233,7833,1400
63,9977,9260,716
64,8299,8297,2
65,9081,9079,1
66,8865,1,8863
67,9264,2711,6552
68,10332,3364,6967
69,8280,0,8280
70,8254,0,8254
71,9883,0,9883
72,8318,0,8318
73,8427,0,8427
74,9408,0,9408
75,8858,0,8858
76,9439,0,9439
77,6446,0,6446
78,11375,0,11375
79,9490,0,9490
80,10128,6,10122
81,9021,0,9020
82,9080,4,9076
83,9649,8224,1424
84,9269,9266,3
85,7932,7932,0
86,9300,8599,700
87,6439,1,6438
88,9084,0,9084
89,5476,0,5476
90,12763,0,12763
91,9119,0,9119
92,8461,0,8461
93,8241,0,8241
94,9872,0,9872
95,7878,0,7878
96,10154,0,10154
97,8194,3,8190
98,9530,4799,4730
99,8185,8185,0
100,8265,8265,0
101,9023,9023,0
102,8517,8516,0
103,8565,8565,0
104,8489,8488,0
105,8494,8494,0
106,8750,8750,0
107,9709,9709,0
108,9745,9745,0
109,7980,7980,0
110,9030,9030,0
111,10263,10263,0
112,7404,7404,0
113,10916,10916,0
114,8172,8172,0
115,7610,7610,0
116,7956,7956,0
117,8440,8440,0
118,8854,8854,0
119,9260,9260,0
120,8785,8785,0
121,9482,9482,0
122,7791,7791,0
123,8912,8912,0
124,9275,9275,0
125,7005,7005,0
126,10300,10300,0
127,6818,6818,0
128,8935,8935,0
129,8637,8637,0
130,8266,8266,0
131,8941,8941,0
132,8811,8811,0
133,8811,8811,0
134,9314,9314,0
135,9703,9703,0
136,9347,9347,0
137,9424,9424,0
138,8278,8277,0
139,9009,9008,0
140,8883,8883,0
141,9880,9880,0
142,7695,7695,0
143,7652,7652,0
144,9184,9184,0
145,8845,8845,0
146,8057,8057,0
147,7903,7903,0
148,10691,10691,0
149,6402,6402,0
150,10199,10199,0
151,9294,9294,0
