NAME,TotalPopulation,1,2
1,36830,0,36830
2,41767,0,41767
3,40051,6574,33477
4,40208,0,40208
5,39658,0,39658
6,41249,0,41249
7,37931,358,37572
8,37338,0,37338
9,37994,0,37994
10,41040,0,41040
11,39723,1,39722
12,37134,37134,0
13,36179,36179,0
14,37763,7527,30236
15,36209,8659,27550
16,38996,26141,12854
17,38188,3644,34543
18,39690,8232,31457
19,39396,0,39396
20,37857,4972,32885
21,36146,0,36146
22,37370,34153,3216
23,40432,40431,0
24,38864,38859,5
25,37809,37809,0
26,39655,39655,0
27,35933,35933,0
28,37014,37014,0
29,36847,36847,0
30,36418,36418,0
31,36968,36968,0
32,37098,37098,0
33,38503,38503,0
34,38196,38196,0
35,38352,38352,0
