NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13
1,103578,0,0,0,0,0,0,0,0,0,0,0,64,103513
2,83999,0,0,0,0,0,0,0,0,0,0,0,9,83990
3,84423,0,0,0,0,0,0,0,0,0,0,0,73993,10429
4,92198,0,0,0,0,0,0,0,0,0,0,0,75232,16966
5,92247,0,0,0,0,0,0,0,0,0,0,42778,49469,0
6,96158,0,0,0,0,0,0,0,0,0,0,45727,42274,8156
7,97213,0,0,0,0,0,0,0,0,0,0,47527,8156,41529
8,95240,0,0,0,0,0,0,0,0,0,13,45227,0,49999
9,91991,0,0,0,0,0,0,0,0,0,0,0,0,91991
10,91336,0,0,0,0,0,0,0,0,0,611,0,0,90724
11,90549,0,0,0,0,0,0,0,0,0,42441,0,0,48107
12,88379,0,0,0,0,0,0,0,0,0,73534,0,0,14844
13,91382,0,0,0,0,0,0,0,0,0,64574,0,0,26807
14,90639,0,0,0,0,0,0,0,0,0,58902,10,0,31725
15,80982,0,0,0,0,0,0,0,0,0,0,0,62087,18894
16,92176,0,0,0,0,0,0,0,0,0,0,0,92176,0
17,90567,0,0,0,0,0,0,0,0,0,0,1,90566,0
18,88410,0,0,0,0,0,0,0,0,0,0,34995,53415,0
19,87921,0,0,0,0,0,2,0,0,0,0,56195,31724,0
20,93599,0,0,0,0,0,1,0,0,0,0,93597,0,0
21,85089,0,0,0,0,0,53853,7339,0,0,0,23894,1,0
22,91952,0,0,0,0,0,54961,0,0,0,0,1,36988,0
23,79893,0,0,0,0,0,65930,13962,0,0,0,0,0,0
24,80456,0,0,0,0,0,80450,0,0,0,0,0,5,0
25,90620,0,0,0,0,0,10770,0,0,0,0,0,62791,17059
26,86816,0,0,0,0,0,1,0,0,0,0,0,72178,14636
27,89434,0,0,0,0,0,45393,0,0,0,0,0,0,44040
28,87167,0,0,0,0,18269,56878,0,0,0,0,0,0,12020
29,91617,0,0,0,0,21952,15854,0,0,0,0,0,0,53810
30,89452,0,0,0,0,89452,0,0,0,0,0,0,0,0
31,90851,0,0,0,0,24693,61531,0,0,0,0,0,0,4627
32,90569,0,0,0,0,0,90569,0,0,0,0,0,0,0
33,91887,0,0,0,0,0,91887,0,0,0,0,0,0,0
34,93347,0,0,0,0,93347,0,0,0,0,0,0,0,0
35,89635,0,0,0,0,89635,0,0,0,0,0,0,0,0
36,88705,0,0,0,0,88705,0,0,0,0,0,0,0,0
37,91129,0,0,0,366,90763,0,0,0,0,0,0,0,0
38,94863,0,0,0,67766,27096,0,0,0,0,0,0,0,0
39,92358,0,0,0,92357,0,0,0,0,0,0,0,0,0
40,89090,0,0,0,89090,0,0,0,0,0,0,0,0,0
