NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13
1,270571,0,0,0,0,0,2,0,0,0,0,0,8302,262267
2,247118,0,0,0,0,0,0,0,0,0,0,0,204560,42558
3,271348,0,0,0,0,0,0,0,0,0,48027,53247,0,170073
4,258795,0,0,0,0,13,159733,0,0,0,0,0,11,99037
5,248146,0,0,0,0,0,91221,0,0,0,0,0,156911,14
6,255254,0,0,0,0,0,8,0,0,0,0,59234,196010,0
7,256249,0,0,0,0,0,0,0,0,6,517,137628,118097,0
8,264248,0,0,0,0,0,0,0,0,0,0,162859,67236,34151
9,254959,0,0,0,0,0,0,0,0,9970,161626,83362,0,0
10,273083,0,0,0,0,0,0,0,0,0,166353,0,0,106729
11,252667,0,0,0,0,0,0,0,0,44964,196526,0,0,11176
12,257467,0,0,0,0,0,0,0,0,75596,124001,0,0,57869
13,257523,0,0,0,0,0,123090,1,0,0,0,134423,8,0
14,263399,0,0,0,0,147401,115992,4,0,0,0,0,0,0
15,266208,0,0,0,0,16228,249979,0,0,0,0,0,0,0
16,267217,0,0,0,0,266974,243,0,0,0,0,0,0,0
17,273724,0,0,0,5,273718,0,0,0,0,0,0,0,0
18,257987,0,103436,6,129504,25040,0,0,0,0,0,0,0,0
19,269854,0,0,0,254263,15589,0,0,0,0,0,0,0,0
20,255989,0,2,50302,182474,23209,0,0,0,0,0,0,0,0
21,265342,0,5451,0,0,0,0,259890,0,0,0,0,0,0
22,250761,0,0,0,0,0,3,202231,36919,11606,0,0,0,0
23,262067,0,0,0,0,0,3,41687,0,81541,0,138834,0,0
24,259376,0,0,0,0,0,0,0,7809,180734,70828,4,0,0
25,262104,0,0,0,0,0,0,0,0,262104,0,0,0,0
26,257982,0,0,0,0,0,0,0,159090,98891,0,0,0,0
27,269546,0,0,0,0,0,0,1,269544,0,0,0,0,0
28,263774,0,1,0,0,0,0,263771,2,0,0,0,0,0
29,260226,0,0,260225,1,0,0,0,0,0,0,0,0,0
30,262732,0,1424,260977,330,0,0,0,0,0,0,0,0,0
31,254865,0,0,61045,193819,0,0,0,0,0,0,0,0,0
32,257322,17551,133011,106759,0,0,0,0,0,0,0,0,0,0
33,261609,0,242309,19299,0,0,0,1,0,0,0,0,0,0
34,279963,0,248056,0,0,0,0,2494,29411,0,0,0,0,0
35,273134,0,0,0,0,0,0,0,273134,0,0,0,0,0
36,269780,229815,33879,0,0,0,0,0,6085,0,0,0,0,0
37,255027,255026,0,0,0,0,0,0,0,0,0,0,0,0
38,270052,270052,0,0,0,0,0,0,0,0,0,0,0,0
