NAME,TotalPopulation,1,2,3,4,5,6,7,8
1A,42993,0,0,0,0,0,0,42992,0
1B,43502,0,0,0,0,0,0,43502,0
2A,44305,0,0,0,0,0,0,0,44304
2B,41945,0,0,0,0,0,0,261,41684
3A,46266,0,0,0,0,0,0,0,46266
3B,43033,0,0,0,0,0,0,0,43033
4A,34558,0,0,0,0,0,0,34558,0
4B,46997,0,0,0,0,0,0,46883,114
5A,43506,0,0,0,0,0,0,26957,16549
5B,40922,0,0,0,0,0,0,36047,4875
6A,41760,0,0,0,0,0,0,0,41760
6B,36403,0,0,0,0,0,0,0,36403
7A,44830,0,0,0,0,0,0,0,44830
7B,41375,0,0,0,0,0,0,0,41375
8A,40331,0,0,0,0,0,0,0,40331
8B,41127,0,0,0,0,0,0,0,41127
9A,41847,0,0,0,0,0,0,41847,0
9B,42830,0,0,0,0,0,0,42830,0
10A,46018,0,0,0,0,0,0,19491,26526
10B,41789,0,0,0,0,0,16277,11299,14212
11A,42049,0,0,0,0,0,0,0,42049
11B,42060,0,0,0,0,0,0,0,42060
12A,45361,0,0,0,0,0,0,45360,0
12B,38208,0,0,0,0,0,0,38208,0
13A,44777,0,0,0,0,0,15959,28817,0
13B,42010,0,0,0,0,0,35042,6968,0
14A,43353,0,0,0,0,0,43091,262,0
14B,35680,0,0,0,0,0,35680,0,0
15A,42164,0,0,0,0,0,0,42164,0
15B,42392,22084,0,0,0,0,0,20307,0
16A,42339,0,0,0,0,0,0,42338,0
16B,40525,0,0,0,0,0,0,40525,0
17A,43076,0,0,0,0,0,4720,38356,0
17B,42895,0,8,0,0,0,23502,19383,0
18A,43528,42959,568,0,0,0,0,0,0
18B,31794,31794,0,0,0,0,0,0,0
19A,41817,38389,3428,0,0,0,0,0,0
19B,41223,41223,0,0,0,0,0,0,0
20A,43569,41905,1664,0,0,0,0,0,0
20B,47131,47131,0,0,0,0,0,0,0
21A,43535,13198,0,0,0,0,0,30337,0
21B,39740,35747,0,0,0,0,0,3992,0
22A,42038,42038,0,0,0,0,0,0,0
22B,50208,11955,38246,0,0,0,2,4,0
23A,41794,41794,0,0,0,0,0,0,0
23B,42654,42654,0,0,0,0,0,0,0
24A,42171,42171,0,0,0,0,0,0,0
24B,36318,36318,0,0,0,0,0,0,0
25A,41397,41397,0,0,0,0,0,0,0
25B,38417,38417,0,0,0,0,0,0,0
26A,42927,42927,0,0,0,0,0,0,0
26B,42241,42241,0,0,0,0,0,0,0
27A,47209,0,0,0,0,0,47209,0,0
27B,40659,0,0,0,0,0,28208,0,12451
28A,38835,0,0,0,0,0,0,0,38834
28B,43581,0,0,0,0,0,0,0,43580
29A,38727,0,0,47,0,0,36165,2513,0
29B,43015,0,0,0,0,0,43015,0,0
30A,47301,0,0,864,0,0,46437,0,0
30B,38978,0,0,2,0,0,38976,0,0
31A,42208,0,0,1961,0,0,40246,0,0
31B,43332,0,0,0,0,0,40943,0,2389
32A,40960,0,0,2,0,0,40955,0,2
32B,39562,0,0,2,1,1,39557,0,0
33A,39262,0,0,0,11177,0,3,0,28081
33B,41809,0,0,0,23127,0,1,0,18680
34A,41448,0,0,40548,0,0,900,0,0
34B,40632,0,0,40596,0,35,0,0,0
35A,42441,0,0,42406,0,0,35,0,0
35B,41323,0,0,33158,0,1,8163,0,0
36A,43996,0,0,0,13303,0,30689,0,3
