NAME,TotalPopulation,1,2,3,4,5,6,7,8
1,87192,0,0,0,0,0,0,87191,1
2,85490,0,0,0,0,0,0,249,85241
3,90644,0,0,0,0,0,0,0,90644
4,80376,0,0,0,0,0,0,80267,108
5,83254,0,0,0,0,0,0,62460,20793
6,75616,0,0,0,0,0,0,0,75616
7,87376,0,0,0,0,0,0,0,87376
8,80953,0,0,0,0,0,0,0,80953
9,83935,0,0,0,0,0,0,83935,0
10,87435,0,0,0,0,0,15988,30557,40890
11,82350,0,0,0,0,0,0,0,82350
12,83753,0,0,0,0,0,0,83753,0
13,83761,0,0,0,0,0,48595,35166,0
14,78250,0,0,0,0,0,77976,274,0
15,85249,22290,0,0,0,0,0,62958,0
16,82849,0,0,0,0,0,0,82848,0
17,85694,0,9,36,0,0,27799,57848,0
18,74096,73530,565,0,0,0,0,0,0
19,82853,79538,3314,0,0,0,0,0,0
20,92299,90634,1665,0,0,0,0,0,0
21,83975,49358,0,0,0,0,0,34617,0
22,91597,54133,37456,0,0,0,1,5,0
23,84242,84242,0,0,0,0,0,0,0
24,76595,76595,0,0,0,0,0,0,0
25,78896,78896,0,0,0,0,0,0,0
26,82369,82369,0,0,0,0,0,0,0
27,84895,0,0,0,0,0,72744,0,12150
28,81737,0,0,0,0,0,1,0,81735
29,79723,0,0,48,0,0,77218,2455,0
30,83892,0,0,949,0,0,82943,0,0
31,83901,0,0,1751,0,0,79870,0,2279
32,78292,0,0,5,1,1,78282,0,2
33,79258,0,0,0,33629,0,3,0,45625
34,82233,0,0,81195,0,31,1006,0,0
35,83067,0,0,75242,0,1,7824,0,0
36,86387,0,0,0,56336,0,30048,0,2
37,85126,0,0,85077,0,0,49,0,0
38,78064,0,0,47223,0,30840,0,0,0
39,79245,0,0,16,15420,63806,1,0,0
40,84584,0,0,0,84568,13,2,0,0
41,79423,0,52895,0,26528,0,0,0,0
42,81815,0,0,81810,0,4,0,0,0
43,81766,0,0,2071,0,79695,0,0,0
44,82158,0,0,0,82158,0,0,0,0
45,84244,0,0,84112,0,36,94,0,0
46,81164,0,0,32698,0,48466,0,0,0
47,79998,0,12592,0,67406,0,0,0,0
48,77674,0,45,82,0,0,77546,0,0
49,84580,0,8,84548,0,0,24,0,0
50,79578,0,22,69481,0,10074,0,0,0
51,85707,0,15,42452,111,43128,0,0,0
52,81073,0,81057,7,6,1,0,0,0
53,81404,0,81196,0,207,0,0,0,0
54,80892,0,80836,8,0,0,48,0,0
55,80894,0,80867,27,0,0,0,0,0
56,78621,0,78621,0,0,0,0,0,0
57,74698,0,74698,0,0,0,0,0,0
58,93048,2229,90819,0,0,0,0,0,0
59,80602,0,0,0,0,80602,0,0,0
60,78793,0,0,0,3,78790,0,0,0
61,80969,0,0,0,0,80969,0,0,0
62,84502,0,0,0,0,84502,0,0,0
63,84398,0,0,0,111,84286,0,0,0
64,79571,0,159,0,79188,223,0,0,0
65,80534,0,8960,0,71573,0,0,0,0
66,83772,0,0,0,83769,3,0,0,0
67,83939,0,49,0,83890,0,0,0,0
