NAME,TotalPopulation,1,2,3,4,5,6,7,8
1,180052,13676,166360,0,0,0,0,0,16
2,180338,0,90890,89447,0,0,0,0,0
3,181048,0,1,71554,0,0,0,0,109493
4,179757,150541,29216,0,0,0,0,0,0
5,185765,185750,15,0,0,0,0,0,0
6,184157,0,0,128799,55358,0,0,0,0
7,178468,0,0,0,4,178463,0,0,0
8,171156,0,0,0,46410,124744,1,0,0
9,177931,0,0,0,0,177931,0,0,0
10,174637,0,11764,87127,2,0,75742,0,0
11,173175,0,0,0,25186,131367,16621,0,0
12,185095,0,0,0,1,0,185093,0,0
13,185333,185330,0,3,0,0,0,0,0
14,191457,191184,272,1,0,0,0,0,0
15,190284,84,190192,7,0,0,0,0,0
16,175191,0,0,8792,88038,0,0,0,78360
17,165311,0,0,0,0,140384,24926,0,0
18,179010,0,0,0,1,0,179008,0,0
19,179698,0,0,97530,82166,0,1,0,0
20,173587,0,0,0,40946,0,0,132639,0
21,187238,0,0,17520,65650,642,103425,0,0
22,177072,0,52,43008,0,0,0,0,134011
23,175607,4,165,175435,0,0,0,0,0
24,180575,47714,132820,14,0,0,0,0,26
25,191605,0,0,0,0,0,0,0,191605
26,174672,0,135421,39249,0,0,1,0,0
27,177378,0,0,0,0,0,0,0,177377
28,186063,0,0,0,186061,0,0,1,0
29,184067,0,0,0,0,0,0,184066,0
30,176411,0,0,0,0,0,0,176411,0
31,174919,0,0,0,174912,7,0,0,0
32,178815,0,0,0,0,0,0,178815,0
33,183766,0,0,0,0,0,0,87438,96327
34,184506,0,0,0,0,5,184501,0,0
