NAME,TotalPopulation,1,2,3,4
1,23355,23355,0,0,0
2,19665,19665,0,0,0
3,22930,22930,0,0,0
4,23909,23909,0,0,0
5,23478,23478,0,0,0
6,23526,23526,0,0,0
7,28287,28287,0,0,0
8,20488,20486,2,0,0
9,21605,4010,17595,0,0
10,32229,15470,16759,0,0
11,22200,4590,17609,0,0
12,22719,22719,0,0,0
13,25279,25279,0,0,0
14,21878,21878,0,0,0
15,23384,23384,0,0,0
16,18520,18520,0,0,0
17,24142,24142,0,0,0
18,23617,23617,0,0,0
19,26172,26172,0,0,0
20,20350,20350,0,0,0
21,24254,24254,0,0,0
22,24852,24852,0,0,0
23,24773,19920,4853,0,0
24,32555,32555,0,0,0
25,28369,28369,0,0,0
26,20444,0,20444,0,0
27,27463,0,27342,121,0
28,28420,28420,0,0,0
29,21881,0,21881,0,0
30,17944,0,17944,0,0
31,23163,0,23163,0,0
32,18198,0,18198,0,0
33,26377,0,26376,0,0
34,21274,0,21274,0,0
35,23715,12850,1016,9848,0
36,22425,22424,0,0,0
37,26011,24383,0,1627,0
38,27883,2474,0,25408,0
39,25822,25822,0,0,0
40,27174,27174,0,0,0
41,18476,18476,0,0,0
42,19540,1877,0,17662,0
43,23384,2350,0,21033,0
44,25363,0,651,24711,0
45,24509,0,0,24509,0
46,25084,1583,23500,0,0
47,21371,0,21371,0,0
48,22475,0,22474,0,0
49,18598,0,18598,0,0
50,26055,0,26055,0,0
51,16648,0,16648,0,0
52,26840,26840,0,0,0
53,24971,0,2474,22497,0
54,23151,0,23151,0,0
55,20139,0,20139,0,0
56,29218,0,22652,6566,0
57,30642,0,19560,11081,0
58,18685,0,209,18476,0
59,26664,0,1,26663,0
60,31090,0,0,31090,0
61,23986,0,0,23986,0
62,22869,0,3316,19553,0
63,22023,0,22023,0,0
64,26328,0,4204,22123,0
65,19987,0,18355,1631,0
66,23745,0,23744,0,0
67,22439,0,22439,0,0
68,29524,0,23989,5535,0
69,24031,0,24031,0,0
70,19259,0,15336,3923,0
71,20810,0,20810,0,0
72,22226,0,12952,9274,0
73,29834,0,1559,28275,0
74,30222,0,0,30222,0
75,29616,0,1,29615,0
76,23059,0,23055,3,0
77,24155,0,1,24154,0
78,24541,0,1588,22953,0
79,22840,0,0,22840,0
80,17440,0,0,10507,6933
81,23267,0,0,23267,0
82,16707,0,0,16707,0
83,24048,0,0,24048,0
84,23416,0,0,23416,0
85,22954,0,22954,0,0
86,25811,0,0,0,25811
87,27693,0,0,0,27693
88,29758,0,0,1595,28162
89,28501,0,0,6951,21550
90,25497,0,0,25496,0
91,20841,0,1248,19593,0
92,28002,0,5778,22223,0
93,23341,0,0,0,23341
94,21633,0,21633,0,0
95,28959,0,0,0,28959
96,22715,0,18867,3848,0
97,29156,0,14820,14336,0
98,19498,0,0,19497,0
99,24442,0,0,20602,3839
100,22142,0,0,16499,5643
101,28466,0,0,1,28465
102,23783,0,0,0,23783
103,21382,0,0,0,21382
104,27097,0,0,0,27097
105,21948,0,0,0,21948
106,25584,0,0,0,25584
107,26259,0,0,0,26259
108,26165,0,0,0,26165
109,23609,0,0,0,23609
110,21854,0,0,0,21854
111,26060,0,0,0,26060
112,30681,0,0,0,30681
113,21235,0,0,0,21235
114,26609,0,0,0,26609
115,26858,0,0,0,26858
116,29464,0,0,0,29464
117,26190,0,0,0,26190
118,31228,0,0,0,31228
119,22797,0,0,0,22797
120,25587,0,0,0,25587
121,28482,0,0,0,28482
122,24677,0,0,0,24677
