NAME,TotalPopulation,1,2,3,4
1,64513,64512,0,0,0
2,66244,66244,0,0,0
3,58622,58622,0,0,0
4,59033,59033,0,0,0
5,58361,58361,0,0,0
6,64857,64857,0,0,0
7,51324,51324,0,0,0
8,55808,48803,7004,0,0
9,63842,54058,9783,0,0
10,55772,55768,4,0,0
11,49853,4,49848,0,0
12,51399,0,51399,0,0
13,48584,0,48584,0,0
14,54597,0,54597,0,0
15,46679,20490,4362,21826,0
16,61326,30940,0,30386,0
17,55465,55465,0,0,0
18,54689,0,14805,39884,0
19,59643,59643,0,0,0
20,64180,0,2,64178,0
21,59236,0,56858,2378,0
22,63654,0,47062,16591,0
23,52392,0,52391,0,0
24,50067,0,50067,0,0
25,59564,0,2390,57174,0
26,57612,0,40985,16627,0
27,48993,0,47558,1435,0
28,49202,0,49191,10,0
29,61063,0,55232,5830,0
30,61650,0,1,61648,0
31,57350,0,0,57350,0
32,51690,0,0,51690,0
33,53502,0,0,53502,0
34,52211,0,0,17873,34338
35,58370,0,3236,55133,0
36,55360,0,55358,1,0
37,55625,0,38091,17534,0
38,53822,0,21794,32027,0
39,54348,0,3331,51016,0
40,59613,0,0,24784,34828
41,56632,0,0,45911,10721
42,60525,0,0,9537,50988
43,58061,0,0,0,58061
44,59662,0,0,0,59661
45,55819,0,0,0,55819
46,61657,0,0,0,61657
47,56501,0,0,0,56501
48,60181,0,0,0,60181
49,66700,0,0,0,66700
50,64973,0,0,0,64973
51,64803,0,0,0,64803
52,56182,0,0,0,56182
