NAME,TotalPopulation,1,2
1,3862,3862,0
2,15811,15811,0
3,8559,8559,0
4,15202,15202,0
5,8377,8377,0
6,13036,13036,0
7,8672,8672,0
8,8309,8309,0
9,10628,10628,0
10,13261,13261,0
11,11426,11426,0
12,10526,10526,0
13,13427,13427,0
14,10247,10247,0
15,11685,11601,83
16,11583,11583,0
17,13380,1274,12106
18,6583,846,5736
19,11310,0,11310
20,12869,0,12869
21,6728,0,6728
22,10409,0,10409
23,6738,0,6738
24,7695,0,7695
25,7344,0,7344
26,13304,0,13304
27,15109,0,15109
28,3974,0,3974
29,10256,0,10256
30,10401,0,10401
31,5433,0,5433
32,14652,0,14652
33,10436,0,10436
34,15448,0,15448
35,11375,0,11375
36,10021,0,10021
37,10317,0,10317
38,9807,0,9807
39,10129,0,10129
40,18024,0,18024
41,15887,0,15887
42,8861,0,8861
43,12441,0,12441
44,7314,0,7314
45,9001,0,9001
46,10852,0,10852
47,10119,0,10119
48,9254,0,9254
49,9439,0,9439
50,6623,0,6623
51,15526,0,15526
52,7913,0,7913
53,14370,0,14370
54,11655,0,11655
55,9110,0,9110
56,6261,0,6261
57,9570,0,9570
58,10487,0,10487
59,14029,1496,12533
60,7574,0,7574
61,15323,15323,0
62,10666,10666,0
63,14020,14020,0
64,13197,13197,0
65,14172,14172,0
66,9635,9635,0
67,13371,13371,0
68,12060,12060,0
69,12779,12779,0
70,16125,0,16124
71,10467,9441,1025
72,12694,12694,0
73,9697,9697,0
74,8468,8468,0
75,11043,1,11041
76,9242,9242,0
77,11145,11145,0
78,9087,9086,0
79,19453,0,19452
80,14133,2798,11334
81,7676,0,7676
82,5461,0,5461
83,6465,0,6465
84,7831,0,7831
85,14923,14923,0
86,8386,8386,0
87,11446,11446,0
88,9032,9032,0
89,19055,19055,0
90,5473,5473,0
91,8682,8682,0
92,7452,7452,0
93,11861,11861,0
94,14943,14943,0
95,11706,11706,0
96,7796,7796,0
97,10529,10529,0
98,10718,10718,0
99,8875,8875,0
100,10197,10197,0
