NAME,TotalPopulation,1,2
1,19844,19844,0
2,23028,23028,0
3,20997,20997,0
4,17312,17312,0
5,23942,23942,0
6,21662,21662,0
7,22811,22811,0
8,22870,22784,85
9,19413,2164,17248
10,23441,0,23441
11,16600,0,16600
12,13895,0,13895
13,20228,0,20228
14,19025,0,19025
15,20159,0,20159
16,19508,0,19508
17,26009,0,26009
18,20958,0,20958
19,19631,0,19631
20,29353,0,29353
21,25418,0,25418
22,18904,0,18904
23,18400,0,18400
24,18556,0,18556
25,15966,0,15966
26,22432,0,22432
27,25390,0,25390
28,15513,0,15513
29,20902,0,20902
30,21032,1494,19537
31,24536,24536,0
32,26310,26310,0
33,22697,22697,0
34,23989,23989,0
35,27448,12371,15076
36,23418,22336,1081
37,17849,17849,0
38,20328,9329,10998
39,19968,19968,0
40,32867,2719,30147
41,13164,0,13164
42,13997,0,13997
43,23230,23230,0
44,20191,20191,0
45,25417,25417,0
46,16124,16124,0
47,26248,26248,0
48,19126,19126,0
49,21381,21381,0
50,20195,20195,0
