NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,202818,79045,0,123772,0,0,0,0,0,0,0,0,0,0,0
2,205797,21,0,205775,0,0,0,0,0,0,0,0,0,0,0
3,208949,171089,0,37860,0,0,0,0,0,0,0,0,0,0,0
4,226350,102561,0,52809,0,0,0,0,0,0,0,0,0,70979,0
5,232021,212518,0,19502,0,0,0,0,0,0,0,0,0,0,0
6,198382,0,0,198376,0,0,0,6,0,0,0,0,0,0,0
7,213328,0,0,0,0,0,0,213328,0,0,0,0,0,0,0
8,211078,0,0,0,0,0,0,211078,0,0,0,0,0,0,0
9,223624,0,0,128501,0,0,0,95119,0,0,0,0,0,3,0
10,203314,12,2,0,0,0,0,0,0,0,0,0,0,203299,0
11,206923,206896,15,0,2,0,0,0,0,0,0,0,0,9,0
12,198592,0,0,3200,0,0,0,1,0,118510,0,0,0,76880,0
13,190721,0,190707,0,13,0,0,0,0,0,0,0,0,0,0
14,198125,14,84701,0,0,0,0,0,0,0,0,0,0,113409,0
15,203556,0,125949,0,0,0,0,0,0,0,0,0,0,77606,0
16,193073,0,175071,0,2,0,0,0,0,0,0,0,0,17999,0
17,176288,0,9333,0,0,0,0,0,0,0,0,0,0,166954,0
18,189706,3,129877,0,59824,0,0,0,0,0,0,0,0,0,0
19,216136,0,0,17,0,0,0,114762,0,101355,0,0,0,1,0
20,194466,0,2,0,121607,0,0,0,0,72855,0,0,0,0,0
21,217673,0,0,0,0,0,0,12574,4,205094,0,0,0,0,0
22,196065,0,14,0,196050,0,0,0,0,0,0,0,0,0,0
23,208536,0,0,0,186490,0,22045,0,0,0,0,0,0,0,0
24,221183,0,0,0,0,0,0,131668,2,89512,0,0,0,0,0
25,212155,0,0,0,166137,0,1,0,0,46016,0,0,0,0,0
26,215799,0,0,0,1,0,215797,0,0,0,0,0,0,0,0
27,204794,0,0,0,0,0,204789,0,2,2,0,0,0,0,0
28,203419,0,0,0,0,0,203419,0,0,0,0,0,0,0,0
29,225861,0,0,0,0,0,2,0,118152,107706,0,0,0,0,0
30,209389,0,0,0,0,42551,2,0,166833,2,0,0,0,0,0
31,217510,0,0,0,0,137023,80484,0,2,0,0,0,0,0,0
32,206661,0,0,0,0,198135,8524,0,1,0,0,0,0,0,0
33,203020,0,0,0,0,2,0,0,203012,0,3,0,2,0,0
34,204912,0,0,0,0,0,0,0,41058,0,0,0,163852,0,0
35,210498,0,0,0,0,0,0,0,210434,0,0,0,6,0,56
36,215107,0,0,0,0,177833,0,0,0,0,37273,0,0,0,0
37,206038,0,0,0,0,0,0,0,3,0,178850,0,27183,0,0
38,206929,0,0,0,0,0,0,0,0,0,0,0,139204,0,67725
39,219526,0,0,0,0,0,0,0,0,0,0,0,0,0,219526
40,225646,0,0,0,0,0,0,0,3,0,0,0,215923,0,9719
41,205575,0,0,0,0,0,0,0,0,0,2,0,167529,0,38044
42,210256,0,0,0,0,0,0,0,56,0,0,0,10,0,210189
43,203567,0,0,0,0,0,0,0,0,0,15511,0,32,0,188023
44,200904,0,0,0,0,0,0,0,0,0,200150,0,10,0,744
45,215369,0,0,0,0,44725,0,0,0,0,170644,0,0,0,0
46,203486,0,0,0,0,11,0,0,0,0,90143,113331,0,0,0
47,215514,0,0,0,0,151415,0,0,0,0,2,64096,0,0,0
48,203729,0,0,0,0,0,0,0,0,0,46521,157207,0,0,0
49,191635,0,0,0,0,0,0,0,0,0,0,191635,0,0,0
50,212199,0,0,0,0,0,0,0,0,0,0,212199,0,0,0
