NAME,TotalPopulation,1,2,3
1,38782,0,0,38781
2,37271,37269,1,0
3,36997,35318,1678,0
4,39055,0,39055,0
5,39985,5,39979,0
6,39971,0,39971,0
7,39611,4,39607,0
8,39668,0,39668,0
9,39179,0,39179,0
10,39628,0,39628,0
11,35546,0,35546,0
12,42193,8,42185,0
13,43958,0,43957,0
14,36466,35967,499,0
15,41916,36679,5236,0
16,39429,12682,0,26746
17,38182,0,0,38182
18,32807,0,32807,0
19,38774,35161,0,3613
20,38898,0,38898,0
21,36234,36233,0,0
22,35364,35363,0,0
23,38586,17563,21022,0
24,37449,20022,0,17426
25,35532,35532,0,0
26,40715,40715,0,0
27,43367,43367,0,0
28,36926,36926,0,0
29,42588,42588,0,0
30,39655,18060,0,21595
31,39600,1,39598,0
32,38776,6629,0,32147
33,41083,0,0,41083
34,36571,0,0,36571
35,34820,0,0,34820
36,35934,11011,24922,0
37,37966,0,0,37966
38,42289,0,0,42289
39,33673,0,33673,0
40,41531,0,0,41531
41,43762,0,0,43762
42,40224,0,0,40224
43,40961,0,0,40961
44,38762,0,0,38762
45,38664,38556,108,0
46,38470,38470,0,0
47,40038,0,0,40038
48,40617,0,0,40617
49,36264,19644,16619,0
