NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12
1,231375,0,231375,0,0,0,0,0,0,0,0,0,0
2,222248,0,222247,0,0,0,0,0,0,0,0,0,0
3,225179,84782,140397,0,0,0,0,0,0,0,0,0,0
4,228888,199357,29510,20,0,0,0,0,0,0,0,0,0
5,232536,232519,0,16,0,0,0,0,0,0,0,0,0
6,221381,221303,0,78,0,0,0,0,0,0,0,0,0
7,221589,7220,0,214369,0,0,0,0,0,0,0,0,0
8,223839,51,25620,198168,0,0,0,0,0,0,0,0,0
9,225379,0,107304,2,118071,0,0,0,0,0,0,0,0
10,225391,0,264,0,225127,0,0,0,0,0,0,0,0
11,219573,0,0,41436,75278,0,102858,0,0,0,0,0,0
12,221192,0,0,69576,66771,0,31181,0,0,0,0,0,53663
13,223102,0,0,56524,54373,0,112202,0,0,0,0,0,1
14,211702,0,0,134332,0,0,0,0,0,0,0,0,77369
15,223040,0,0,32559,0,0,0,20493,0,0,0,0,169988
16,219151,0,0,0,0,0,0,83232,0,0,0,0,135918
17,224830,0,0,0,0,0,112866,1,0,0,0,0,111962
18,222696,0,0,0,0,0,151946,0,0,0,0,0,70749
19,227984,0,0,0,0,0,227951,13,0,0,0,0,19
20,217053,0,0,0,0,0,0,82,128487,0,88436,46,0
21,222182,0,0,0,0,0,16,177984,0,0,4426,18995,20759
22,230629,0,0,0,0,0,15,95348,4,0,63587,0,71674
23,229233,0,0,0,0,0,0,203952,0,0,0,0,25281
24,233619,0,0,0,0,82882,0,150709,0,0,0,28,0
25,233963,0,0,0,0,26386,0,25603,0,0,0,181972,0
26,218129,0,0,0,0,32026,0,0,0,10995,0,175107,0
27,227438,0,0,0,0,0,0,28,0,85172,57471,84765,0
28,207472,0,0,0,0,0,0,0,0,0,165636,41835,0
29,213308,0,0,0,0,0,0,0,128574,56,84521,155,0
30,192255,0,0,0,192215,0,38,0,0,0,0,0,0
31,223998,0,0,0,0,0,0,0,86332,30949,106702,14,0
32,198268,0,0,0,0,0,0,0,170418,11,27837,0,0
33,228727,0,0,0,0,0,0,0,208038,20689,0,0,0
34,217504,0,0,0,0,0,0,0,155,87,95264,121996,0
35,219766,0,0,0,0,90,0,0,0,219652,0,24,0
36,225988,0,0,0,0,128,0,0,83,225705,0,70,0
37,221898,0,0,0,0,221669,0,0,0,229,0,0,0
38,216622,0,0,0,0,137663,0,0,0,78958,0,0,0
39,231701,0,0,0,0,218743,0,0,0,12957,0,0,0
40,224569,0,0,0,0,42042,0,0,0,43373,23415,115737,0
