NAME,TotalPopulation,1,2,3
1,27475,0,0,27475
2,23554,0,0,23554
3,29898,0,0,29898
4,32966,0,0,32966
5,28115,0,0,28115
6,27673,0,19467,8205
7,27232,20416,6815,0
8,26999,10297,16702,0
9,26623,0,73,26549
10,35360,14713,20647,0
11,32850,32806,44,0
12,31896,63,31833,0
13,28804,0,28804,0
14,30143,5844,24299,0
15,31527,31527,0,0
16,30315,18500,11815,0
17,32400,30684,1716,0
18,28660,28526,134,0
19,29291,29291,0,0
20,29711,29711,0,0
21,28164,28164,0,0
22,36195,35926,269,0
23,30016,30011,0,4
24,32324,32324,0,0
25,28767,28767,0,0
26,30544,24,30519,0
27,29784,29784,0,0
28,31494,31494,0,0
29,33634,9661,23972,0
30,29406,29406,0,0
31,26190,26190,0,0
32,32495,0,32495,0
33,29911,0,29911,0
34,34694,0,34694,0
35,28920,0,28920,0
36,25265,0,25265,0
37,27622,0,27622,0
38,31514,0,31514,0
39,28249,0,28249,0
40,29214,0,0,29214
41,28164,18,0,28146
42,28141,0,0,28141
43,29923,0,0,29922
44,30915,30915,0,0
45,26995,0,0,26995
46,31519,0,0,31519
47,28004,0,0,28004
48,30270,0,0,30270
49,33958,5345,28613,0
50,29832,14078,0,15753
51,32614,0,32614,0
52,28123,0,28123,0
53,27311,0,27311,0
54,30006,631,21746,7628
55,27190,0,26896,293
56,30774,22840,7933,0
57,29157,23156,0,6001
58,24821,229,178,24413
59,26702,2789,105,23807
60,27351,27243,0,107
61,31108,0,12656,18451
62,25282,0,4856,20426
63,31898,6330,0,25567
64,32319,2755,564,28999
65,33239,9488,0,23751
66,38477,332,18729,19415
67,32515,0,0,32515
68,29283,16452,12831,0
69,32700,274,23528,8896
70,32499,8090,0,24409
