NAME,TotalPopulation,1,2,3
1,43027,0,0,43027
2,53317,0,0,53317
3,44840,0,0,44840
4,45698,0,14901,30796
5,39513,0,0,39513
6,55284,0,0,55284
7,51164,0,0,51164
8,51523,4381,0,47141
9,46249,45579,1,668
10,55940,50448,5492,0
11,49793,0,49793,0
12,43110,41214,1895,0
13,50675,46321,4354,0
14,50546,6789,43756,0
15,47223,47223,0,0
16,46252,45160,1092,0
17,45292,45292,0,0
18,51927,51927,0,0
19,58699,56900,259,1538
20,52093,52093,0,0
21,47672,47672,0,0
22,57159,6921,6203,44034
23,53302,16655,36647,0
24,47593,0,0,47593
25,47955,0,0,47955
26,45497,10793,34703,0
27,57125,8166,950,48008
28,45486,0,45486,0
29,44526,20567,23958,0
30,55099,735,53760,603
31,37752,0,37752,0
32,45108,766,1647,42694
33,51516,22496,25719,3300
34,62337,0,58705,3631
35,66093,0,66093,0
36,49709,0,49709,0
37,40836,0,40836,0
38,56105,0,56105,0
39,55974,21510,1526,32936
40,51427,41395,0,10031
41,45218,0,24961,20256
42,46761,88,18020,28652
