NAME,TotalPopulation,1,2,3,4
1,68376,0,0,0,68376
2,69691,0,0,69683,8
3,71105,0,0,2152,68952
4,77853,0,0,12618,65234
5,72544,0,0,72304,239
6,64874,36,0,0,64837
7,73874,0,0,0,73874
8,65291,0,0,65291,0
9,50643,0,0,50643,0
10,72092,679,0,24735,46676
11,72744,48305,0,0,24438
12,65072,58245,0,0,6826
13,66678,0,0,0,66678
14,71060,71060,0,0,0
15,72578,52621,0,16153,3803
16,78684,21375,0,57309,0
17,54659,0,0,0,54659
18,62639,62637,0,1,0
19,80694,45335,0,0,35358
20,69738,69737,0,1,0
21,76945,48254,0,28691,0
22,69733,69465,0,267,0
23,65511,56673,0,8837,0
24,66015,0,66015,0,0
25,66693,0,66693,0,0
26,62669,0,62669,0,0
27,70192,0,70192,0,0
28,69455,36985,0,0,32469
29,73046,70985,0,2061,0
30,65033,0,65033,0,0
31,55676,0,55676,0,0
32,84361,0,84361,0,0
33,78633,0,60726,0,17906
34,73818,0,0,46007,27811
35,55500,16,0,55484,0
36,84248,1044,0,24346,58856
37,74967,0,0,64472,10495
38,65644,0,52760,0,12883
39,66721,0,66657,0,64
40,70634,0,70634,0,0
41,72821,9569,0,63252,0
42,73623,0,0,73619,3
