NAME,TotalPopulation,1,2,3,4
1,131807,0,0,0,131807
2,145186,85718,0,0,59467
3,145410,715,0,27274,117420
4,142980,35,0,0,142945
5,143290,140982,0,2307,0
6,151268,0,0,111769,39498
7,140969,140965,0,2,0
8,149829,0,0,149589,240
9,138228,0,0,138225,3
10,152041,72331,0,75447,4262
11,132150,13,0,132137,0
12,154898,58561,0,96336,0
13,132466,0,132466,0,0
14,142857,0,142857,0,0
15,139413,0,139413,0,0
16,140804,0,140804,0,0
17,136089,0,125008,0,11081
18,146688,0,0,11897,134791
19,170161,613,60947,21741,86859
20,152164,108790,0,9382,33991
21,141571,133804,0,0,7767
