NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,294693,279962,14731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,322902,99048,154659,69194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,312012,150545,161463,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,316321,36965,279345,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,315155,142434,14532,158188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,308368,2274,55412,140100,110581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,314993,0,0,132287,146415,36289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,310253,29645,91503,2800,186305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,307412,0,0,0,271242,36170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,305405,0,0,0,32857,272525,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,299088,0,0,73576,210,0,224599,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0
12,291996,0,0,0,0,0,8133,0,0,0,0,0,100083,4655,179115,9,0,0,0,0,0,0,0,0,0,0,0
13,299399,0,0,0,0,0,24879,0,0,0,0,0,9,0,274465,45,0,0,0,0,0,0,0,0,0,0,0
14,318602,0,0,16792,3,265442,36363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,316304,0,0,0,0,130361,147987,36367,9,0,0,0,0,0,1579,0,0,0,0,0,0,0,0,0,0,0,0
16,304145,0,0,2827,0,6062,234742,0,0,0,0,0,0,0,60513,0,0,0,0,0,0,0,0,0,0,0,0
17,306776,0,0,0,0,25622,58002,164406,0,0,0,0,40520,0,18224,0,0,0,0,0,0,0,0,0,0,0,0
18,303616,0,0,0,0,0,0,290497,7175,0,0,0,5937,0,6,0,0,0,0,0,0,0,0,0,0,0,0
19,305830,0,0,0,0,7,0,10253,272377,23191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,308759,0,0,0,0,0,0,0,27302,219034,8349,54072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,313259,0,0,0,0,0,0,0,41241,269992,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,291308,0,0,0,0,0,0,12761,30577,6801,73420,167747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,307695,0,0,0,0,0,0,53243,82489,1770,8472,161719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,318408,0,0,0,0,0,0,0,0,0,0,318408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
