NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,116582,0,0,92441,0,0,0,0,0,0,0,0,0,0,0,24141
2,116602,0,0,84450,0,0,0,0,0,0,0,0,0,0,0,32151
3,123061,0,0,122361,0,0,0,0,0,0,0,0,0,0,0,699
4,115414,0,0,115404,2,0,0,0,0,0,0,0,7,0,0,0
5,129299,0,1,27940,0,0,0,0,0,0,0,0,17,0,0,101339
6,99340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99340
7,119840,0,0,103940,0,0,0,0,0,0,0,0,0,0,0,15900
8,121484,0,0,103836,1,0,0,0,0,0,0,0,0,0,0,17646
9,117904,0,0,117904,0,0,0,0,0,0,0,0,0,0,0,0
10,109054,0,0,6436,0,0,0,0,0,0,0,0,0,0,0,102617
11,127907,0,0,2364,9,0,0,0,0,0,0,0,0,0,0,125533
12,110583,0,58109,0,0,0,0,0,0,0,0,0,1,0,0,52470
13,126205,0,0,0,0,0,0,283,0,0,0,125921,0,0,0,0
14,119675,0,0,0,0,0,0,98703,0,0,0,20972,0,0,0,0
15,124790,0,0,0,0,0,0,73378,0,0,0,51411,0,0,0,0
16,119983,0,0,0,0,7,0,119976,0,0,0,0,0,0,0,0
17,122456,0,0,0,0,0,0,114989,0,0,0,7466,0,0,0,0
18,123688,0,0,0,0,0,0,5,0,0,0,123682,0,0,0,0
19,117863,0,0,0,0,0,0,53840,0,0,0,64010,0,7,4,0
20,125761,0,0,0,0,0,0,0,0,0,0,125761,0,0,0,0
21,120495,0,0,0,0,0,0,0,0,0,0,120489,0,0,5,0
22,124632,0,0,0,0,0,0,0,0,0,0,124632,0,0,0,0
23,122202,0,0,0,0,0,0,0,0,0,0,15914,0,0,106287,0
24,114578,113167,0,0,0,0,0,0,1410,0,0,0,0,0,0,0
25,115644,112954,0,0,0,0,0,0,2690,0,0,0,0,0,0,0
26,125747,73844,0,0,0,0,0,0,51903,0,0,0,0,0,0,0
27,125054,125028,26,0,0,0,0,0,0,0,0,0,0,0,0,0
