NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,349744,0,0,0,49155,183621,0,0,0,116968,0,0,0,0,0,0
2,347604,0,0,0,0,110889,0,0,0,236713,0,0,0,0,0,0
3,353767,0,1,149781,2,0,0,0,0,0,0,0,25,0,0,203957
4,365969,14,0,0,0,0,0,0,365955,0,0,0,0,0,0,0
5,357558,0,0,0,0,0,0,0,94709,0,178841,0,0,0,0,84008
6,353142,3,0,0,0,0,0,0,0,0,353138,0,0,0,0,0
7,357606,357560,28,0,0,0,0,0,13,0,4,0,0,0,0,0
8,334763,111298,0,0,0,0,0,0,223463,0,0,0,0,0,0,0
9,355971,299966,0,0,0,0,0,0,56004,0,0,0,0,0,0,0
10,344277,1,41998,0,1,0,0,0,0,0,245602,0,0,0,0,56673
11,343808,0,0,0,0,4,0,0,0,343803,0,0,0,0,0,0
12,340475,0,0,0,233319,41036,0,0,35896,0,0,0,0,0,0,30223
13,351954,0,0,0,0,330760,0,9,0,21183,0,0,0,0,0,0
14,352241,28,352212,0,0,0,0,0,0,0,0,0,0,0,0,0
15,332525,0,0,176891,0,0,0,0,0,0,0,0,0,0,0,155633
16,359975,0,58109,106200,12,0,0,0,0,0,0,0,1,0,0,195650
17,353754,0,313182,0,0,0,0,0,0,0,0,0,13648,0,0,26923
18,363525,0,0,0,0,0,0,53840,0,0,0,79925,0,7,229751,0
19,347736,0,0,4,156895,0,0,9118,0,0,0,0,181708,0,0,8
20,354051,0,2,15,0,0,0,0,0,0,0,0,354023,0,0,9
21,368816,0,0,0,0,0,0,5,0,0,0,368804,0,0,5,0
22,353694,0,0,0,174571,3,0,179116,0,0,0,0,1,1,0,0
23,371641,0,0,0,0,0,0,98987,0,0,0,272654,0,0,0,0
24,367231,0,0,0,0,8,0,308345,0,0,0,58877,0,0,0,0
25,360806,0,0,344206,0,0,0,0,0,0,0,0,0,0,0,16600
26,335758,0,0,0,159507,117450,0,0,0,58798,0,0,0,0,0,1
27,359071,0,0,0,0,0,0,10,0,0,0,0,0,359053,7,0
28,374991,0,0,0,0,0,1,0,0,0,0,0,0,183032,191957,0
29,350730,0,0,0,0,0,112633,0,0,0,0,0,0,238095,0,0
30,352650,0,22974,0,0,0,236952,0,0,0,0,0,92723,0,0,0
31,341818,0,0,0,0,0,75133,116060,0,0,0,0,144570,6053,0,0
32,359450,0,0,0,0,0,6,0,0,0,0,3,0,0,359440,0
33,358159,0,0,0,0,0,358152,0,0,0,0,0,0,0,7,0
