NAME,TotalPopulation,1,2,3,4,5
1,42674,0,42674,0,0,0
2,39651,0,39651,0,0,0
3,33193,0,33193,0,0,0
4,36606,0,36606,0,0,0
5,39834,0,39834,0,0,0
6,38713,1,38712,0,0,0
7,39625,0,39625,0,0,0
8,39406,1930,37475,0,0,0
9,34505,6484,28020,0,0,0
10,42438,0,35464,6974,0,0
11,40891,17828,23063,0,0,0
12,39195,36547,2648,0,0,0
13,39267,301,38965,0,0,0
14,36584,0,36584,0,0,0
15,41230,0,41230,0,0,0
16,43069,9667,33402,0,0,0
17,37225,0,37225,0,0,0
18,42709,0,42706,0,0,2
19,41264,0,41264,0,0,0
20,36558,0,0,0,36558,0
21,35994,0,35994,0,0,0
22,36442,0,23856,0,12586,0
23,39884,27665,12218,0,0,0
24,39602,33575,5430,596,0,0
25,39470,0,0,0,38586,883
26,38981,0,0,0,0,38981
27,42216,0,0,0,25756,16459
28,39806,0,1,0,1,39803
29,41174,17669,0,23503,0,0
30,34962,32686,0,2275,0,0
31,34537,0,0,137,0,34399
32,39849,0,0,4573,0,35275
33,42404,0,0,39606,0,2798
34,34009,0,0,34009,0,0
35,36864,0,0,36864,0,0
36,37771,0,0,0,6016,31754
37,40549,0,0,40549,0,0
38,50083,0,0,45254,0,4829
39,38833,0,0,0,0,38833
40,28782,0,0,28782,0,0
41,35520,0,0,2243,0,33277
42,41007,0,0,0,41007,0
43,40969,0,0,4801,0,36167
44,39843,0,0,0,39843,0
45,33765,0,0,0,33765,0
46,39904,0,0,0,39904,0
47,40289,0,0,37952,3,2333
48,40302,0,0,0,40302,0
49,38393,0,11628,0,26765,0
50,38416,0,0,0,38416,0
51,37386,0,0,0,37385,0
52,36686,0,0,36685,1,0
53,40784,0,0,0,40784,0
54,37944,0,0,4856,33087,0
55,43231,0,0,41607,0,1623
56,38179,0,0,10753,27409,15
57,40602,0,0,40602,0,0
58,36361,0,0,36361,0,0
59,46070,0,0,46070,0,0
60,35195,0,0,7185,0,28010
61,41518,0,0,41518,0,0
62,34498,0,0,0,34498,0
63,53934,0,0,4880,49054,0
64,34701,0,0,0,34701,0
65,37246,0,0,21326,15920,0
66,38581,22291,0,16290,0,0
67,40846,40846,0,0,0,0
68,36974,36974,0,0,0,0
69,36722,36722,0,0,0,0
70,41133,41133,0,0,0,0
71,39705,39705,0,0,0,0
72,40664,40662,0,1,0,0
73,35974,30137,0,5837,0,0
74,39185,39177,8,0,0,0
75,37751,37751,0,0,0,0
76,38329,38329,0,0,0,0
77,38791,38791,0,0,0,0
78,42092,42092,0,0,0,0
79,38957,38957,0,0,0,0
80,37719,37719,0,0,0,0
81,36800,0,0,0,0,36800
82,39801,0,0,0,0,39801
83,36907,0,0,0,0,36907
84,38235,0,0,0,0,38235
85,40961,0,0,0,0,40961
86,41014,0,41014,0,0,0
87,43340,0,0,4565,0,38774
88,37525,0,0,17082,0,20442
89,38275,0,0,38130,0,145
90,39006,0,0,23283,9831,5891
91,37483,0,0,1,37481,0
92,39951,0,0,34711,0,5239
93,37918,0,0,37916,1,0
94,40374,0,0,19133,20623,616
95,43191,0,0,2,41913,1275
96,40195,0,0,0,0,40195
97,40054,0,0,0,5265,34789
98,36246,36246,0,0,0,0
99,41222,0,0,1505,562,39154
100,37703,0,0,0,0,37703
101,38869,0,0,0,17114,21754
