NAME,TotalPopulation,1,2,3,4,5
1,83509,0,83509,0,0,0
2,80394,30265,50129,0,0,0
3,86591,27872,58718,0,0,0
4,84843,0,84843,0,0,0
5,84578,0,84578,0,0,0
6,83782,0,83782,0,0,0
7,88276,0,88276,0,0,0
8,89949,15,84540,5382,0,10
9,76706,0,76705,0,0,0
10,82879,7823,15,75040,0,0
11,76440,69174,0,7265,0,0
12,78075,58803,3,19266,0,2
13,85636,0,13452,0,72177,6
14,85153,0,30783,0,54370,0
15,79376,0,0,0,79370,5
16,78735,0,0,0,78735,0
17,79124,0,0,0,2196,76927
18,71182,0,0,8409,0,62773
19,82363,0,0,82363,0,0
20,84862,0,0,49963,0,34898
21,78285,2,0,78278,0,4
22,74859,0,0,1737,0,73122
23,83480,0,0,31552,45374,6553
24,80824,0,0,0,80824,0
25,82760,82750,10,0,0,0
26,90460,0,0,88694,5,1759
27,83086,0,0,83086,0,0
28,84910,0,13,576,1,84318
29,81528,1,81512,15,0,0
30,83502,0,0,24251,0,59251
31,97896,0,0,0,97895,0
32,71535,0,0,3,71532,0
33,72786,72786,0,0,0,0
34,81990,81988,0,2,0,0
35,85441,85441,0,0,0,0
36,75642,75642,0,0,0,0
37,81513,81487,0,25,0,0
38,84612,0,0,77096,7516,0
39,79765,79765,0,0,0,0
40,85052,0,0,0,0,85052
41,72343,0,0,0,0,72343
42,80513,0,0,1,50044,30468
43,76211,0,0,1,76204,5
44,84464,0,0,83086,0,1378
45,75806,0,0,47093,28491,222
46,84759,0,0,48301,20436,16021
47,74474,0,0,0,0,74474
48,87161,0,0,321,6726,80112
