NAME,TotalPopulation,1,2,3,4,5,6
1,77212,0,1483,0,75728,0,0
2,63653,0,13667,0,49986,0,0
3,66776,0,66775,0,1,0,0
4,72513,0,71848,0,664,0,0
5,69059,0,69059,0,0,0,0
6,60899,0,60899,0,0,0,0
7,65275,0,0,0,65275,0,0
8,75422,0,0,0,75422,0,0
9,64889,0,0,0,64889,0,0
10,77822,0,0,0,77817,4,0
11,66262,0,0,0,456,62787,3018
12,65519,0,0,0,65236,282,0
13,63630,0,0,0,63630,0,0
14,65054,0,0,0,65054,0,0
15,66315,0,0,0,3590,53587,9137
16,67752,0,0,0,67736,15,0
17,72916,0,31,0,0,39894,32989
18,83161,0,2,6334,0,60549,16274
19,57156,0,0,0,0,1427,55729
20,49618,0,0,0,0,0,49618
21,67290,0,0,0,0,189,67101
22,65183,0,0,0,0,2559,62623
23,85131,0,0,0,0,1,85129
24,66935,1,0,0,0,0,66933
25,68138,2058,0,0,0,1,66078
26,58886,4917,0,0,0,924,53044
27,76263,56812,0,0,0,0,19451
28,73172,60686,0,0,0,42,12442
29,61387,61387,0,0,0,0,0
30,75186,75186,0,0,0,0,0
31,73681,73639,0,32,0,0,9
32,66094,66093,0,0,0,0,0
33,62067,55234,0,6833,0,0,0
34,61471,61471,0,0,0,0,0
35,64950,64949,0,0,0,0,1
36,74040,60846,0,0,0,0,13194
37,68547,0,0,0,0,36833,31713
38,66222,9187,0,6,0,53767,3261
39,68263,0,0,17457,0,50806,0
40,63134,0,0,3,0,63131,0
41,68963,4,0,24299,0,44659,0
42,68047,32512,0,35530,0,4,0
43,66648,253,0,66395,0,0,0
44,72602,36,0,72565,0,0,0
45,72739,241,0,72498,0,0,0
46,70700,0,0,49793,0,20907,0
47,69267,0,0,69267,0,0,0
48,72581,0,0,72506,0,75,0
49,64496,0,0,64496,0,0,0
50,64456,0,0,64456,0,0,0
51,64845,0,0,17414,0,47430,0
52,71732,0,17094,54631,0,6,0
53,51050,0,430,0,0,50619,0
54,56495,0,3449,0,0,53046,0
55,76974,0,59903,0,1,17069,0
56,72825,0,72825,0,0,0,0
57,73235,0,73092,0,0,142,0
58,66049,0,66049,0,0,0,0
59,71678,0,42584,0,0,29093,0
60,69589,0,69589,0,0,0,0
