NAME,TotalPopulation,1,2,3,4,5,6
1,142551,0,15694,0,126857,0,0
2,141998,0,141290,0,707,0,0
3,132652,0,132652,0,0,0,0
4,144080,0,0,0,144080,0,0
5,146675,0,0,0,146670,4,0
6,135312,0,0,0,66689,65804,2817
7,132199,0,0,0,132199,0,0
8,137446,0,0,0,73348,55010,9087
9,159512,0,36,6702,0,102676,50096
10,118177,0,0,0,0,1548,116628
11,136270,0,0,0,0,2729,133541
12,148747,1,0,0,0,0,148744
13,137240,6006,0,0,0,1015,130218
14,148559,116528,0,0,0,7,32023
15,142226,142226,0,0,0,0,0
16,143113,143102,0,0,0,0,9
17,125996,119261,0,6735,0,0,0
18,138845,126711,0,0,0,0,12134
19,137640,9425,0,3,0,92656,35555
20,134554,0,0,18957,0,115596,0
21,141814,34270,0,60186,0,47357,0
22,143363,145,0,143218,0,0,0
23,143687,241,0,121957,0,21488,0
24,140720,0,0,140641,0,79,0
25,131991,0,0,131991,0,0,0
26,135159,0,16889,70448,0,47820,0
27,123878,0,2941,0,0,120936,0
28,150351,0,136276,0,1,14073,0
29,140650,0,140497,0,0,151,0
30,140925,0,115710,0,0,25214,0
