NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,231323,0,76656,134645,0,20021,0,0,0,0,0,0,0,0,0,0,0,0
2,264616,0,264608,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
3,258708,0,166850,91827,30,0,0,0,0,0,0,0,0,0,0,0,0,0
4,269512,0,927,149349,119235,0,0,0,0,0,0,0,0,0,0,0,0,0
5,259075,140,258911,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
6,261609,261466,140,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,261250,0,0,234974,26209,66,0,0,0,0,0,0,0,0,0,0,0,0
8,247762,0,0,126644,0,121117,0,0,0,0,0,0,0,0,0,0,0,0
9,252929,0,0,0,0,171398,81530,0,0,0,0,0,0,0,0,0,0,0
10,262505,262505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,253464,0,0,0,57532,0,195917,0,0,13,0,1,0,0,0,0,0,0
12,254143,94545,7,0,159586,3,0,0,0,0,0,0,0,0,0,0,0,0
13,260126,0,0,0,0,0,16365,0,0,0,0,243761,0,0,0,0,0,0
14,257864,0,0,0,0,0,0,257864,0,0,0,0,0,0,0,0,0,0
15,247653,0,0,0,0,0,0,0,0,5,247639,4,0,3,0,0,0,0
16,260530,103562,0,0,0,0,0,156967,0,0,0,0,0,0,0,0,0,0
17,246274,0,0,29,58748,187482,14,0,0,0,0,0,0,0,0,0,0,0
18,256737,1,0,0,0,0,0,256735,1,0,0,0,0,0,0,0,0,0
19,247933,0,0,0,1,13,247913,0,0,0,0,4,0,0,0,0,0,0
20,273522,0,0,0,0,0,0,0,185208,88314,0,0,0,0,0,0,0,0
21,261108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116349,144757,1
22,244346,0,0,0,0,0,0,0,244345,0,0,0,0,0,0,0,0,0
23,266366,0,0,0,0,0,0,0,0,138739,0,0,0,0,0,127626,0,0
24,260171,20976,0,0,239145,0,48,1,0,0,0,0,0,0,0,0,0,0
25,271466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271466,0,0
26,247523,0,0,184,0,247337,1,0,0,0,0,0,0,0,0,0,0,0
27,261590,0,0,0,0,0,0,0,21813,199317,0,0,0,1,0,40456,0,0
28,255609,0,0,0,0,0,0,0,0,0,47762,207834,0,12,0,0,0,0
29,257657,0,0,0,0,0,0,63964,51759,141932,0,0,0,0,0,0,0,0
30,252969,0,0,0,0,0,0,0,0,0,0,0,0,252966,0,2,0,0
31,254457,0,0,0,0,0,0,0,0,0,254431,22,0,3,0,0,0,0
32,256447,0,0,0,0,0,0,0,0,0,0,0,0,49807,206640,0,0,0
33,257581,0,0,0,0,0,0,0,0,0,4,12,0,257565,0,0,0,0
34,264598,0,0,0,0,0,0,0,0,1,190700,0,0,73895,0,0,0,0
35,259217,0,0,0,0,0,0,0,0,0,0,0,0,131590,10,127615,0,0
36,259974,0,0,0,0,0,0,0,0,1,8,259964,0,0,0,0,0,0
37,233834,0,0,0,0,0,0,0,0,0,0,0,90261,0,10,0,0,143561
38,244972,0,0,0,0,0,0,0,0,0,0,0,32414,0,32,0,2,212522
39,257632,0,0,0,0,0,0,0,0,0,0,0,108411,0,149221,0,0,0
40,255176,0,0,0,0,0,0,14757,240418,0,0,0,0,0,0,0,0,0
41,255909,0,0,0,0,0,0,0,0,0,0,0,15,4,163126,92730,1,32
42,244303,0,0,0,0,0,0,0,0,0,0,0,120826,0,0,0,0,123476
43,248349,0,0,0,0,0,0,0,0,0,0,0,166020,0,0,0,0,82328
44,256970,0,0,0,55779,0,201186,0,0,0,0,4,0,0,0,0,0,0
45,246902,0,0,0,0,0,0,0,0,0,0,0,236508,0,14,0,0,10380
46,249700,0,0,0,0,0,0,0,0,0,0,0,15,0,243522,0,0,6162
47,247217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88601,158615
48,266772,0,0,0,31343,0,46,0,0,196066,5,39310,0,0,0,0,0,0
49,262788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262788,0
50,265726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265725,0
